	line_AVF	page
2182056927338	0.048644952	34094639489.0
2182056926069	0.059219748	34094639469.0
2182056927418	0.059450492	34094639490.0
2182056927477	0.059687126	34094639491.0
2182056926122	0.061602343	34094639470.0
2182056926134	0.07189252	34094639470.0
2182056927550	0.072174974	34094639492.0
2182056927603	0.07897153	34094639493.0
2182056927639	0.087232746	34094639494.0
2182056927735	0.087458804	34094639495.0
2182056926175	0.08768546	34094639471.0
2182056926263	0.08850178	34094639472.0
2182056927793	0.095611565	34094639496.0
2182056926366	0.103107445	34094639474.0
2182056927820	0.10914504	34094639497.0
2182056926405	0.10945995	34094639475.0
3365379400458	0.117240325	52584053132.0
3365379400489	0.14359602	52584053132.0
2182056927874	0.16518967	34094639498.0
2182056926731	0.16943927	34094639480.0
2182056926728	0.16952296	34094639480.0
2182056927980	0.16961037	34094639499.0
2182056920646	0.16964343	34094639385.0
2182056920645	0.1696723	34094639385.0
2182056920934	0.16970152	34094639389.0
2182056920933	0.1697561	34094639389.0
2182056928060	0.16977258	34094639500.0
2182056926606	0.16980276	34094639478.0
2182056928103	0.16984424	34094639501.0
2182056927983	0.16987514	34094639499.0
2182056928185	0.16991808	34094639502.0
2182056927987	0.16995089	34094639499.0
2182056927992	0.16998215	34094639499.0
2182056927993	0.16999935	34094639499.0
2182056927990	0.17001486	34094639499.0
2182056927991	0.17003193	34094639499.0
2182056927989	0.17004517	34094639499.0
2182056927994	0.170097	34094639499.0
2182056927986	0.17010312	34094639499.0
2182056928196	0.17012501	34094639503.0
2182056926776	0.17015193	34094639480.0
2182056922945	0.17018597	34094639421.0
2182056920559	0.1702129	34094639383.0
2182056920558	0.17021386	34094639383.0
2182056922840	0.17025295	34094639419.0
2182056927136	0.17027988	34094639486.0
2182056928315	0.17031991	34094639504.0
2182056928323	0.17034805	34094639505.0
2182056923011	0.17038389	34094639422.0
2182056928404	0.17042573	34094639506.0
2182056928405	0.1704267	34094639506.0
2182056928406	0.17042765	34094639506.0
2182056928407	0.17042862	34094639506.0
2182056928408	0.17042957	34094639506.0
2182056928409	0.17043054	34094639506.0
2182056928410	0.1704315	34094639506.0
2182056926749	0.17050557	34094639480.0
2182056926748	0.17053647	34094639480.0
2182056926751	0.17056353	34094639480.0
2182056926752	0.17060429	34094639480.0
2182056928314	0.17062353	34094639504.0
2182056926750	0.17064072	34094639480.0
2182056928471	0.1707018	34094639507.0
2182056928480	0.1707338	34094639507.0
2182056926746	0.17076482	34094639480.0
2182056926747	0.1707939	34094639480.0
2182056926769	0.17079511	34094639480.0
2182056926755	0.17082505	34094639480.0
2182056928477	0.17085524	34094639507.0
2182056928479	0.1709032	34094639507.0
