	line_AVF	page
1592635380928	0.056756806	24884927827.0
1592635380992	0.056790255	24884927828.0
1592635381056	0.056819886	24884927829.0
1592635381120	0.056853797	24884927830.0
1592635381184	0.05688366	24884927831.0
1592635381248	0.05691167	24884927832.0
1592635381312	0.05694686	24884927833.0
1592635381376	0.056975562	24884927834.0
1592635381440	0.057009708	24884927835.0
1592635381504	0.057039455	24884927836.0
1592635381568	0.05707348	24884927837.0
1592635377621	0.057778485	24884927775.0
1592635377685	0.057795964	24884927776.0
1592635377749	0.05780187	24884927777.0
1592635377813	0.05780777	24884927778.0
1592635377877	0.057813674	24884927779.0
1592635377941	0.057819575	24884927780.0
1592635378005	0.05782548	24884927781.0
1592635378069	0.05783138	24884927782.0
1592635378133	0.057837285	24884927783.0
1592635378197	0.05784319	24884927784.0
1592635378261	0.05784909	24884927785.0
1592635368946	0.057887286	24884927639.0
1592635379918	0.057888214	24884927811.0
1592635369308	0.057889137	24884927645.0
1592635369380	0.057895042	24884927646.0
1592635379982	0.057904534	24884927812.0
1592635369650	0.057925947	24884927650.0
1592635369820	0.05792687	24884927653.0
1592635370212	0.057932775	24884927659.0
1592635380046	0.057956733	24884927813.0
1592635370354	0.05795766	24884927661.0
1592635370524	0.05796889	24884927664.0
1592635380110	0.057974443	24884927814.0
1592635370596	0.05797537	24884927665.0
1592635371292	0.057994235	24884927676.0
1592635371364	0.05800014	24884927677.0
1592635371122	0.05800396	24884927673.0
1592635380174	0.05802074	24884927815.0
1592635371826	0.058051646	24884927684.0
1592635371996	0.05805257	24884927687.0
1592635372068	0.058058474	24884927688.0
1592635380238	0.05806704	24884927816.0
1592635372530	0.058075257	24884927695.0
1592635372772	0.058087062	24884927699.0
1592635372700	0.058092967	24884927698.0
1592635380302	0.058109634	24884927817.0
1592635373404	0.05811056	24884927709.0
1592635373476	0.058116462	24884927710.0
1592635373298	0.05812144	24884927707.0
1592635380366	0.058143314	24884927818.0
1592635373874	0.058153503	24884927716.0
1592635373988	0.058158364	24884927718.0
1592635374172	0.058164265	24884927721.0
1592635380430	0.0581829	24884927819.0
1592635374642	0.05819459	24884927728.0
1592635374812	0.058195516	24884927731.0
1592635374884	0.05820142	24884927732.0
1592635375282	0.05822133	24884927738.0
1592635375524	0.0582226	24884927742.0
1592635380494	0.05822399	24884927820.0
1592635375580	0.058228504	24884927743.0
1592635380558	0.058240656	24884927821.0
1592635376050	0.058257323	24884927750.0
1592635376220	0.058269016	24884927753.0
1592635376292	0.05828221	24884927754.0
1592635381632	0.05828348	24884927838.0
1592635381696	0.058289386	24884927839.0
1592635376419	0.05829517	24884927756.0
1592635380679	0.0582961	24884927823.0
1592635376561	0.058297023	24884927758.0
1592635376633	0.058302928	24884927759.0
1592635381760	0.05830686	24884927840.0
1592635376675	0.05831265	24884927760.0
1592635380743	0.05831358	24884927824.0
1592635377059	0.058318555	24884927766.0
1592635380807	0.05831948	24884927825.0
1592635376881	0.058320407	24884927763.0
1592635377315	0.058324456	24884927770.0
1592635380871	0.058325384	24884927826.0
1592635376953	0.058326308	24884927764.0
1592635377201	0.058332212	24884927768.0
1592635377273	0.058338113	24884927769.0
1592635377521	0.058367398	24884927773.0
1592635381824	0.058368325	24884927841.0
1592635377593	0.058373302	24884927774.0
1592635378325	0.058615208	24884927786.0
1592635378389	0.058621112	24884927787.0
1592635378453	0.058627013	24884927788.0
1592635378517	0.058632918	24884927789.0
1592635378581	0.058638822	24884927790.0
1592635378645	0.058644723	24884927791.0
1592635378709	0.058662202	24884927792.0
1592635378773	0.058668103	24884927793.0
1592635378837	0.058674008	24884927794.0
1592635378901	0.05867991	24884927795.0
1592635378965	0.058685813	24884927796.0
1592635379029	0.058691718	24884927797.0
1592635379093	0.05869762	24884927798.0
1592635379157	0.058703523	24884927799.0
1592635379221	0.058709424	24884927800.0
1592635379285	0.05871533	24884927801.0
1592635379349	0.05872123	24884927802.0
1592635379413	0.058727134	24884927803.0
1592635379477	0.05873304	24884927804.0
1592635379541	0.05873894	24884927805.0
1592635379605	0.058744844	24884927806.0
1592635379669	0.058750745	24884927807.0
1592635379733	0.058768224	24884927808.0
1592635379797	0.058774125	24884927809.0
1592635379861	0.05878003	24884927810.0
1592635380929	0.060934164	24884927827.0
1592635380993	0.060955808	24884927828.0
1592635381057	0.060971316	24884927829.0
1592635381121	0.060992382	24884927830.0
1592635381185	0.06100824	24884927831.0
1592635381249	0.061032083	24884927832.0
1592635381313	0.06104771	24884927833.0
1592635381377	0.061063565	24884927834.0
1592635381441	0.061087757	24884927835.0
1592635381505	0.061104655	24884927836.0
1592635381569	0.061126996	24884927837.0
1592635377622	0.061833154	24884927775.0
1592635377686	0.061850633	24884927776.0
1592635377750	0.061856538	24884927777.0
