	line_AVF	page
1248872785379	0.018875534	19513637271.0
1875572774178	0.018875804	29305824596.0
1875572779851	0.018884556	29305824685.0
1875572779852	0.018893614	29305824685.0
1875572779853	0.018896982	29305824685.0
1875572779880	0.018897789	29305824685.0
1875572763973	0.0189123	29305824437.0
1248872761268	0.018920146	19513636894.0
1248872761269	0.018954523	19513636894.0
1522955830867	0.018962199	23796184857.0
1248872761271	0.018966407	19513636894.0
1248872761272	0.018966677	19513636894.0
1248872785545	0.01896698	19513637274.0
1248872785547	0.018975599	19513637274.0
1248872785546	0.018975869	19513637274.0
1248872785641	0.13426846	19513637275.0
1248872785643	0.11635782	19513637275.0
1248872761277	0.018999303	19513636894.0
1248872761274	0.019002635	19513636894.0
1248872761278	0.019002905	19513636894.0
1248872761275	0.019004285	19513636894.0
1248872785673	0.01901075	19513637276.0
1248872785537	0.019015126	19513637274.0
1248872785536	0.01901846	19513637274.0
1248872785681	0.019024016	19513637276.0
1248872785540	0.01903085	19513637274.0
1248872785541	0.019031625	19513637274.0
1248872785695	0.019038392	19513637276.0
1248872785749	0.01904425	19513637277.0
1248872785640	0.019051826	19513637275.0
1248872785750	0.019053172	19513637277.0
1248872785644	0.01905792	19513637275.0
1248872785647	0.01906213	19513637275.0
1248872761273	0.019063914	19513636894.0
1248872785796	0.019076068	19513637278.0
1248872785864	0.019092802	19513637279.0
1248872785930	0.05793536	19513637280.0
1248872785797	0.019109469	19513637278.0
1522955841111	0.019117145	23796185017.0
1248872785800	0.019118087	19513637278.0
1248872785817	0.019121422	19513637278.0
1248872785799	0.01912223	19513637278.0
1248872785819	0.019130882	19513637278.0
1248872785818	0.019131152	19513637278.0
1248872786012	0.019142397	19513637281.0
1248872786013	0.13817033	19513637281.0
1248872786015	0.02950474	19513637281.0
1248872785802	0.01916297	19513637278.0
1248872785806	0.019163238	19513637278.0
1248872785803	0.019163541	19513637278.0
1248872785805	0.019166369	19513637278.0
1248872786061	0.019174451	19513637282.0
1248872785808	0.019175898	19513637278.0
1248872785809	0.019176167	19513637278.0
1248872786069	0.019180072	19513637282.0
1248872785812	0.01918812	19513637278.0
1248872785813	0.01918839	19513637278.0
1248872786084	0.01919701	19513637282.0
1248872786159	0.019201925	19513637283.0
1248872786016	0.15899184	19513637281.0
1248872786019	0.019222192	19513637281.0
1875572763974	0.01924418	29305824437.0
1248872786200	0.019252025	19513637284.0
1673225123197	0.019266468	26144142549.0
3559297761128	0.019266738	55614027517.0
97170990868	0.019279532	1518296732.0
1875572771591	0.019279802	29305824556.0
97170990870	0.01928007	1518296732.0
3559297748202	0.019284751	55614027315.0
1248872780392	0.01928502	19513637193.0
3559297748342	0.7573835	55614027317.0
1248872786267	0.019313673	19513637285.0
1248872786367	0.68899584	19513637286.0
1449024146564	0.019333672	22641002290.0
1248872786391	0.019341517	19513637287.0
1248872786475	0.019349363	19513637288.0
1248872786201	0.019358689	19513637284.0
2622702647515	0.019366365	40979728867.0
1248872786221	0.019367544	19513637284.0
1248872786204	0.019367814	19513637284.0
1248872786203	0.01937145	19513637284.0
1248872786223	0.019376736	19513637284.0
1248872786222	0.019380135	19513637284.0
1248872786554	0.1920288	19513637289.0
1248872786556	0.10076892	19513637289.0
1248872786206	0.019407071	19513637284.0
1248872786209	0.019407341	19513637284.0
1248872786210	0.01940761	19513637284.0
1248872786207	0.019408721	19513637284.0
1248872786577	0.019415455	19513637290.0
1248872786212	0.019419765	19513637284.0
1248872786213	0.019420035	19513637284.0
1248872786586	0.01942394	19513637290.0
1248872786217	0.019433703	19513637284.0
1248872786216	0.019437037	19513637284.0
1248872786600	0.019441212	19513637290.0
1875572759487	0.019450437	29305824366.0
1248872786553	0.019453097	19513637289.0
1248872786624	0.01945835	19513637291.0
1248872786557	0.019465521	19513637289.0
1248872786205	0.019469226	19513637284.0
1248872786688	0.0194734	19513637292.0
1248872786795	0.019487474	19513637293.0
1522955837517	0.019528922	23796184961.0
1522955837536	0.019537136	23796184961.0
1248872786798	0.019537978	19513637293.0
1248872786799	0.019541379	19513637293.0
1248872786816	0.019542221	19513637294.0
1248872786817	0.019547472	19513637294.0
1248872786938	0.06887436	19513637295.0
1248872786940	0.14921528	19513637295.0
1248872786801	0.019566495	19513637293.0
1248872786803	0.019566765	19513637293.0
1248872786804	0.019567035	19513637293.0
1248872786805	0.019569963	19513637293.0
1248872786965	0.019578246	19513637296.0
1248872786806	0.019579189	19513637293.0
1248872786807	0.019579459	19513637293.0
1248872786974	0.019587	19513637296.0
1248872786802	0.019592084	19513637293.0
1248872786811	0.019592354	19513637293.0
1248872786810	0.019593801	19513637293.0
1248872786988	0.019599896	19513637296.0
1248872787063	0.019610569	19513637297.0
1248872786937	0.019613195	19513637295.0
1248872787064	0.019618178	19513637297.0
1248872786941	0.054072008	19513637295.0
1248872786800	0.01963279	19513637293.0
1875572763975	0.019648211	29305824437.0
1248872786877	0.019652387	19513637294.0
1046780791202	0.019671746	16355949862.0
1248872787080	0.01970289	19513637298.0
1522955861086	0.019714102	23796185329.0
1248872787190	0.019728076	19513637299.0
1248872787239	0.019739287	19513637300.0
1248872787240	0.019744774	19513637300.0
2182056918373	0.10536825	34094639349.0
1248872787295	0.69653076	19513637301.0
1248872787329	0.019766828	19513637302.0
1046780791411	0.34240523	16355949865.0
1046780791440	0.64372325	16355949866.0
1248872787470	0.019790363	19513637304.0
1248872787408	0.019793697	19513637303.0
1248872787522	0.019794269	19513637305.0
1248872787409	0.019801542	19513637303.0
1248872787595	0.019805482	19513637306.0
1248872786878	0.019816155	19513637294.0
