	line_AVF	page
1592635366883	0.05062231	24884927607.0
1592635366062	0.05315396	24884927594.0
1592635366894	0.05323655	24884927607.0
1592635366379	0.053570807	24884927599.0
1592635365049	0.055121884	24884927578.0
1592635366905	0.05516887	24884927607.0
1592635366916	0.055174924	24884927608.0
1592635364956	0.05906926	24884927577.0
1592635364211	0.059302334	24884927565.0
1592635364222	0.059307087	24884927565.0
1592635364233	0.059312277	24884927566.0
1592635364244	0.059349034	24884927566.0
1592635364255	0.059350908	24884927566.0
1592635364266	0.05935206	24884927566.0
1592635364277	0.0593855	24884927566.0
1592635364288	0.059387516	24884927567.0
1592635363371	0.0595785	24884927552.0
1592635363382	0.05958297	24884927552.0
1592635363393	0.05958816	24884927553.0
1592635363404	0.059600268	24884927553.0
1592635363415	0.059623472	24884927553.0
1592635363426	0.05962506	24884927553.0
1592635363437	0.05962621	24884927553.0
1592635363448	0.05964524	24884927553.0
1592635365619	0.060452126	24884927587.0
1592635365630	0.06045472	24884927587.0
1592635365641	0.060455874	24884927588.0
1592635365652	0.060457025	24884927588.0
1592635365663	0.06045818	24884927588.0
1592635365674	0.06045933	24884927588.0
1592635365685	0.060460486	24884927588.0
1592635365696	0.060461637	24884927589.0
1592635366131	0.060508914	24884927595.0
1592635366142	0.060512953	24884927595.0
1592635366153	0.060514536	24884927596.0
1592635366164	0.060527366	24884927596.0
1592635366175	0.0605314	24884927596.0
1592635366186	0.060553454	24884927596.0
1592635366197	0.060555182	24884927596.0
1592635366208	0.060556337	24884927597.0
1592635366281	0.060664296	24884927598.0
1592635364200	0.06080541	24884927565.0
1592635364299	0.060894918	24884927567.0
1592635364440	0.06104309	24884927569.0
1592635364451	0.061080713	24884927569.0
1592635364462	0.06108201	24884927569.0
1592635364473	0.06108331	24884927569.0
1592635364484	0.061116893	24884927570.0
1592635364495	0.0611192	24884927570.0
1592635364506	0.061121073	24884927570.0
1592635364517	0.06115725	24884927570.0
1592635364528	0.061195157	24884927570.0
1592635364951	0.06201156	24884927577.0
1592635367166	0.06203592	24884927611.0
1592635363370	0.07078931	24884927552.0
1592635363381	0.07082577	24884927552.0
1592635363392	0.07083183	24884927553.0
1592635363403	0.07085979	24884927553.0
1592635363414	0.07086585	24884927553.0
1592635363425	0.07089323	24884927553.0
