	line_AVF	page
3303958988866	0.03296181	51624359201.0
3303958988867	0.032962926	51624359201.0
3303958988868	0.032964785	51624359201.0
3303958988869	0.03296581	51624359201.0
3303958988874	0.032966554	51624359201.0
3303958988875	0.032967668	51624359201.0
3303958988870	0.032968413	51624359201.0
3303958988871	0.032969344	51624359201.0
3303958988876	0.032970086	51624359201.0
3303958988877	0.03297083	51624359201.0
3303958988872	0.032971576	51624359201.0
3303958988873	0.03297288	51624359201.0
3303958988878	0.03297362	51624359201.0
3303958988879	0.032974366	51624359201.0
3303958988880	0.032976322	51624359201.0
3303958988881	0.032977622	51624359201.0
3303958988882	0.032978367	51624359201.0
3303958988883	0.032979947	51624359201.0
3303958988884	0.032981344	51624359201.0
3303958988885	0.032983575	51624359201.0
3303958988886	0.0329846	51624359201.0
3303958988887	0.032985903	51624359201.0
3303958988888	0.032988135	51624359201.0
3303958988889	0.032989528	51624359201.0
3303958988890	0.032991763	51624359201.0
3303958988891	0.032992784	51624359201.0
3303958988892	0.032994088	51624359201.0
3303958988893	0.03299632	51624359201.0
3303958988894	0.032997716	51624359201.0
3303958988895	0.032999948	51624359201.0
3303958988896	0.033000972	51624359201.0
3303958988897	0.033002272	51624359201.0
3303958988898	0.033004507	51624359201.0
3303958988899	0.0330059	51624359201.0
3303958988900	0.033008136	51624359201.0
3303958988901	0.033009157	51624359201.0
3303958988902	0.03301046	51624359201.0
3303958988903	0.033012692	51624359201.0
3303958988904	0.03301409	51624359201.0
3303958988905	0.03301632	51624359201.0
3303958988906	0.033017345	51624359201.0
3303958988907	0.033018645	51624359201.0
3303958988908	0.03302088	51624359201.0
3303958988909	0.033022273	51624359201.0
3303958988910	0.03302451	51624359201.0
3303958988911	0.03302553	51624359201.0
3303958988912	0.033026833	51624359201.0
3303958988913	0.033029065	51624359201.0
3303958988914	0.03303046	51624359201.0
3303958988915	0.033032693	51624359201.0
3303958988916	0.033033717	51624359201.0
3303958988917	0.033035018	51624359201.0
3303958988918	0.033037253	51624359201.0
3303958988919	0.033038646	51624359201.0
3303958988920	0.033040877	51624359201.0
3303958988921	0.033041902	51624359201.0
3303958988922	0.033043206	51624359201.0
1046780811330	0.0	16355950177.0
1046780811331	0.0	16355950177.0
1046780811332	0.0	16355950177.0
1046780811333	0.0	16355950177.0
1046780811334	0.0	16355950177.0
1046780811335	0.0	16355950177.0
1046780811336	0.0	16355950177.0
1046780811337	0.0	16355950177.0
1046780811338	0.0	16355950177.0
1046780811339	0.0	16355950177.0
3303958988924	0.033078555	51624359201.0
3303958988923	0.0330793	51624359201.0
3303958988925	0.03308004	51624359201.0
3303958988926	0.033080786	51624359201.0
3303958988927	0.03308153	51624359201.0
3303958988928	0.033082277	51624359202.0
3303958988929	0.033083018	51624359202.0
3303958988930	0.033083763	51624359202.0
3303958988932	0.033084508	51624359202.0
3303958988931	0.033085253	51624359202.0
3303958988933	0.033085994	51624359202.0
1046780811347	0.0	16355950177.0
1046780811348	0.0	16355950177.0
1046780811349	0.0	16355950177.0
1046780811350	0.0	16355950177.0
1046780811351	0.0	16355950177.0
1046780811352	0.0	16355950177.0
1046780811353	0.0	16355950177.0
1046780811354	0.0	16355950177.0
1046780811355	0.0	16355950177.0
1046780811356	0.0	16355950177.0
1046780811357	0.0	16355950177.0
3303958988939	0.033121902	51624359202.0
3303958988940	0.033122648	51624359202.0
3303958988941	0.033123393	51624359202.0
3303958988934	0.033124138	51624359202.0
3303958988935	0.03312488	51624359202.0
3303958988936	0.033125624	51624359202.0
3303958988937	0.03312637	51624359202.0
3303958988938	0.033127114	51624359202.0
3303958988947	0.033127856	51624359202.0
3303958988948	0.0331286	51624359202.0
3303958988949	0.033129346	51624359202.0
1046780811365	0.0	16355950177.0
1046780811366	0.0	16355950177.0
1046780811367	0.0	16355950177.0
1046780811368	0.0	16355950177.0
1046780811369	0.0	16355950177.0
1046780811370	0.0	16355950177.0
1046780811371	0.0	16355950177.0
1046780811372	0.0	16355950177.0
1046780811373	0.0	16355950177.0
1046780811374	0.0	16355950177.0
1046780811375	0.0	16355950177.0
3303958988950	0.033165254	51624359202.0
3303958988951	0.033166	51624359202.0
3303958988952	0.03316674	51624359202.0
3303958988945	0.033167485	51624359202.0
3303958988946	0.03316823	51624359202.0
3303958988955	0.033168975	51624359202.0
3303958988956	0.033169717	51624359202.0
3303958988957	0.03317046	51624359202.0
3303958988942	0.033171207	51624359202.0
3303958988943	0.03317195	51624359202.0
3303958988944	0.033172697	51624359202.0
1046780811383	0.0	16355950177.0
1046780811384	0.0	16355950177.0
1046780811385	0.0	16355950177.0
1046780811386	0.0	16355950177.0
1046780811340	0.0	16355950177.0
1046780811341	0.0	16355950177.0
1046780811342	0.0	16355950177.0
1046780811387	0.0	16355950177.0
1046780811343	0.0	16355950177.0
1046780811344	0.0	16355950177.0
1046780811345	0.0	16355950177.0
3303958988961	0.0332086	51624359202.0
3303958988962	0.033209346	51624359202.0
3303958988963	0.03321009	51624359202.0
3303958988958	0.033210836	51624359202.0
3303958988959	0.033211578	51624359202.0
3303958988960	0.033212323	51624359202.0
3303958988964	0.033213068	51624359202.0
3303958988965	0.033213813	51624359202.0
3303958988953	0.033214558	51624359202.0
3303958988954	0.0332153	51624359202.0
3303958988971	0.033216044	51624359202.0
1046780811393	0.0	16355950178.0
1046780811394	0.0	16355950178.0
1046780811396	0.0	16355950178.0
1046780811397	0.0	16355950178.0
