	line_AVF	page
1592635366252	0.031986028	24884927597.0
1592635366312	0.043597214	24884927598.0
1592635366253	0.045244835	24884927597.0
1592635366313	0.056830015	24884927598.0
1592635366254	0.0584891	24884927597.0
1592635366314	0.0701051	24884927598.0
1592635366255	0.07175561	24884927597.0
1592635366315	0.083341464	24884927598.0
1592635366256	0.084987834	24884927597.0
1592635366316	0.09658756	24884927598.0
1592635366257	0.09824742	24884927597.0
1592635366317	0.109846175	24884927598.0
1592635366258	0.11149765	24884927597.0
1592635366318	0.123078205	24884927598.0
1592635366259	0.12473748	24884927597.0
1592635366319	0.136348	24884927598.0
1592635366260	0.13799976	24884927597.0
1592635366320	0.1495965	24884927598.0
1592635366261	0.15125124	24884927597.0
1592635366321	0.16284287	24884927598.0
1592635366262	0.16449791	24884927597.0
1592635366322	0.17611083	24884927598.0
1592635366263	0.17775884	24884927597.0
1592635366323	0.18935558	24884927598.0
1592635366264	0.19100994	24884927597.0
1592635366324	0.2026087	24884927598.0
1592635366265	0.20426066	24884927597.0
1592635366325	0.21585768	24884927598.0
1592635366266	0.21750444	24884927597.0
1592635366326	0.22910032	24884927598.0
1592635366267	0.23075044	24884927597.0
1592635366327	0.24232975	24884927598.0
1592635366268	0.24398749	24884927597.0
1592635366328	0.25557882	24884927598.0
1592635366269	0.25722682	24884927597.0
1592635366329	0.26882002	24884927598.0
1592635366270	0.27046674	24884927597.0
1592635366330	0.28206253	24884927598.0
1592635366271	0.28371266	24884927597.0
1592635366331	0.29529196	24884927598.0
1592635366400	0.29696983	24884927600.0
1592635366332	0.30856118	24884927598.0
1592635366401	0.3102188	24884927600.0
1592635366333	0.32181197	24884927598.0
1592635366402	0.3234684	24884927600.0
1592635366334	0.33506578	24884927598.0
1592635366403	0.3367241	24884927600.0
1592635366335	0.34834	24884927598.0
1592635366404	0.35000873	24884927600.0
1592635366464	0.3616415	24884927601.0
1592635366405	0.36329615	24884927600.0
1592635366465	0.3748896	24884927601.0
1592635366406	0.37655282	24884927600.0
1592635366557	0.38155368	24884927602.0
1592635366558	0.3815694	24884927602.0
1592635366559	0.38159865	24884927602.0
1592635366560	0.38161668	24884927602.0
1592635366561	0.38163614	24884927602.0
1592635366562	0.38165587	24884927602.0
1592635366563	0.38167322	24884927602.0
1592635366564	0.38169336	24884927602.0
1592635366565	0.38171357	24884927602.0
1592635366566	0.3817314	24884927602.0
1592635366567	0.38175106	24884927602.0
1592635366568	0.38177156	24884927602.0
1592635366569	0.38178948	24884927602.0
1592635366570	0.3818094	24884927602.0
1592635366571	0.38182744	24884927602.0
1592635366572	0.3818469	24884927602.0
1592635366573	0.38186663	24884927602.0
1592635366574	0.38188398	24884927602.0
1592635366575	0.3819041	24884927602.0
1592635366576	0.38192433	24884927602.0
1592635366577	0.38194215	24884927602.0
1592635366578	0.3819618	24884927602.0
1592635366579	0.38198233	24884927602.0
1592635366580	0.38200024	24884927602.0
1592635366581	0.38202018	24884927602.0
1592635366582	0.3820382	24884927602.0
1592635366583	0.38205764	24884927602.0
1592635366584	0.3820774	24884927602.0
1592635366585	0.38209474	24884927602.0
