page	line_AVF
24884927550.0	0.9124876
24884927551.0	0.68211806
24884927552.0	0.91283166
24884927556.0	0.9073924
24884927559.0	0.90741867
24884927562.0	0.9100601
24884927563.0	0.4414123
24884927564.0	0.39307714
24884927568.0	0.9105238
24884927572.0	0.4255479
24884927575.0	0.91096485
24884927577.0	0.9112693
24884927579.0	0.9114484
24884927580.0	0.91146755
24884927581.0	0.9115939
24884927582.0	0.0
24884927583.0	0.0
24884927584.0	0.0
24884927585.0	0.0
24884927586.0	0.0
24884927587.0	0.0
24884927588.0	0.0
24884927589.0	0.0
24884927590.0	0.0
24884927591.0	0.0
24884927592.0	0.0
24884927595.0	0.0
24884927596.0	0.0
24884927598.0	0.0
24884927599.0	0.0
24884927600.0	0.0
24884927601.0	0.0
24884927604.0	0.0
24884927605.0	0.0
24884927608.0	0.0
24884927609.0	0.0
24884927612.0	0.0
24884927613.0	0.0
24884927616.0	0.0
24884927639.0	0.08394045
24884927645.0	0.12656876
24884927646.0	0.11079677
24884927650.0	0.08398045
24884927653.0	0.12661299
24884927659.0	0.11083684
24884927661.0	0.08401031
24884927664.0	0.12665685
24884927665.0	0.110875316
24884927669.0	0.91199136
24884927673.0	0.08405841
24884927676.0	0.12668794
24884927677.0	0.110905446
24884927684.0	0.084095344
24884927687.0	0.12673391
24884927688.0	0.11094915
24884927695.0	0.08411977
24884927698.0	0.12677729
24884927699.0	0.110982925
24884927707.0	0.08417285
24884927709.0	0.12680942
24884927710.0	0.11101847
24884927716.0	0.08420252
24884927718.0	0.11105064
24884927721.0	0.12685595
24884927728.0	0.08424492
24884927731.0	0.12689367
24884927732.0	0.1110981
24884927738.0	0.08426984
24884927742.0	0.11111712
24884927743.0	0.12692879
24884927750.0	0.084311776
24884927753.0	0.1269659
24884927754.0	0.11116639
24884927756.0	0.11311842
24884927758.0	0.08630382
24884927759.0	0.070306234
24884927760.0	0.11313361
24884927763.0	0.08633917
24884927764.0	0.07032313
24884927766.0	0.113142684
24884927768.0	0.08635073
24884927769.0	0.070338905
24884927770.0	0.11315173
24884927773.0	0.08636095
24884927774.0	0.07035405
24884927775.0	0.14004673
24884927776.0	0.14006454
24884927777.0	0.14007044
24884927778.0	0.14007634
24884927779.0	0.1400825
24884927780.0	0.1400884
24884927781.0	0.14009461
24884927782.0	0.14010084
24884927783.0	0.14010674
24884927784.0	0.14011264
24884927785.0	0.14012018
24884927786.0	0.09465375
24884927787.0	0.14088589
24884927788.0	0.13462994
24884927789.0	0.10629125
24884927790.0	0.1409036
24884927791.0	0.14090951
24884927792.0	0.116535775
24884927793.0	0.14093289
24884927794.0	0.09469325
24884927795.0	0.14094469
24884927796.0	0.094701186
24884927797.0	0.1289602
24884927798.0	0.1409624
24884927799.0	0.12123274
24884927800.0	0.1289764
24884927801.0	0.14098011
24884927802.0	0.14098601
24884927803.0	0.14099193
24884927804.0	0.14099783
24884927805.0	0.10637123
24884927806.0	0.097797
24884927807.0	0.14101554
24884927808.0	0.1212884
24884927809.0	0.14103892
24884927810.0	0.104567714
24884927811.0	0.15396051
24884927812.0	0.1539889
24884927813.0	0.15403226
24884927814.0	0.15406954
24884927815.0	0.1541202
24884927816.0	0.15414968
24884927817.0	0.1542065
24884927818.0	0.15423661
24884927819.0	0.15428646
24884927820.0	0.15431345
24884927821.0	0.15435356
24884927822.0	0.5806166
24884927823.0	0.1683204
24884927824.0	0.1683337
24884927825.0	0.16834213
24884927826.0	0.16834867
24884927827.0	0.1806601
24884927828.0	0.1806784
24884927829.0	0.18069828
24884927830.0	0.18071836
24884927831.0	0.18073764
24884927832.0	0.18075736
24884927833.0	0.18077676
24884927834.0	0.18079698
24884927835.0	0.1808155
24884927836.0	0.18083628
24884927837.0	0.18085538
24884927838.0	0.18206362
24884927839.0	0.1820696
24884927840.0	0.18208924
24884927841.0	0.18209861
24884927842.0	0.20968553
24884927843.0	0.209692
24884927844.0	0.20970143
24884927845.0	0.2097089
24884927846.0	0.2368821
24884927847.0	0.2369202
24884927848.0	0.23696762
24884927849.0	0.23701358
24884927850.0	0.23705758
24884927851.0	0.23710479
24884927852.0	0.23715006
24884927853.0	0.23719007
24884927854.0	0.23723258
24884927855.0	0.23727354
24884927856.0	0.23732659
24884927857.0	0.24129225
24884927858.0	0.24129593
24884927859.0	0.2413194
24884927860.0	0.24134731
24884927861.0	0.29244098
24884927862.0	0.29249218
24884927863.0	0.29253694
24884927864.0	0.2925871
24884927865.0	0.29263714
24884927866.0	0.2926764
24884927867.0	0.29273072
24884927868.0	0.29275376
24884927869.0	0.29281107
24884927870.0	0.29284233
24884927871.0	0.29290268
24884927872.0	0.2968818
24884927873.0	0.2968855
24884927874.0	0.2968941
24884927875.0	0.2969013
24884927876.0	0.3242781
24884927877.0	0.32432637
24884927878.0	0.3243786
24884927879.0	0.3244231
24884927880.0	0.32447386
24884927881.0	0.32452485
24884927882.0	0.32456487
24884927883.0	0.32461917
24884927884.0	0.3246533
24884927885.0	0.32470578
24884927886.0	0.32473165
24884927887.0	0.352067
24884927888.0	0.35208446
24884927889.0	0.3520922
24884927890.0	0.35209832
24884927891.0	0.3521044
24884927892.0	0.35211048
24884927893.0	0.35211638
24884927894.0	0.35212255
24884927895.0	0.3521278
24884927896.0	0.3521337
24884927897.0	0.3521403
24884927898.0	0.35296497
24884927899.0	0.35297087
24884927900.0	0.35297677
24884927901.0	0.35298267
24884927902.0	0.35298857
24884927903.0	0.35299456
24884927904.0	0.35301214
24884927905.0	0.35301805
24884927906.0	0.35302395
24884927907.0	0.35302994
24884927908.0	0.35303593
24884927909.0	0.35304192
24884927910.0	0.3530479
24884927911.0	0.3530539
24884927912.0	0.3530599
24884927913.0	0.35306588
24884927914.0	0.35307187
24884927915.0	0.35307777
24884927916.0	0.35308367
24884927917.0	0.35308957
24884927918.0	0.35309547
24884927919.0	0.35310137
24884927920.0	0.35311887
24884927921.0	0.35312477
24884927922.0	0.35313067
24884927923.0	0.38008857
24884927924.0	0.3801165
24884927925.0	0.38016987
24884927926.0	0.38020518
24884927927.0	0.38027483
24884927928.0	0.38030294
24884927929.0	0.3803679
24884927930.0	0.38040072
24884927931.0	0.38045552
24884927932.0	0.3804882
24884927933.0	0.38052252
24884927934.0	0.40848237
24884927935.0	0.40848655
24884927936.0	0.4085077
24884927937.0	0.4085144
24884927938.0	0.43498346
24884927939.0	0.43500248
24884927940.0	0.43502164
24884927941.0	0.43504283
24884927942.0	0.43506187
24884927943.0	0.43508214
24884927944.0	0.43510196
24884927945.0	0.43512222
24884927946.0	0.43514186
24884927947.0	0.43516168
24884927948.0	0.4351816
24884927949.0	0.43641925
24884927950.0	0.43642542
24884927951.0	0.43643403
24884927952.0	0.43645987
24884927953.0	0.4644113
24884927954.0	0.46441722
24884927955.0	0.4644279
24884927956.0	0.46443626
24884927957.0	0.49187028
24884927958.0	0.49191165
24884927959.0	0.49196106
24884927960.0	0.49200922
24884927961.0	0.4920579
24884927962.0	0.49210674
24884927963.0	0.4921528
24884927964.0	0.49219668
24884927965.0	0.49223927
24884927966.0	0.49228093
24884927967.0	0.49232647
24884927968.0	0.49634984
24884927969.0	0.49635577
24884927970.0	0.4963649
24884927971.0	0.49637365
24884927972.0	0.5479172
24884927973.0	0.5479693
24884927974.0	0.54801136
24884927975.0	0.5480632
24884927976.0	0.5481132
24884927977.0	0.5481551
24884927978.0	0.54820806
24884927979.0	0.5482293
24884927980.0	0.54828584
24884927981.0	0.5483177
24884927982.0	0.54837817
24884927983.0	0.5523721
24884927984.0	0.5523866
24884927985.0	0.5523938
24884927986.0	0.55240124
24884927987.0	0.5799414
24884927988.0	0.5799891
24884927989.0	0.5800426
24884927990.0	0.58008516
24884927991.0	0.5801365
24884927992.0	0.5801855
24884927993.0	0.5802285
24884927994.0	0.5802828
24884927995.0	0.58032006
24884927996.0	0.58037126
24884927997.0	0.58039784
24884927998.0	0.6078735
24884927999.0	0.6078798
24884928000.0	0.6078977
24884928001.0	0.60790384
24884928002.0	0.60790956
24884928003.0	0.60791546
24884928004.0	0.6079225
24884928005.0	0.60792863
24884928006.0	0.60793376
24884928007.0	0.60793966
24884928008.0	0.607947
24884928009.0	0.60876423
24884928010.0	0.60877025
24884928011.0	0.6087762
24884928012.0	0.60878223
24884928013.0	0.6087882
24884928014.0	0.6087942
24884928015.0	0.6088002
24884928016.0	0.60881776
24884928017.0	0.60882366
24884928018.0	0.60882956
24884928019.0	0.6088356
24884928020.0	0.60884154
24884928021.0	0.60884756
24884928022.0	0.6088535
24884928023.0	0.60885954
24884928024.0	0.6088655
24884928025.0	0.6088715
24884928026.0	0.6088775
24884928027.0	0.6088834
24884928028.0	0.6088893
24884928029.0	0.6088952
24884928030.0	0.60890114
24884928031.0	0.60890704
24884928032.0	0.6089245
24884928033.0	0.6089304
24884928034.0	0.63602513
24884928035.0	0.63605654
24884928036.0	0.63610345
24884928037.0	0.636146
24884928038.0	0.6362088
24884928039.0	0.6362424
24884928040.0	0.6363057
24884928041.0	0.6363406
24884928042.0	0.6363958
24884928043.0	0.6364256
24884928044.0	0.63646704
24884928045.0	0.6645318
24884928046.0	0.66453755
24884928047.0	0.66454524
24884928048.0	0.6645643
24884928049.0	0.69108546
24884928050.0	0.691104
24884928051.0	0.69112337
