page	line_AVF
12954820913.0	0.8530308
12954820915.0	0.61758554
12954820916.0	0.2807448
12954820918.0	0.8413904
12954820919.0	0.8454744
12954820920.0	0.84893143
12954820929.0	0.73340577
12954820933.0	0.08033071
12954820934.0	0.84527534
12954820937.0	0.5846806
12954820938.0	0.8455628
12954820939.0	0.85490376
12954820940.0	0.84714264
12954820943.0	0.8357012
12954820956.0	0.8475319
12954820957.0	0.8356957
12954820959.0	0.84941745
12954820966.0	0.8482913
12954820975.0	0.8365251
12954820976.0	0.8439894
12954820978.0	0.84976536
12954820981.0	0.8513183
12954820985.0	0.84142244
12954820989.0	0.4849051
12954820992.0	0.8578866
12954820994.0	0.8373013
12954820996.0	0.5446332
12954821001.0	0.84755015
12954821003.0	0.4191473
12954821008.0	0.8417461
12954821010.0	0.848493
12954821011.0	0.5480368
12954821012.0	0.85557914
12954821016.0	0.60711765
12954821018.0	0.8474197
12954821021.0	0.4632297
12954821026.0	0.84114826
12954821027.0	0.850417
12954821028.0	0.8357377
12954821030.0	0.8510728
12954821031.0	0.8422245
12954821033.0	0.83934104
12954821045.0	0.8518316
12954821046.0	0.8552981
12954821047.0	0.8519711
12954821049.0	0.8480128
12954821051.0	0.83609235
12954821054.0	0.6751846
12954821056.0	0.85253626
12954821061.0	0.835669
12954821062.0	0.84858185
12954821063.0	0.8490272
12954821064.0	0.8346094
12954821069.0	0.844643
12954821072.0	0.8523069
12954821076.0	0.8567648
12954821077.0	0.8358709
12954821078.0	0.84987634
12954821080.0	0.8379675
12954821088.0	0.8576177
12954821092.0	0.8433639
12954821102.0	0.83852476
12954821104.0	0.85026085
12954821105.0	0.5491769
12954821107.0	0.8444955
12954821118.0	0.63950884
12954821122.0	0.85354924
12954821123.0	0.8487506
12954821124.0	0.85898536
12954821125.0	0.4642119
12954821131.0	0.8530215
12954821132.0	0.64015234
12954821135.0	0.84993064
12954821136.0	0.83537847
12954821137.0	0.8514832
12954821140.0	0.84537584
12954821141.0	0.7178322
12954821145.0	0.85175544
12954821147.0	0.83572716
12954821148.0	0.85848844
12954821154.0	0.8350491
12954821156.0	0.6666846
12954821157.0	0.85276544
12954821158.0	0.8345941
12954821160.0	0.85072905
12954821161.0	0.85926235
12954821162.0	0.8582468
12954821165.0	0.85184854
12954821166.0	0.8453753
12954821167.0	0.8517239
13875226028.0	0.8463394
13875226029.0	0.84349287
13875226030.0	0.8464963
13875226034.0	0.85523057
13875226035.0	0.85839623
13875226036.0	0.8412746
13875226038.0	0.84079176
13875226044.0	0.5075063
