page	line_AVF
1518296734.0	0.0
1518296735.0	0.2187241
1518296739.0	0.0
1518296740.0	0.21925609
16355949808.0	0.92261493
20748601587.0	0.6504719
20748601588.0	0.55098045
20748601589.0	0.57035595
20748601590.0	0.5305178
20748601591.0	0.43082687
22641002229.0	0.0
22641002231.0	0.15620078
22641002232.0	0.075183414
22641002238.0	0.0
22641002243.0	0.0
22641002244.0	0.079331525
26144142100.0	0.37765425
26144142106.0	0.100204214
26144142114.0	0.1102636
26144142117.0	0.10349296
29305824313.0	0.0
29305824314.0	0.114744395
29305824319.0	0.0
29305824320.0	0.11514507
29305824322.0	0.0
29305824323.0	0.1886571
29305824326.0	0.0
29305824327.0	0.1158066
29305824328.0	0.07605869
29305824332.0	0.0
29305824333.0	0.14700651
29305824336.0	0.08854674
29305824337.0	0.049109533
29305824345.0	0.401036
29305824353.0	0.9492719
29305824355.0	0.05165677
29305824365.0	0.04422145
29305824366.0	0.0
29305824367.0	0.16075544
29305824377.0	0.13951643
29305824378.0	0.18824422
29305824379.0	0.0
29305824384.0	0.12738384
29305824385.0	0.0
29305824406.0	0.72668177
29305824408.0	0.0544367
29305824410.0	0.13129903
29305824411.0	0.13150145
29305824413.0	0.13186935
29305824422.0	0.7307524
29305824424.0	0.73026204
29305824426.0	0.55086064
29305824427.0	0.53879046
29305824428.0	0.4907176
29305824429.0	0.6104641
29305824430.0	0.6702749
29305824431.0	0.5304156
29305824432.0	0.61056614
29305824433.0	0.6704241
29305824434.0	0.5503768
29305824435.0	0.49072936
29305824436.0	0.5206868
29305824437.0	0.6101886
29305824438.0	0.5703127
29305824439.0	0.5502597
29305824440.0	0.6102173
31933350762.0	0.07526567
31933350763.0	0.07944041
31933350766.0	0.3725551
31933350769.0	0.0
31933350772.0	0.1210623
31933350773.0	0.083279714
31933350779.0	0.06618912
31933350780.0	0.081557125
34094639290.0	0.056831602
34094639292.0	0.8592234
34094639293.0	0.055403054
34094639295.0	0.11631206
34094639299.0	0.055641495
34094639304.0	0.8605605
37961544257.0	0.6106057
37961544258.0	0.5765767
40979728428.0	0.39322293
40979728429.0	0.43806875
40979728430.0	0.4959174
40979728431.0	0.4704512
40979728432.0	0.396595
40979728433.0	0.44145507
40979728434.0	0.4958573
40979728435.0	0.49640188
40979728436.0	0.4669684
40979728437.0	0.46747625
40979728438.0	0.43126756
40979728439.0	0.52999717
40979728440.0	0.5307719
40979728441.0	0.38043228
40979728442.0	0.3804685
40979728443.0	0.38447672
40979728444.0	0.3844824
40979728445.0	0.3845748
40979728446.0	0.38468963
40979728447.0	0.38458076
40979728448.0	0.3846995
40979728449.0	0.38443533
40979728450.0	0.43083736
40979728451.0	0.47913662
40979728452.0	0.47914165
40979728453.0	0.40865737
40979728454.0	0.47729716
40979728455.0	0.44080567
40979728456.0	0.4159599
40979728457.0	0.39303124
40979728458.0	0.39991757
40979728459.0	0.45588145
40979728460.0	0.50712925
40979728461.0	0.4280955
40979728462.0	0.3986355
40979728463.0	0.40278012
40979728464.0	0.5074161
40979728465.0	0.49757394
40979728466.0	0.4166869
40979728467.0	0.40625605
40979728468.0	0.47204292
40979728469.0	0.4893419
40979728470.0	0.49444
40979728471.0	0.5020436
40979728472.0	0.44396293
40979728473.0	0.59700686
40979728474.0	0.55815
40979728475.0	0.5382685
40979728476.0	0.43280432
40979728477.0	0.45922235
40979728478.0	0.43699932
40979728479.0	0.46219513
40979728480.0	0.48936898
40979728481.0	0.47456294
40979728482.0	0.48607904
40979728483.0	0.5585755
40979728484.0	0.47577503
40979728485.0	0.52218103
40979728486.0	0.5759894
40979728487.0	0.6041301
40979728488.0	0.6448368
40979728489.0	0.5760304
40979728490.0	0.58163625
40979728491.0	0.65762246
40979728492.0	0.4841772
40979728493.0	0.5338851
40979728494.0	0.53069335
40979728495.0	0.57578206
40979728496.0	0.62331516
40979728497.0	0.5340587
40979728498.0	0.5791974
40979728499.0	0.67517537
40979728500.0	0.6379101
40979728501.0	0.5690766
40979728502.0	0.49892244
40979728503.0	0.49896467
40979728504.0	0.50278825
40979728505.0	0.5027941
40979728506.0	0.5027744
40979728507.0	0.5027776
40979728508.0	0.5029635
40979728509.0	0.5535306
40979728510.0	0.55353653
40979728511.0	0.58748347
40979728512.0	0.5459621
40979728513.0	0.6248895
40979728514.0	0.5785378
40979728515.0	0.5064181
40979728516.0	0.57211065
40979728517.0	0.57625234
40979728518.0	0.5666982
40979728519.0	0.51341903
40979728520.0	0.5938234
40979728521.0	0.5656482
40979728522.0	0.5189971
40979728523.0	0.6506436
40979728524.0	0.6407816
40979728525.0	0.5364382
40979728526.0	0.52605575
40979728527.0	0.5814536
40979728528.0	0.57277566
40979728529.0	0.61967564
40979728530.0	0.6101815
40979728531.0	0.53538865
40979728532.0	0.6005017
40979728533.0	0.69908786
40979728534.0	0.6358798
40979728535.0	0.55230016
40979728536.0	0.5651982
40979728537.0	0.5564307
40979728538.0	0.5713926
40979728539.0	0.61711544
40979728540.0	0.6050061
40979728541.0	0.6311406
40979728542.0	0.63395953
40979728543.0	0.62405306
40979728544.0	0.6135901
40979728545.0	0.66025543
40979728546.0	0.68082994
40979728547.0	0.6813688
40979728548.0	0.74577266
40979728549.0	0.6823605
40979728550.0	0.7137289
40979728551.0	0.72974426
40979728552.0	0.6122847
40979728553.0	0.6809751
40979728554.0	0.6688855
40979728555.0	0.71981204
40979728556.0	0.6395891
40979728557.0	0.67236227
40979728558.0	0.7214529
40979728559.0	0.7765544
40979728560.0	0.77711314
40979728561.0	0.74364436
40979728562.0	0.7442269
40979728563.0	0.707614
40979728564.0	0.6187624
40979728565.0	0.6587322
40979728566.0	0.6229443
40979728567.0	0.62295043
40979728568.0	0.62304217
40979728569.0	0.6285857
40979728570.0	0.6230454
40979728571.0	0.6285911
40979728572.0	0.6249449
40979728573.0	0.6844583
40979728574.0	0.71702147
40979728575.0	0.62654954
40979728576.0	0.7294145
40979728577.0	0.63138807
40979728578.0	0.641912
40979728579.0	0.73231655
40979728580.0	0.658516
40979728581.0	0.7041963
40979728582.0	0.63713694
40979728583.0	0.6434788
40979728584.0	0.6720032
40979728585.0	0.6520705
40979728586.0	0.706597
40979728587.0	0.72606933
40979728588.0	0.75823
40979728589.0	0.7486689
40979728590.0	0.77220434
40979728591.0	0.6544664
40979728592.0	0.75756073
40979728593.0	0.7433929
40979728594.0	0.8280791
40979728595.0	0.81546515
40979728596.0	0.7866162
40979728597.0	0.6714005
40979728598.0	0.7123305
40979728599.0	0.6757786
40979728600.0	0.7148913
40979728601.0	0.74418265
40979728602.0	0.7340716
40979728603.0	0.7100817
40979728604.0	0.7627938
40979728605.0	0.75220203
40979728606.0	0.799182
40979728607.0	0.7256508
40979728608.0	0.87487143
40979728609.0	0.85414255
40979728610.0	0.859792
40979728611.0	0.83871305
40979728612.0	0.8264474
40979728613.0	0.7597784
40979728614.0	0.8286598
40979728615.0	0.80801266
40979728616.0	0.7785398
40979728617.0	0.7658763
40979728618.0	0.81148523
40979728619.0	0.9090156
40979728620.0	0.8262298
40979728621.0	0.8543871
40979728622.0	0.8270489
40979728623.0	0.73859537
40979728624.0	0.77878374
40979728625.0	0.7424004
40979728626.0	0.7424067
40979728627.0	0.74250174
40979728628.0	0.74259156
40979728629.0	0.74250627
40979728630.0	0.7425967
40979728631.0	0.742398
40979728632.0	0.78213334
40979728633.0	0.8238293
40979728634.0	0.82382387
40979728635.0	0.8235189
40979728636.0	0.7728285
40979728637.0	0.865948
40979728638.0	0.7668501
40979728639.0	0.8009461
40979728640.0	0.79102117
40979728641.0	0.75091636
40979728642.0	0.7566115
40979728643.0	0.889021
40979728644.0	0.7974774
40979728645.0	0.84352803
40979728646.0	0.7566281
40979728647.0	0.7601731
40979728648.0	0.77509296
40979728649.0	0.76439875
40979728650.0	0.8487868
40979728651.0	0.8415979
40979728652.0	0.8411657
40979728653.0	0.85093486
40979728654.0	0.9096435
40979728655.0	0.9000814
40979728656.0	0.795233
40979728657.0	0.8560861
40979728658.0	0.84341735
40979728659.0	0.7915219
40979728660.0	0.8174138
40979728661.0	0.79583013
40979728662.0	0.8209485
40979728663.0	0.8471543
40979728664.0	0.83168155
40979728665.0	0.9044821
40979728666.0	0.9003824
40979728667.0	0.84956926
40979728668.0	0.9039351
40979728669.0	0.89207083
40979728670.0	0.86522526
40979728671.0	0.90167314
40979728672.0	0.90227044
40979728673.0	0.9032901
40979728674.0	0.9240081
40979728675.0	0.8920584
40979728676.0	0.94012594
40979728677.0	0.8988757
40979728678.0	0.91028285
40979728679.0	0.9482611
40979728680.0	0.8726244
40979728681.0	0.9186507
40979728682.0	0.90583336
40979728683.0	0.951835
40979728684.0	0.8760887
40979728685.0	0.9542307
40979728686.0	0.954794
40979728687.0	0.92263174
40979728688.0	0.8591025
40979728689.0	0.8997385
40979728690.0	0.8634938
40979728691.0	0.86349994
40979728692.0	0.86307174
40979728693.0	0.86307436
40979728694.0	0.8633064
40979728695.0	0.8993961
40979728696.0	0.8994015
40979728697.0	0.941515
40979728698.0	0.9640453
40979728699.0	0.91290927
40979728700.0	0.8668525
40979728701.0	0.9259713
40979728702.0	0.93356234
40979728703.0	0.92191607
40979728704.0	0.8721075
40979728705.0	0.8973154
40979728706.0	0.93795335
40979728707.0	0.9838694
40979728708.0	0.8780255
40979728709.0	0.88691753
40979728710.0	0.92976165
40979728711.0	0.9202095
40979728712.0	0.9339071
40979728713.0	0.9340504
40979728714.0	0.8952572
40979728715.0	0.89577794
40979728716.0	0.8959202
40979728717.0	0.89644194
40979728718.0	0.8970876
40979728719.0	0.90821576
40979728720.0	0.9094963
40979728721.0	0.91285515
40979728722.0	0.92059565
40979728723.0	0.9173266
40979728724.0	0.920771
40979728725.0	0.9208547
40979728726.0	0.9208612
40979728727.0	0.93503016
40979728728.0	0.93792474
40979728729.0	0.9394266
40979728730.0	0.9412856
40979728731.0	0.9442483
40979728732.0	0.9470923
40979728733.0	0.9527253
40979728734.0	0.96119857
40979728735.0	0.9619042
40979728736.0	0.9641141
40979728737.0	0.9657547
40979728738.0	0.96676475
40979728739.0	0.9693531
40979728740.0	0.9696168
40979728741.0	0.97013015
40979728742.0	0.97438383
40979728743.0	0.97481054
40979728744.0	0.9750188
40979728745.0	0.9754093
40979728746.0	0.97598034
40979728747.0	0.97988445
40979728748.0	0.97996324
40979728749.0	0.98075813
40979728750.0	0.98094577
40979728751.0	0.980988
40979728752.0	0.98512477
40979728753.0	0.98513216
40979728754.0	0.98522365
40979728755.0	0.98531705
40979728756.0	0.98522747
40979728757.0	0.9853223
40979728758.0	0.9853471
40979728759.0	0.98667675
40979728760.0	0.9866825
40979728761.0	0.98673534
40979728762.0	0.9869685
40979728763.0	0.98728734
40979728764.0	0.9877591
40979728765.0	0.988908
40979728766.0	0.9895313
40979728767.0	0.99230963
40979728768.0	0.99264175
40979728769.0	0.9939652
40979728770.0	0.9946236
40979728771.0	0.9960241
40979728772.0	0.9975155
40979728773.0	0.9993496
47200594414.0	0.9497018
50568891850.0	0.41928363
50568891851.0	0.50602394
50568891852.0	0.31373376
50568891853.0	0.36933398
50568891854.0	0.31821617
50568891855.0	0.36249852
50568891856.0	0.38590702
50568891857.0	0.38419116
50568891858.0	0.41565627
50568891859.0	0.3846702
50568891860.0	0.43092594
50568891861.0	0.4654496
50568891862.0	0.4374263
50568891863.0	0.5572126
50568891864.0	0.45328465
50568891865.0	0.513748
50568891866.0	0.38971102
51624359187.0	0.08962033
51624359189.0	0.090129726
52584053131.0	0.045485258
52584053136.0	0.06379939
52584053139.0	0.0
52584053140.0	0.0
52584053148.0	0.0
52584053154.0	0.38271406
52584053155.0	0.6578044
52584053160.0	0.04799469
52584053162.0	0.06510403
52584053164.0	0.773475
52584053173.0	0.03187858
52584053174.0	0.027677257
52584053187.0	0.049747247
52584053189.0	0.04977434
52584053191.0	0.6119168
52584053194.0	0.055651996
53250271473.0	0.0
53250271474.0	0.1726268
53250271476.0	0.0
53250271477.0	0.17304273
53250271481.0	0.0
53250271482.0	0.107040435
53250271501.0	0.08373953
53250271505.0	0.028332477
53250271506.0	0.15709218
53250271512.0	0.0285093
53250271522.0	0.05980502
53250271524.0	0.053058498
53250271542.0	0.14649574
53250271545.0	0.14707671
53250271546.0	0.14708287
53250271548.0	0.0
53250271549.0	0.10703218
53250271550.0	0.06586774
53250271551.0	0.16388819
53250271554.0	0.1501542
53250271556.0	0.10405437
53250271557.0	0.09250143
53250271562.0	0.045415152
53250271563.0	0.03896135
53250271564.0	0.15755826
53250271565.0	0.13707277
53250271570.0	0.04543286
53250271571.0	0.039343156
53250271572.0	0.039845765
53250271573.0	0.040619668
53250271574.0	0.04229156
53250271575.0	0.06055744
53250271576.0	0.046582256
53250271577.0	0.043723963
53250271578.0	0.045135036
53250271579.0	0.049328916
53250271580.0	0.14025132
53250271581.0	0.13074204
53250271582.0	0.048564173
53250271583.0	0.04969655
53250271584.0	0.05000334
53250271585.0	0.1503939
53250271586.0	0.05480509
53250271587.0	0.05434446
53250271588.0	0.053416684
53250271589.0	0.054620124
53250271590.0	0.05491075
53250271591.0	0.055813007
53250271592.0	0.05538031
53250271593.0	0.056064907
53250271594.0	0.05579135
53250271595.0	0.056213498
53250271596.0	0.05869175
53250271597.0	0.056462847
53250271598.0	0.20133741
53250271599.0	0.05680211
53250271600.0	0.057567935
53250271601.0	0.0935023
53250271602.0	0.05800311
53250271603.0	0.1727455
53250271604.0	0.058584005
53250271605.0	0.14353584
53250271606.0	0.059400827
53250271607.0	0.109688796
53250271608.0	0.09598862
53250271609.0	0.060181033
53250271610.0	0.075269416
53250271611.0	0.06493707
53250271612.0	0.255444
53250271613.0	0.21573529
53250271614.0	0.07537326
53250271615.0	0.102958344
53250271616.0	0.079628974
53250271617.0	0.10546599
53250271618.0	0.14628103
53250271619.0	0.1356729
53250271620.0	0.14036715
53250271621.0	0.19565408
53250271622.0	0.18214828
53250271623.0	0.15576497
53250271624.0	0.29328376
53250271625.0	0.29884747
53250271626.0	0.267145
53250271627.0	0.2508843
53250271628.0	0.20329472
53250271629.0	0.12886867
53250271630.0	0.24270982
53250271631.0	0.16317017
53250271632.0	0.20800617
53250271633.0	0.1956457
53250271634.0	0.24419038
53250271635.0	0.16668336
53250271636.0	0.254925
53250271637.0	0.25573552
53250271638.0	0.1429311
53250271639.0	0.14300874
53250271640.0	0.14704433
53250271641.0	0.14714341
53250271642.0	0.14705038
53250271643.0	0.14714701
53250271644.0	0.14731005
53250271645.0	0.21194285
53250271646.0	0.21194829
53250271647.0	0.23793398
53250271648.0	0.2560703
53250271649.0	0.20271055
53250271650.0	0.1506002
53250271651.0	0.22270815
53250271652.0	0.2038994
53250271653.0	0.19459851
53250271654.0	0.15502863
53250271655.0	0.15913694
53250271656.0	0.18080522
53250271657.0	0.22662315
53250271658.0	0.28494623
53250271659.0	0.16356035
53250271660.0	0.24734688
53250271661.0	0.22769588
53250271662.0	0.17894226
53250271663.0	0.16848078
53250271664.0	0.23767224
53250271665.0	0.22995956
53250271666.0	0.27928022
53250271667.0	0.26968428
