	meanAVF
perlbench	0.45839925002661946
gcc	0.5119476743239931
bwaves	0.49708487483809544
mcf	0.5210978968381151
cactuBSSN	0.5240727029045272
lbm	0.5121165779009097
omnetpp	0.4682406514701346
wrf	0.613963928175938
xalancbmk	0.46351075054717517
x264	0.5174907782494257
cam4	0.1543069269587911
pop2	0.5052278162359256
deepsjeng	0.4606548332211397
imagick	0.5311857659539643
leela	0.43409983639393956
nab	0.5231152338646385
exchange2	0.3851626838333334
fotonik3d	0.43415622133025683
roms	0.571826979900497
xz	0.44348206538970936
gmean	0.47655717241785645
