	line_AVF_mean	page_AVF_mean
perlbench	0.45839925002661946	0.4264169052477877
gcc	0.5119476743239931	0.5268119760851162
bwaves	0.49708487483809544	0.5935801316666667
mcf	0.5210978968381151	0.5245483279926547
cactuBSSN	0.5240727029045272	0.5178110920383909
lbm	0.5121165779009097	0.5122944713724933
omnetpp	0.4682406514701346	0.46976035163052543
wrf	0.613963928175938	0.6220344452873563
xalancbmk	0.46351075054717517	0.7433158008644268
x264	0.5174907782494257	0.5172976646377953
cam4	0.1543069269587911	0.2039731311744569
pop2	0.5052278162359256	0.4945222859461425
deepsjeng	0.4606548332211397	0.4850253319592626
imagick	0.5311857659539643	0.5275457731034485
leela	0.43409983639393956	0.438823488079832
nab	0.5231152338646385	0.49751544009482773
exchange2	0.3851626838333334	0.3698077733333333
fotonik3d	0.43415622133025683	0.43497768900438505
roms	0.571826979900497	0.5670800478571428
xz	0.44348206538970936	0.3851316322635295
gmean	0.47655717241785645	0.4929136879819788
