	page	access#	AVF	wr_ratio	wr#	rd#
2182056927338	34094639489	1	0.04864495169701633	0.0	0	1
2182056926069	34094639469	1	0.059219747763710674	0.0	0	1
2182056927418	34094639490	1	0.05945049201190828	0.0	0	1
2182056927477	34094639491	1	0.059687128114280806	0.0	0	1
2182056926122	34094639470	1	0.0616023414468975	0.0	0	1
2182056926134	34094639470	1	0.07189252488436634	0.0	0	1
2182056927550	34094639492	1	0.07217497315899697	0.0	0	1
2182056927603	34094639493	1	0.07897152755457872	0.0	0	1
2182056927639	34094639494	1	0.08723274880127822	0.0	0	1
2182056927735	34094639495	1	0.08745880361452027	0.0	0	1
2182056926175	34094639471	1	0.08768545963737201	0.0	0	1
2182056926263	34094639472	1	0.08850178204540407	0.0	0	1
2182056927793	34094639496	1	0.09561156664763237	0.0	0	1
2182056926366	34094639474	1	0.10310744806120122	0.0	0	1
2182056927820	34094639497	1	0.10914503544551496	0.0	0	1
2182056926405	34094639475	1	0.10945994903906864	0.0	0	1
3365379400458	52584053132	1	0.11724032283994104	0.0	0	1
3365379400489	52584053132	1	0.14359602946744732	0.0	0	1
2182056927874	34094639498	1	0.16518967501855034	0.0	0	1
2182056926731	34094639480	1	0.169439265023657	0.0	0	1
2182056926728	34094639480	1	0.16952295340132534	0.0	0	1
2182056927980	34094639499	1	0.16961036927857373	0.0	0	1
2182056920646	34094639385	1	0.16964343580710647	0.0	0	1
2182056920645	34094639385	1	0.1696722938683714	0.0	0	1
2182056920934	34094639389	1	0.16970151265540218	0.0	0	1
2182056920933	34094639389	1	0.1697561024879617	0.0	0	1
2182056928060	34094639500	1	0.16977257563126708	0.0	0	1
2182056926606	34094639478	1	0.16980275635367334	0.0	0	1
2182056928103	34094639501	1	0.16984423981674168	0.0	0	1
2182056927983	34094639499	1	0.16987514199067957	0.0	0	1
2182056928185	34094639502	1	0.16991806835681117	0.0	0	1
2182056927987	34094639499	1	0.16995089440150005	0.0	0	1
2182056927992	34094639499	1	0.16998215730120372	0.0	0	1
2182056927993	34094639499	1	0.16999935189604076	0.0	0	1
2182056927990	34094639499	1	0.17001486310397065	0.0	0	1
2182056927991	34094639499	1	0.17003193745688575	0.0	0	1
2182056927989	34094639499	1	0.17004516406829887	0.0	0	1
2182056927994	34094639499	1	0.17009698833665382	0.0	0	1
2182056927986	34094639499	1	0.17010312067467262	0.0	0	1
2182056928196	34094639503	1	0.1701250047044652	0.0	0	1
2182056926776	34094639480	1	0.17015193889497915	0.0	0	1
