	page	access#	AVF	wr_ratio	wr#	rd#
1592635364509	24884927570	1	0.051596471494617685	0.0	0	1
1592635364510	24884927570	1	0.05159910758145451	0.0	0	1
1592635364571	24884927571	1	0.05160002448122384	0.0	0	1
1592635364511	24884927570	1	0.05160094138099317	0.0	0	1
1592635364512	24884927570	1	0.051601858280762504	0.0	0	1
1592635365021	24884927578	1	0.05164781788170022	0.0	0	1
1592635365022	24884927578	1	0.05165606997962419	0.0	0	1
1592635365023	24884927578	1	0.05165710149186469	0.0	0	1
1592635365024	24884927578	1	0.05166340517777884	0.0	0	1
1592635364515	24884927570	1	0.12157174041558941	0.0	0	1
1592635364513	24884927570	1	0.12157976328857105	0.0	0	1
1592635364514	24884927570	1	0.12158159708810971	0.0	0	1
1592635364572	24884927571	1	0.12158274321282138	0.0	0	1
1592635365074	24884927579	1	0.12163271425024991	0.0	0	1
1592635365025	24884927578	1	0.12163431882484624	0.0	0	1
1592635365027	24884927578	1	0.12163626723685607	0.0	0	1
1592635365026	24884927578	1	0.1216385594862794	0.0	0	1
1592635364516	24884927570	1	0.1914901615508626	0.0	0	1
1592635364517	24884927570	1	0.19149165151298778	0.0	0	1
1592635364518	24884927570	1	0.19149279763769944	0.0	0	1
1592635365028	24884927578	1	0.19152809827881867	0.0	0	1
1592635365029	24884927578	1	0.19152912979105918	0.0	0	1
1592635365030	24884927578	1	0.19153004669082851	0.0	0	1
1592635364519	24884927570	1	0.26138657709167185	0.0	0	1
1592635364573	24884927571	1	0.2613874939914412	0.0	0	1
1592635364520	24884927570	1	0.2613884108912105	0.0	0	1
1592635364521	24884927570	1	0.26138932779097984	0.0	0	1
1592635365031	24884927578	1	0.26143689196651393	0.0	0	1
1592635365032	24884927578	1	0.2614379234787544	0.0	0	1
1592635365075	24884927579	1	0.2614388403785237	0.0	0	1
1592635365033	24884927578	1	0.2614402157281777	0.0	0	1
1592635364522	24884927570	1	0.3313102704006187	0.0	0	1
1592635364574	24884927571	1	0.33131118730038805	0.0	0	1
1592635364523	24884927570	1	0.3313121042001574	0.0	0	1
1592635364524	24884927570	1	0.3313131357123979	0.0	0	1
1592635365076	24884927579	1	0.3313621898500571	0.0	0	1
1592635365034	24884927578	1	0.33136574283666326	0.0	0	1
1592635365035	24884927578	1	0.33136677434890377	0.0	0	1
1592635365036	24884927578	1	0.3313680350860866	0.0	0	1
1592635364525	24884927570	1	0.40119086942040705	0.0	0	1
1592635364526	24884927570	1	0.401192932444888	0.0	0	1
1592635364527	24884927570	1	0.401194307794542	0.0	0	1
1592635365037	24884927578	1	0.40123063994790176	0.0	0	1
1592635365038	24884927578	1	0.40123602673404657	0.0	0	1
1592635365039	24884927578	1	0.40124588340656686	0.0	0	1
1592635364528	24884927570	1	0.47109828775844825	0.0	0	1
1592635364529	24884927570	1	0.4711001215579869	0.0	0	1
1592635364530	24884927570	1	0.47110241380741025	0.0	0	1
1592635364575	24884927571	1	0.4711033307071796	0.0	0	1
1592635365040	24884927578	1	0.4711520410074253	0.0	0	1
1592635365077	24884927579	1	0.4711533017446081	0.0	0	1
1592635365041	24884927578	1	0.47115593783144494	0.0	0	1
1592635365042	24884927578	1	0.47115685473121427	0.0	0	1
1592635364531	24884927570	1	0.54100673760873	0.0	0	1
1592635364532	24884927570	1	0.5410105198202785	0.0	0	1
1592635364533	24884927570	1	0.5410117805574614	0.0	0	1
1592635365043	24884927578	1	0.5410437574369167	0.0	0	1
1592635365078	24884927579	1	0.5410466227486959	0.0	0	1
1592635365044	24884927578	1	0.5410485711607057	0.0	0	1
1592635365045	24884927578	1	0.541049488060475	0.0	0	1
1592635364534	24884927570	1	0.610903726211895	0.0	0	1
1592635364576	24884927571	1	0.6109062476862608	0.0	0	1
1592635364535	24884927570	1	0.6109071645860301	0.0	0	1
1592635364537	24884927570	1	0.6109093422229822	0.0	0	1
1592635364536	24884927570	1	0.6109120929222902	0.0	0	1
1592635365046	24884927578	1	0.6109528949620254	0.0	0	1
1592635365047	24884927578	1	0.6109565625611028	0.0	0	1
1592635365048	24884927578	1	0.6109575940733433	0.0	0	1
1592635365049	24884927578	1	0.610958740198055	0.0	0	1
1592635364538	24884927570	1	0.6807970472159829	0.0	0	1
1592635364577	24884927571	1	0.6807979641157522	0.0	0	1
1592635364539	24884927570	1	0.6807988810155216	0.0	0	1
1592635364540	24884927570	1	0.6807997979152909	0.0	0	1
1592635365079	24884927579	1	0.6808511443023734	0.0	0	1
1592635365050	24884927578	1	0.6808550411263931	0.0	0	1
1592635365051	24884927578	1	0.6808560726386336	0.0	0	1
1592635365052	24884927578	1	0.6808569895384029	0.0	0	1
1592635364541	24884927570	1	0.7507248665738917	0.0	0	1
1592635364542	24884927570	1	0.7507263565360168	0.0	0	1
1592635364543	24884927570	1	0.7507275026607285	0.0	0	1
1592635365053	24884927578	1	0.7507694508251754	0.0	0	1
1592635365054	24884927578	1	0.750770482337416	0.0	0	1
1592635365055	24884927578	1	0.7507713992371853	0.0	0	1
1592635365120	24884927580	1	0.8206162391659696	0.0	0	1
1592635365121	24884927580	1	0.8206177291280948	0.0	0	1
1592635364578	24884927571	1	0.8206196775401047	0.0	0	1
1592635365122	24884927580	1	0.8206255227761341	0.0	0	1
1592635365080	24884927579	1	0.8206808805997075	0.0	0	1
1592635365185	24884927581	1	0.820683975136429	0.0	0	1
1592635365186	24884927581	1	0.8206848920361983	0.0	0	1
1592635365184	24884927581	1	0.820686725835737	0.0	0	1
1592635365123	24884927580	1	0.8905141446689041	0.0	0	1
1592635365124	24884927580	1	0.8905159784684428	0.0	0	1
1592635365125	24884927580	1	0.8905172392056255	0.0	0	1
1592635364579	24884927571	1	0.8905199899049335	0.0	0	1
1592635365081	24884927579	1	0.8905692732675351	0.0	0	1
1592635365187	24884927581	1	0.8905713362920161	0.0	0	1
1592635365188	24884927581	1	0.8905723678042565	0.0	0	1
1592635365189	24884927581	1	0.8905732847040259	0.0	0	1
1592635365126	24884927580	1	0.9604446001136497	0.0	0	1
1592635365127	24884927580	1	0.960446892363073	0.0	0	1
1592635365128	24884927580	1	0.9604482677127271	0.0	0	1
1592635365190	24884927581	1	0.9604797861422978	0.0	0	1
1592635365191	24884927581	1	0.9604833391289039	0.0	0	1
1592635365192	24884927581	1	0.9604843706411444	0.0	0	1
