	page	access#	AVF	wr_ratio	wr#	rd#
1592635365206	24884927581	1	0.05513606512203102	0.0	0	1
1592635365187	24884927581	1	0.05527544595931339	0.0	0	1
1592635364114	24884927564	1	0.0805564454706545	0.0	0	1
1592635365070	24884927579	1	0.09277188529514616	0.0	0	1
1592635365145	24884927580	1	0.09287740175122214	0.0	0	1
1592635365617	24884927587	1	0.09324495418138898	0.0	0	1
1592635365696	24884927589	1	0.09327190114326357	0.0	0	1
1592635365211	24884927581	1	0.10558542377917615	0.0	0	1
1592635365192	24884927581	1	0.10578396403850504	0.0	0	1
1592635364189	24884927565	1	0.12617166371058838	0.0	0	1
1592635365025	24884927578	1	0.13337734326289302	0.0	0	1
1592635365216	24884927581	1	0.14137284755979773	0.0	0	1
1592635365197	24884927581	1	0.14165563579188398	0.0	0	1
1592635364912	24884927576	1	0.16560539343958144	0.0	0	1
1592635364043	24884927563	1	0.16619523249394752	0.0	0	1
1592635365403	24884927584	1	0.18312319004948846	0.0	0	1
1592635365695	24884927588	1	0.1958135571713867	0.0	0	1
1592635365690	24884927588	1	0.19581438313190394	0.0	0	1
1592635364984	24884927577	1	0.20759175414707032	0.0	0	1
1592635365207	24884927581	1	0.22076324327025437	0.0	0	1
1592635365188	24884927581	1	0.22090499874402378	0.0	0	1
1592635364115	24884927564	1	0.24597940488099304	0.0	0	1
1592635365071	24884927579	1	0.25880295813629445	0.0	0	1
1592635365146	24884927580	1	0.2589094037979523	0.0	0	1
1592635365618	24884927587	1	0.25928790020497244	0.0	0	1
1592635365697	24884927589	1	0.259314847166847	0.0	0	1
1592635365212	24884927581	1	0.2720928693486362	0.0	0	1
1592635365193	24884927581	1	0.2722984302723615	0.0	0	1
1592635364190	24884927565	1	0.29791807359576644	0.0	0	1
1592635365026	24884927578	1	0.3102207554998904	0.0	0	1
1592635365217	24884927581	1	0.3226473314815987	0.0	0	1
1592635365198	24884927581	1	0.3228959455972846	0.0	0	1
1592635365691	24884927588	1	0.3229352819669176	0.0	0	1
1592635365404	24884927584	1	0.3485464591950209	0.0	0	1
1592635364913	24884927576	1	0.3599582394362489	0.0	0	1
1592635364044	24884927563	1	0.3606408958037386	0.0	0	1
1592635365184	24884927581	1	0.37296443321092254	0.0	0	1
1592635364985	24884927577	1	0.4105406809817325	0.0	0	1
1592635365208	24884927581	1	0.42360634391364665	0.0	0	1
1592635365189	24884927581	1	0.4237545005814246	0.0	0	1
1592635364116	24884927564	1	0.44970535407223833	0.0	0	1
1592635365072	24884927579	1	0.4622308388258847	0.0	0	1
1592635365147	24884927580	1	0.46233346442015044	0.0	0	1
1592635365619	24884927587	1	0.4626915183043691	0.0	0	1
1592635365698	24884927589	1	0.4627184652662437	0.0	0	1
1592635365213	24884927581	1	0.4753618558837246	0.0	0	1
1592635365194	24884927581	1	0.47556421621044564	0.0	0	1
1592635364191	24884927565	1	0.5009570301268066	0.0	0	1
1592635365027	24884927578	1	0.5131855820745093	0.0	0	1
1592635365218	24884927581	1	0.5263740033882965	0.0	0	1
1592635365199	24884927581	1	0.5266194169069781	0.0	0	1
1592635365692	24884927588	1	0.5266655674508783	0.0	0	1
1592635365405	24884927584	1	0.5517743541943773	0.0	0	1
1592635364914	24884927576	1	0.5637040116799077	0.0	0	1
1592635364045	24884927563	1	0.5643532166464496	0.0	0	1
1592635365185	24884927581	1	0.5769115333306558	0.0	0	1
1592635364986	24884927577	1	0.6145624272832104	0.0	0	1
1592635365209	24884927581	1	0.6275271165418933	0.0	0	1
1592635365190	24884927581	1	0.6276650519482705	0.0	0	1
1592635363295	24884927551	1	0.6277694327086353	0.0	0	1
1592635363499	24884927554	1	0.6277702586691525	0.0	0	1
1592635363320	24884927551	1	0.6278028841095831	0.0	0	1
1592635363321	24884927551	1	0.6278132086160484	0.0	0	1
1592635365774	24884927590	1	0.6278148605370829	0.0	0	1
1592635363501	24884927554	1	0.6278162027229234	0.0	0	1
1592635363322	24884927551	1	0.6278257012688715	0.0	0	1
1592635363500	24884927554	1	0.6278266304744534	0.0	0	1
1592635365833	24884927591	1	0.6278287986208111	0.0	0	1
1592635363494	24884927554	1	0.6278304505418456	0.0	0	1
1592635363323	24884927551	1	0.6278360257753369	0.0	0	1
1592635363495	24884927554	1	0.6278368517358541	0.0	0	1
1592635363497	24884927554	1	0.6278491378985479	0.0	0	1
1592635363324	24884927551	1	0.6278587396895606	0.0	0	1
1592635363325	24884927551	1	0.6278595656500779	0.0	0	1
1592635365935	24884927592	1	0.6278835185050775	0.0	0	1
1592635363326	24884927551	1	0.6278843444655948	0.0	0	1
1592635363491	24884927554	1	0.627885170426112	0.0	0	1
1592635363483	24884927554	1	0.6278964241381593	0.0	0	1
1592635363327	24884927551	1	0.6279070583798185	0.0	0	1
1592635365952	24884927593	1	0.6279078843403358	0.0	0	1
1592635365934	24884927592	1	0.627908710300853	0.0	0	1
1592635363480	24884927554	1	0.6279234743450985	0.0	0	1
1592635365953	24884927593	1	0.6279298755391071	0.0	0	1
1592635365954	24884927593	1	0.6279307014996243	0.0	0	1
1592635363481	24884927554	1	0.6279454655438697	0.0	0	1
1592635363482	24884927554	1	0.627946291504387	0.0	0	1
1592635365955	24884927593	1	0.6279526926983955	0.0	0	1
1592635365956	24884927593	1	0.6279535186589127	0.0	0	1
1592635365958	24884927593	1	0.6279660113117358	0.0	0	1
1592635365957	24884927593	1	0.6279755098576839	0.0	0	1
1592635363493	24884927554	1	0.6279910998624466	0.0	0	1
1592635365959	24884927593	1	0.6279983270169723	0.0	0	1
1592635365960	24884927593	1	0.6279991529774895	0.0	0	1
1592635364036	24884927563	1	0.6280002886732008	0.0	0	1
1592635365615	24884927587	1	0.6280049347011102	0.0	0	1
1592635365688	24884927588	1	0.6280122651007006	0.0	0	1
1592635365961	24884927593	1	0.6280211441762608	0.0	0	1
