	page	access#	AVF	wr_ratio	wr#	rd#
3365379404797	52584053199	1	0.04819017973860276	0.0	0	1
3365379404798	52584053199	1	0.04873110850684879	0.0	0	1
3365379404799	52584053199	1	0.04929794664299448	0.0	0	1
3365379404800	52584053200	1	0.04985810943981231	0.0	0	1
3365379404801	52584053200	1	0.05042641841343703	0.0	0	1
3365379404802	52584053200	1	0.05097967958823792	0.0	0	1
3365379404803	52584053200	1	0.05154516002824913	0.0	0	1
3365379404804	52584053200	1	0.052131005910277556	0.0	0	1
3365379404805	52584053200	1	0.05270112514541491	0.0	0	1
3365379401979	52584053155	1	0.053013282115000934	0.0	0	1
3365379404806	52584053200	1	0.053319442593326334	0.0	0	1
3365379404807	52584053200	1	0.0538661415701439	0.0	0	1
3365379404808	52584053200	1	0.054428793476541615	0.0	0	1
3365379404809	52584053200	1	0.05495829496898909	0.0	0	1
3365379404810	52584053200	1	0.055514950384126176	0.0	0	1
3365379404811	52584053200	1	0.0560632333397673	0.0	0	1
3365379404812	52584053200	1	0.05661536310112279	0.0	0	1
3365379402278	52584053160	1	0.05693419541003668	0.0	0	1
3365379402279	52584053160	1	0.056986692993903264	0.0	0	1
3365379402395	52584053162	1	0.05703602262012273	0.0	0	1
3365379400615	52584053134	1	0.057036927750879055	0.0	0	1
3365379402314	52584053161	1	0.05703851172970261	0.0	0	1
3365379402132	52584053158	1	0.057063176542812344	0.0	0	1
3365379402396	52584053162	1	0.057101531458611424	0.0	0	1
3365379402201	52584053159	1	0.05711431643054445	0.0	0	1
3365379402281	52584053160	1	0.057120086639116	0.0	0	1
3365379402018	52584053156	1	0.05713004307743552	0.0	0	1
3365379402282	52584053160	1	0.05717032139609178	0.0	0	1
3365379402397	52584053162	1	0.05717914642096591	0.0	0	1
3365379402398	52584053162	1	0.05721659620600866	0.0	0	1
3365379402283	52584053160	1	0.057219085315588544	0.0	0	1
3365379402133	52584053158	1	0.057220556153067564	0.0	0	1
3365379402019	52584053156	1	0.05722485552416009	0.0	0	1
3365379402202	52584053159	1	0.05726388928802641	0.0	0	1
3365379402400	52584053162	1	0.057273732585001395	0.0	0	1
3365379402403	52584053162	1	0.05731287949021226	0.0	0	1
3365379404813	52584053200	1	0.057326117027523445	0.0	0	1
3365379404814	52584053200	1	0.05788198045324875	0.0	0	1
3365379402459	52584053163	1	0.05823362375207926	0.0	0	1
3365379402170	52584053158	1	0.058234755165524656	0.0	0	1
3365379402504	52584053164	1	0.058238941395272636	0.0	0	1
3365379402640	52584053166	1	0.058276504321659935	0.0	0	1
3365379402639	52584053166	1	0.0582877053147694	0.0	0	1
3365379400634	52584053134	1	0.058288610445525725	0.0	0	1
3365379402333	52584053161	1	0.05829019442434928	0.0	0	1
3365379402239	52584053159	1	0.058293475523340944	0.0	0	1
3365379404815	52584053200	1	0.058485023819647264	0.0	0	1
3365379404816	52584053200	1	0.05902810227343955	0.0	0	1
3365379404817	52584053200	1	0.05959742951916513	0.0	0	1
3365379404818	52584053200	1	0.060134850905730404	0.0	0	1
3365379404819	52584053200	1	0.06070802495717034	0.0	0	1
3365379404820	52584053200	1	0.061249632573483606	0.0	0	1
3365379404821	52584053200	1	0.0618164707096293	0.0	0	1
3365379404822	52584053200	1	0.06235445780291728	0.0	0	1
3365379404823	52584053200	1	0.06290692698830638	0.0	0	1
3365379404824	52584053200	1	0.06344830832193057	0.0	0	1
3365379404825	52584053200	1	0.06399636499488262	0.0	0	1
3365379404826	52584053200	1	0.06454102742749845	0.0	0	1
3365379404827	52584053200	1	0.06507166033339133	0.0	0	1
3365379404828	52584053200	1	0.06562650548701579	0.0	0	1
3365379404829	52584053200	1	0.06615227331509344	0.0	0	1
3365379404830	52584053200	1	0.06671402009073484	0.0	0	1
3365379404831	52584053200	1	0.06724329530049322	0.0	0	1
3365379404832	52584053200	1	0.06779881930218491	0.0	0	1
3365379404833	52584053200	1	0.06833578812337204	0.0	0	1
3365379404834	52584053200	1	0.06888825730876115	0.0	0	1
3365379402727	52584053167	1	0.06904269524405833	0.0	0	1
3365379402796	52584053168	1	0.06909304314237866	0.0	0	1
3365379403157	52584053174	1	0.06909394827313498	0.0	0	1
3365379403105	52584053173	1	0.0690948534038913	0.0	0	1
3365379403521	52584053180	1	0.06917122381145584	0.0	0	1
3365379403434	52584053178	1	0.0691790305642291	0.0	0	1
3365379404835	52584053200	1	0.06948496475986542	0.0	0	1
3365379403260	52584053175	1	0.06965377164591918	0.0	0	1
3365379403441	52584053178	1	0.06969042944155017	0.0	0	1
3365379404836	52584053200	1	0.07005508399500278	0.0	0	1
3365379404837	52584053200	1	0.07061117370341716	0.0	0	1
3365379404909	52584053201	1	0.07119543560662203	0.0	0	1
3365379401287	52584053145	1	0.07134093537570055	0.0	0	1
