	page	access#	AVF	wr_ratio	wr#	rd#
3365379400728	52584053136	1	0.1486423466037251	0.0	0	1
3365379400727	52584053136	1	0.26269516646473756	0.0	0	1
3365379400726	52584053136	1	0.262726195711367	0.0	0	1
3365379400725	52584053136	1	0.2627608754575999	0.0	0	1
3365379400724	52584053136	1	0.2627619184574866	0.0	0	1
3365379400739	52584053136	1	0.26368419110730473	0.0	0	1
3365379400740	52584053136	1	0.26370035760554866	0.0	0	1
3365379400754	52584053136	1	0.26373490697679575	0.0	0	1
3365379400753	52584053136	1	0.2637359499766824	0.0	0	1
3365379400752	52584053136	1	0.26376580584843934	0.0	0	1
3365379400751	52584053136	1	0.2637991818448139	0.0	0	1
3365379400750	52584053136	1	0.263862674462917	0.0	0	1
1592635363359	24884927552	1	0.3885002482991605	0.0	0	1
1592635363358	24884927552	1	0.3885024646739198	0.0	0	1
1592635363355	24884927552	1	0.3885035076738065	0.0	0	1
1592635363356	24884927552	1	0.38850455067369316	0.0	0	1
1592635363353	24884927552	1	0.3885055936735799	0.0	0	1
1592635363352	24884927552	1	0.3885066366734666	0.0	0	1
1592635363349	24884927552	1	0.3885076796733533	0.0	0	1
1592635363346	24884927552	1	0.38850872267324	0.0	0	1
1592635363351	24884927552	1	0.38850976567312673	0.0	0	1
1592635363348	24884927552	1	0.38851119979797094	0.0	0	1
1592635363345	24884927552	1	0.3885122427978576	0.0	0	1
1592635363343	24884927552	1	0.38851641479740445	0.0	0	1
1592635363344	24884927552	1	0.38852645367131394	0.0	0	1
1592635363347	24884927552	1	0.3885324509206625	0.0	0	1
1592635363350	24884927552	1	0.3885334939205492	0.0	0	1
1592635363354	24884927552	1	0.38853453692043594	0.0	0	1
1592635363342	24884927552	1	0.3886531781575485	0.0	0	1
1592635363341	24884927552	1	0.38865461228239273	0.0	0	1
1592635363338	24884927552	1	0.3886688231558491	0.0	0	1
1592635363336	24884927552	1	0.38867012690570746	0.0	0	1
1592635363335	24884927552	1	0.3886711699055942	0.0	0	1
1592635363333	24884927552	1	0.3886722129054809	0.0	0	1
1592635363334	24884927552	1	0.38867325590536755	0.0	0	1
1592635363332	24884927552	1	0.3886742989052543	0.0	0	1
1592635363331	24884927552	1	0.38867534190514097	0.0	0	1
1592635363329	24884927552	1	0.3886763849050277	0.0	0	1
1592635363337	24884927552	1	0.38868303402930543	0.0	0	1
3365379400895	52584053138	1	0.3886908565284557	0.0	0	1
1592635363330	24884927552	1	0.3886928121532433	0.0	0	1
3365379400894	52584053138	1	0.38869385515313	0.0	0	1
1592635363339	24884927552	1	0.38869489815301667	0.0	0	1
3365379400893	52584053138	1	0.3887141936509207	0.0	0	1
1592635363328	24884927552	1	0.3887154974007791	0.0	0	1
3365379400887	52584053138	1	0.48265523782157477	0.0	0	1
3365379400886	52584053138	1	0.4826562808214615	0.0	0	1
3365379400877	52584053138	1	0.4826573238213482	0.0	0	1
3365379400878	52584053138	1	0.4826629299457392	0.0	0	1
3365379400892	52584053138	1	0.4826648855705268	0.0	0	1
3365379400888	52584053138	1	0.4826674930702436	0.0	0	1
3365379400889	52584053138	1	0.48266853607013027	0.0	0	1
3365379400883	52584053138	1	0.48266957907001695	0.0	0	1
3365379400884	52584053138	1	0.48267153469480456	0.0	0	1
3365379400880	52584053138	1	0.4826741421945213	0.0	0	1
3365379400881	52584053138	1	0.482675185194408	0.0	0	1
3365379400876	52584053138	1	0.4826900479427935	0.0	0	1
3365379400879	52584053138	1	0.48269213394256694	0.0	0	1
3365379400885	52584053138	1	0.482693698442397	0.0	0	1
3365379400882	52584053138	1	0.48270178169151895	0.0	0	1
