	page	access#	AVF	wr_ratio	wr#	rd#
829108540969	12954820952	1	0.03137402007462021	0.0	0	1
829108541039	12954820953	1	0.031419660499362824	0.0	0	1
829108541083	12954820954	1	0.03145860573783121	0.0	0	1
2182056915362	34094639302	1	0.03153630761797154	0.0	0	1
829108541121	12954820955	1	0.03156167388709502	0.0	0	1
1592635364237	24884927566	1	0.03157091513012142	0.0	0	1
829108541041	12954820953	1	0.031589397616174214	0.0	0	1
829108541093	12954820954	1	0.03161419809490832	0.0	0	1
829108541081	12954820954	1	0.031630983209793004	0.0	0	1
829108541078	12954820954	1	0.03165634947891648	0.0	0	1
829108541238	12954820956	1	0.03166115869722614	0.0	0	1
829108541262	12954820957	1	0.03169557761257956	0.0	0	1
829108541361	12954820958	1	0.03169718068534944	0.0	0	1
829108541416	12954820959	1	0.03173178819749932	0.0	0	1
888014479129	13875226236	1	0.032125201114908825	0.0	0	1
829108541489	12954820960	1	0.032894770342852	0.0	0	1
888014479130	13875226236	1	0.03291815634561268	0.0	0	1
1592635364269	24884927566	2	0.03296785160147913	1.0	1	1
829108541551	12954820961	1	0.03296945467424901	0.0	0	1
888014471526	13875226117	1	0.03299104900744335	0.0	0	1
2182056914530	34094639289	1	0.03308893074480458	0.0	0	1
829108541596	12954820962	1	0.033090533817574465	0.0	0	1
829108541662	12954820963	1	0.033313455230986756	0.0	0	1
829108541719	12954820964	1	0.03344254973816164	0.0	0	1
888014470485	13875226101	1	0.033451885279586265	0.0	0	1
1046780792889	16355949888	1	0.03357956531078772	0.0	0	1
829108541813	12954820965	1	0.03358041399637177	0.0	0	1
888014481309	13875226270	1	0.03367678695936135	0.0	0	1
829108539644	12954820931	1	0.033720069924148256	0.0	0	1
829108541825	12954820966	1	0.033757223493050305	0.0	0	1
829108541918	12954820967	1	0.03384096047067725	0.0	0	1
2182056914500	34094639289	1	0.03384878723773022	0.0	0	1
888014479131	13875226236	1	0.033891032920136614	0.0	0	1
2182056917572	34094639337	1	0.033966094445126535	0.0	0	1
829108541960	12954820968	1	0.033966848832312366	0.0	0	1
2182056916300	34094639317	1	0.03406237310971788	0.0	0	1
2182056916248	34094639316	1	0.03406312749690371	0.0	0	1
1046780789948	16355949842	1	0.034097923605850046	0.0	0	1
1046780792871	16355949888	1	0.03417062767088426	0.0	0	1
829108542039	12954820969	1	0.034184866729016765	0.0	0	1
1046780788564	16355949821	1	0.0342249435482639	0.0	0	1
829108542134	12954820970	1	0.03431094368744834	0.0	0	1
1046780793012	16355949890	1	0.034320184930474736	0.0	0	1
3365379400823	52584053137	1	0.03441759517584483	0.0	0	1
2182056916843	34094639325	1	0.03441834956303065	0.0	0	1
1046780792697	16355949885	1	0.03452236069627674	0.0	0	1
829108542195	12954820971	1	0.03452311508346257	0.0	0	1
829108542267	12954820972	1	0.03459346168854106	0.0	0	1
829108542327	12954820973	1	0.034638347726097855	0.0	0	1
829108542266	12954820972	1	0.034661922325654994	0.0	0	1
829108542318	12954820973	1	0.03467691577097333	0.0	0	1
2182056915328	34094639302	1	0.03474990273120223	0.0	0	1
1592635363688	24884927557	1	0.034781209799414105	0.0	0	1
888014479132	13875226236	1	0.034815440117971067	0.0	0	1
829108542363	12954820974	1	0.035430737166412346	0.0	0	1
1046780789021	16355949828	1	0.03553521979164957	0.0	0	1
829108542417	12954820975	1	0.0355359741788354	0.0	0	1
888014479133	13875226236	1	0.03570052488374422	0.0	0	1
3365379400572	52584053133	1	0.03601331267066831	0.0	0	1
1046780792058	16355949875	1	0.03628338328319487	0.0	0	1
1046780792047	16355949875	1	0.03634863777476903	0.0	0	1
2182056917710	34094639339	1	0.036415966831104214	0.0	0	1
1046780792059	16355949875	1	0.03643973002745781	0.0	0	1
1046780792048	16355949875	1	0.036464153312599	0.0	0	1
1449024141826	22641002216	1	0.036503475744660306	0.0	0	1
1449024141917	22641002217	1	0.03654355256390744	0.0	0	1
1046780797877	16355949966	1	0.03656458110671241	0.0	0	1
888014479134	13875226236	1	0.03656901313142915	0.0	0	1
1046780789950	16355949842	1	0.036583252189561655	0.0	0	1
1449024142013	22641002218	1	0.03659343641657034	0.0	0	1
2182056918511	34094639351	1	0.03661446495937531	0.0	0	1
2182056917748	34094639339	1	0.03661899128249028	0.0	0	1
1449024142079	22641002219	1	0.03663134437265822	0.0	0	1
1046780790423	16355949850	1	0.03665237291546318	0.0	0	1
1592635363833	24884927559	1	0.03667321286147169	0.0	0	1
3365379400872	52584053138	1	0.03669688175942706	0.0	0	1
1449024142131	22641002220	1	0.03673186646516985	0.0	0	1
2182056917749	34094639339	1	0.036758364315072074	0.0	0	1
1046780793434	16355949897	1	0.036795706480770574	0.0	0	1
1592635364284	24884927566	1	0.03681673502357554	0.0	0	1
829108538555	12954820914	1	0.036836726284	0.0	0	1
2182056917559	34094639336	1	0.03687642590965421	0.0	0	1
2182056917629	34094639337	1	0.03688802461263632	0.0	0	1
1046780798706	16355949979	1	0.03690905315544129	0.0	0	1
1046780788918	16355949826	1	0.036930081698246256	0.0	0	1
888014479135	13875226236	1	0.036935551005343514	0.0	0	1
1046780790261	16355949847	1	0.0369384742556886	0.0	0	1
1449024142149	22641002221	1	0.036973553259829615	0.0	0	1
1046780790651	16355949853	1	0.036974307647015446	0.0	0	1
1046780790713	16355949854	1	0.03699797654497081	0.0	0	1
1449024142267	22641002222	1	0.03769965092618944	0.0	0	1
888014479136	13875226236	1	0.03772237684016252	0.0	0	1
1046780792563	16355949883	1	0.03776481111936537	0.0	0	1
888014481393	13875226271	1	0.03776556550655119	0.0	0	1
1046780802938	16355950045	1	0.03778800852532959	0.0	0	1
1046780789883	16355949841	1	0.037867407776638023	0.0	0	1
1449024142321	22641002223	1	0.037868162163823854	0.0	0	1
1449024142354	22641002224	1	0.0379710417162912	0.0	0	1
1046780790410	16355949850	1	0.03804629183807758	0.0	0	1
1449024142404	22641002225	1	0.038047046225263406	0.0	0	1
1046780792209	16355949878	1	0.038069489244041806	0.0	0	1
1449024142479	22641002226	1	0.03810607702255448	0.0	0	1
1449024142554	22641002227	1	0.03813945865552738	0.0	0	1
888014479137	13875226236	1	0.03863603402059892	0.0	0	1
1449024142635	22641002228	1	0.038935242838178105	0.0	0	1
2182056914515	34094639289	1	0.039006626725637115	0.0	0	1
888014476789	13875226199	1	0.03900738111282294	0.0	0	1
1592635363812	24884927559	1	0.03902897544601728	0.0	0	1
888014467197	13875226049	1	0.039067354894096296	0.0	0	1
888014467194	13875226049	1	0.03909375844560029	0.0	0	1
1046780788330	16355949817	1	0.03921115995139483	0.0	0	1
1449024142702	22641002229	1	0.039211914338580664	0.0	0	1
1046780792010	16355949875	1	0.03925085957704905	0.0	0	1
1046780792006	16355949875	1	0.039276131547774304	0.0	0	1
1046780792004	16355949875	1	0.0392998947441279	0.0	0	1
1046780789951	16355949842	1	0.039325826803640745	0.0	0	1
1046780797140	16355949955	1	0.03942955504169215	0.0	0	1
1449024142780	22641002230	1	0.03944379409982466	0.0	0	1
2182056914967	34094639296	1	0.039533660473336465	0.0	0	1
2182056914909	34094639295	1	0.039534414860522296	0.0	0	1
888014472366	13875226130	1	0.039618340434945706	0.0	0	1
2182056914602	34094639290	1	0.03961909482213153	0.0	0	1
1592635363817	24884927559	1	0.03962013210451205	0.0	0	1
888014479138	13875226236	1	0.03964842162398061	0.0	0	1
888014479139	13875226236	1	0.04040233731781785	0.0	0	1
1046780789927	16355949842	1	0.04060055255089426	0.0	0	1
1449024142820	22641002231	1	0.04070333780496338	0.0	0	1
1449024142873	22641002232	1	0.040832055118545346	0.0	0	1
1046780800655	16355950010	1	0.04096341278727771	0.0	0	1
1449024142941	22641002233	1	0.040964167174463544	0.0	0	1
1046780789928	16355949842	1	0.04109373317362957	0.0	0	1
1449024142996	22641002234	1	0.04133702304105922	0.0	0	1
