page	access#	AVF	wr_ratio	wr#	rd#	mean_AVF	page_wr_ratio
4034319	64	55.87592934708981	0.0	0	64	0.8730613960482783	0.0
4034320	64	55.90245158164884	0.0	0	64	0.8734758059632631	0.0
4034321	64	55.925016201916634	0.0	0	64	0.8738283781549474	0.0
4034322	64	55.94922681065081	0.0	0	64	0.874206668916419	0.0
4034323	64	55.96976578316303	0.0	0	64	0.8745275903619223	0.0
4034324	64	55.99230841628162	0.0	0	64	0.8748798190044003	0.0
4034325	64	56.013127017438855	0.0	0	64	0.8752051096474821	0.0
4034326	64	56.03632672526375	0.0	0	64	0.8755676050822461	0.0
4034327	63	55.18396284911949	0.0	0	63	0.8759359182399918	0.0
1518296732	64	33.34024873924018	0.0	0	64	0.5209413865506278	0.0
1518296733	64	33.37021080161154	0.0	0	64	0.5214095437751803	0.0
1518296734	64	33.402296256589885	0.0	0	64	0.521910879009217	0.0
1518296735	64	33.43264530730016	0.0	0	64	0.522385082926565	0.0
1518296736	64	33.462479909514535	0.0	0	64	0.5228512485861646	0.0
1518296737	64	33.49480871071348	0.0	0	64	0.5233563861048981	0.0
1518296738	64	33.529053550463814	0.0	0	64	0.5238914617259971	0.0
1518296739	64	33.55754055087024	0.0	0	64	0.5243365711073475	0.0
1518296740	64	33.58076021402857	0.0	0	64	0.5246993783441964	0.0
1518296741	64	33.607186953246526	0.0	0	64	0.525112296144477	0.0
1518296742	64	33.62922097933956	0.0	0	64	0.5254565778021806	0.0
1518296743	64	33.65400053277111	0.0	0	64	0.5258437583245485	0.0
1518296744	64	33.68032139987463	0.0	0	64	0.5262550218730411	0.0
1518296745	64	33.707298797448075	0.0	0	64	0.5266765437101262	0.0
1518296746	64	33.729329848382285	0.0	0	64	0.5270207788809732	0.0
1518296747	65	33.75559999265644	1.0	1	64	0.5274312498852569	0.015625
1518296748	64	33.779995859449734	0.0	0	64	0.5278124353039021	0.0
1518296749	64	33.809026116597046	0.0	0	64	0.5282660330718288	0.0
1518296750	64	33.83955491043792	0.0	0	64	0.5287430454755925	0.0
1518296751	64	33.863120236253735	0.0	0	64	0.5291112536914646	0.0
1518296752	64	33.89147259258313	0.0	0	64	0.5295542592591114	0.0
1518296753	64	33.922031391988995	0.0	0	64	0.530031740499828	0.0
1518296754	64	33.94803616661092	0.0	0	64	0.5304380651032956	0.0
1518296755	64	33.97370282531965	0.0	0	64	0.5308391066456195	0.0
1518296756	64	34.00319775147656	0.0	0	64	0.5312999648668213	0.0
1518296757	64	34.02848373498824	0.0	0	64	0.5316950583591913	0.0
1518296758	64	34.05751003735131	0.0	0	64	0.5321485943336142	0.0
1518296759	64	34.07951188093385	0.0	0	64	0.5324923731395914	0.0
1518296760	64	34.10546861762585	0.0	0	64	0.532897947150404	0.0
1518296761	64	34.13584357398716	0.0	0	64	0.5333725558435494	0.0
1518296762	64	34.160336169723955	0.0	0	64	0.5337552526519368	0.0
1518296763	64	34.18772471973098	0.0	0	64	0.5341831987457966	0.0
1518296764	64	34.20798598656665	0.0	0	64	0.5344997810401039	0.0
1518296765	64	35.33120139016835	0.0	0	64	0.5520500217213805	0.0
1518296766	2	0.5621976177395512	1.0	1	1	0.5621976177395512	1.0
1518296767	64	36.0134599812478	0.0	0	64	0.5627103122069969	0.0
1518296768	1	0.562707059260882	0.0	0	1	0.562707059260882	0.0
1518296769	64	36.02338445793006	0.0	0	64	0.5628653821551571	0.0
1518296770	64	36.031252192819025	0.0	0	64	0.5629883155127973	0.0
1518296771	64	36.04180439172624	0.0	0	64	0.5631531936207225	0.0
1518296772	64	36.05259133791948	0.0	0	64	0.5633217396549919	0.0
1518296773	64	36.067629713476975	0.0	0	64	0.5635567142730777	0.0
1518296774	64	36.08372967649067	0.0	0	64	0.5638082761951667	0.0
1518296775	64	36.100926348347414	0.0	0	64	0.5640769741929283	0.0
1518296776	64	36.11769699197658	0.0	0	64	0.5643390154996341	0.0
1518296777	64	36.1337766368326	0.0	0	64	0.5645902599505094	0.0
1518296778	64	36.146152789498	0.0	0	64	0.5647836373359062	0.0
1518296779	64	36.16090460646741	0.0	0	64	0.5650141344760533	0.0
1518296780	64	36.17826200946435	0.0	0	64	0.5652853438978804	0.0
1518296781	64	36.20060519809588	0.0	0	64	0.5656344562202481	0.0
1518296782	64	36.2224294754933	0.0	0	64	0.5659754605545828	0.0
1518296783	64	36.2454790103635	0.0	0	64	0.5663356095369297	0.0
1518296784	64	36.2720843679569	0.0	0	64	0.5667513182493266	0.0
1518296785	64	36.2913472150373	0.0	0	64	0.5670523002349578	0.0
1518296786	64	36.31243862374377	0.0	0	64	0.5673818534959965	0.0
1518296787	64	36.33242915112841	0.0	0	64	0.5676942054863814	0.0
1518296788	64	36.35181390715488	0.0	0	64	0.567997092299295	0.0
1518296789	64	36.370296536980476	0.0	0	64	0.5682858833903199	0.0
1518296790	64	36.38841743103455	0.0	0	64	0.5685690223599148	0.0
1518296791	64	36.40669778634397	0.0	0	64	0.5688546529116245	0.0
1518296792	64	36.42649870177858	0.0	0	64	0.5691640422152903	0.0
1518296793	64	36.44286370790269	0.0	0	64	0.5694197454359795	0.0
1518296794	64	36.46086628497072	0.0	0	64	0.5697010357026675	0.0
1518296795	64	36.477640919666584	0.0	0	64	0.5699631393697904	0.0
1518296796	64	36.4977284662541	0.0	0	64	0.5702770072852203	0.0
1518296797	64	36.513374427291005	0.0	0	64	0.570521475426422	0.0
1518296798	64	36.5317832223829	0.0	0	64	0.5708091128497328	0.0
1518296799	64	36.554608930976826	0.0	0	64	0.5711657645465129	0.0
1518296800	64	36.57224505555817	0.0	0	64	0.5714413289930964	0.0
1518296801	64	36.59345899001197	0.0	0	64	0.571772796718937	0.0
1518296802	64	36.622301304200775	0.0	0	64	0.5722234578781371	0.0
1518296803	64	36.65432888871215	0.0	0	64	0.5727238888861274	0.0
1518296804	64	36.68365575467914	0.0	0	64	0.5731821211668615	0.0
1518296805	64	36.71639803038682	0.0	0	64	0.5736937192247941	0.0
1518296806	64	36.750853090504265	0.0	0	64	0.5742320795391291	0.0
1518296807	64	36.78335546682165	0.0	0	64	0.5747399291690882	0.0
1518296808	64	36.8098196132192	0.0	0	64	0.57515343145655	0.0
1518296809	64	36.83693223538847	0.0	0	64	0.5755770661779448	0.0
1518296810	64	36.86726786160172	0.0	0	64	0.5760510603375268	0.0
1518296811	64	36.89335481591495	0.0	0	64	0.576458668998671	0.0
1518296812	64	36.91490955118133	0.0	0	64	0.5767954617372083	0.0
1518296813	64	36.94479567443839	0.0	0	64	0.5772624324130998	0.0
1518296814	64	36.96453396640844	0.0	0	64	0.5775708432251319	0.0
1518296815	64	36.991305715200234	0.0	0	64	0.5779891518000037	0.0
1518296816	64	37.01684241026467	0.0	0	64	0.5783881626603855	0.0
1518296817	64	37.04284562474234	0.0	0	64	0.5787944628865991	0.0
1518296818	64	37.06423817757155	0.0	0	64	0.5791287215245555	0.0
1518296819	64	37.08724065413729	0.0	0	64	0.5794881352208952	0.0
1518296820	64	37.110586725262294	0.0	0	64	0.5798529175822233	0.0
1518296821	64	37.135868318600615	0.0	0	64	0.5802479424781346	0.0
1518296822	64	37.16554273391115	0.0	0	64	0.5807116052173618	0.0
1518296823	64	37.18749120604738	0.0	0	64	0.5810545500944904	0.0
1518296824	64	37.21104074900856	0.0	0	64	0.5814225117032588	0.0
1518296825	64	37.24352933800466	0.0	0	64	0.5819301459063229	0.0
1518296826	64	37.27280232457139	0.0	0	64	0.5823875363214279	0.0
1518296827	64	37.29778890551673	0.0	0	64	0.5827779516486989	0.0
1518296828	64	37.32706827779015	0.0	0	64	0.583235441840471	0.0
1518296829	64	37.35336316667777	0.0	0	64	0.5836462994793401	0.0
1518296830	64	37.37969470081404	0.0	0	64	0.5840577297002194	0.0
1518296831	64	37.409516277638055	0.0	0	64	0.5845236918380946	0.0
1518296832	64	37.43253932633842	0.0	0	64	0.5848834269740378	0.0
1518296833	64	37.46272771847336	0.0	0	64	0.5853551206011463	0.0
1518296834	64	37.48692207268139	0.0	0	64	0.5857331573856467	0.0
1518296835	64	37.510229394177124	0.0	0	64	0.5860973342840176	0.0
1518296836	64	37.53233769039292	0.0	0	64	0.5864427764123894	0.0
1518296837	64	38.04347175054064	0.0	0	64	0.5944292461021975	0.0
1518296838	2	0.6111768588955471	1.0	1	1	0.6111768588955471	1.0
1518296839	63	38.528889009669044	0.0	0	63	0.6115696668201436	0.0
1518296840	64	39.153995235537145	0.0	0	64	0.6117811755552679	0.0
1518296841	64	39.16184312393995	0.0	0	64	0.6119037988115618	0.0
1518296842	64	39.17274777031803	0.0	0	64	0.6120741839112193	0.0
1518296843	64	39.183891517873036	0.0	0	64	0.6122483049667662	0.0
1518296844	63	38.58593644610894	0.0	0	63	0.6124751816842688	0.0
1518296845	64	39.21439861482412	0.0	0	64	0.6127249783566269	0.0
1518296846	64	39.229252131429156	0.0	0	64	0.6129570645535806	0.0
1518296847	64	39.24633251811563	0.0	0	64	0.6132239455955567	0.0
1518296848	64	39.26135365952152	0.0	0	64	0.6134586509300237	0.0
1518296849	64	39.27359763531475	0.0	0	64	0.613649963051793	0.0
1518296850	64	39.29076343082833	0.0	0	64	0.6139181786066926	0.0
1518296851	64	39.30723869924026	0.0	0	64	0.614175604675629	0.0
1518296852	64	39.322123164753336	0.0	0	64	0.6144081744492709	0.0
1518296853	64	39.34322433343199	0.0	0	64	0.6147378802098749	0.0
1518296854	63	38.75073353991577	0.0	0	63	0.6150910085700916	0.0
1518296855	64	39.38702933804096	0.0	0	64	0.61542233340689	0.0
1518296856	64	39.41010372637188	0.0	0	64	0.6157828707245606	0.0
1518296857	64	39.42996628564556	0.0	0	64	0.6160932232132119	0.0
1518296858	64	39.4501069859849	0.0	0	64	0.6164079216560141	0.0
1518296859	64	39.467557925072	0.0	0	64	0.61668059257925	0.0
1518296860	64	39.48414095228448	0.0	0	64	0.616939702379445	0.0
1518296861	64	39.50437616833942	0.0	0	64	0.6172558776303034	0.0
1518296862	64	39.51929111108902	0.0	0	64	0.6174889236107659	0.0
1518296863	64	39.53847736597147	0.0	0	64	0.6177887088433042	0.0
1518296864	64	39.55643662182473	0.0	0	64	0.6180693222160114	0.0
1518296865	64	39.57555394010077	0.0	0	64	0.6183680303140745	0.0
1518296866	64	39.59351696932619	0.0	0	64	0.6186487026457217	0.0
1518296867	64	39.614230641712005	0.0	0	64	0.6189723537767501	0.0
1518296868	64	39.636680682083465	0.0	0	64	0.6193231356575541	0.0
1518296869	64	39.6554858989446	0.0	0	64	0.6196169671710093	0.0
1518296870	64	39.67160574472688	0.0	0	64	0.6198688397613575	0.0
1518296871	64	39.68969772168871	0.0	0	64	0.6201515269013861	0.0
1518296872	64	39.71197106665319	0.0	0	64	0.6204995479164561	0.0
1518296873	64	39.743104833638924	0.0	0	64	0.6209860130256082	0.0
1518296874	64	39.77586419836848	0.0	0	64	0.6214978780995075	0.0
1518296875	64	39.81033036090781	0.0	0	64	0.6220364118891846	0.0
1518296876	64	39.837550233923686	0.0	0	64	0.6224617224050576	0.0
1518296877	64	39.86750514865743	0.0	0	64	0.6229297679477723	0.0
1518296878	64	39.89805342616023	0.0	0	64	0.6234070847837536	0.0
1518296879	64	39.930532980832645	0.0	0	64	0.6239145778255101	0.0
1518296880	64	39.9611522267576	0.0	0	64	0.6243930035430875	0.0
1518296881	64	39.988686051592005	0.0	0	64	0.6248232195561251	0.0
1518296882	64	40.01526586635863	0.0	0	64	0.6252385291618536	0.0
1518296883	64	40.03540682067491	0.0	0	64	0.6255532315730454	0.0
1518296884	64	40.06093713003265	0.0	0	64	0.6259521426567601	0.0
1518296885	64	40.08548346004004	0.0	0	64	0.6263356790631256	0.0
1518296886	64	40.109975838082285	0.0	0	64	0.6267183724700357	0.0
1518296887	64	40.137132615962074	0.0	0	64	0.6271426971244074	0.0
1518296888	64	40.161533888836615	0.0	0	64	0.6275239670130721	0.0
1518296889	64	40.18340272105121	0.0	0	64	0.6278656675164251	0.0
1518296890	64	40.20391767459846	0.0	0	64	0.6281862136656009	0.0
1518296891	64	40.22837979309875	0.0	0	64	0.628568434267168	0.0
1518296892	64	40.251169001573714	0.0	0	64	0.6289245156495893	0.0
1518296893	63	39.65188588422844	0.0	0	63	0.6293950140353721	0.0
1518296894	64	40.31002032759112	0.0	0	64	0.6298440676186112	0.0
1518296895	64	40.33498499395209	0.0	0	64	0.6302341405305014	0.0
1518296896	64	40.36552173364391	0.0	0	64	0.6307112770881861	0.0
1518296897	64	40.39780481898808	0.0	0	64	0.6312157002966887	0.0
1518296898	64	40.42614574635379	0.0	0	64	0.631658527286778	0.0
1518296899	64	40.45485134836738	0.0	0	64	0.6321070523182403	0.0
1518296900	64	40.48460369832557	0.0	0	64	0.632571932786337	0.0
1518296901	64	40.50938891181537	0.0	0	64	0.6329592017471152	0.0
1518296902	64	40.539269411296615	0.0	0	64	0.6334260845515096	0.0
1518296903	64	40.56087236590507	0.0	0	64	0.6337636307172667	0.0
1518296904	64	40.59260820344164	0.0	0	64	0.6342595031787757	0.0
1518296905	64	40.62341891172029	0.0	0	64	0.6347409204956296	0.0
1518296906	64	40.64799807732177	0.0	0	64	0.6351249699581527	0.0
1518296907	64	40.6745700188023	0.0	0	64	0.6355401565437859	0.0
1518296908	64	40.6932872507842	0.0	0	64	0.6358326132935032	0.0
1518296909	2	0.6606945675124124	1.0	1	1	0.6606945675124124	1.0
1518296910	64	42.30393645438134	0.0	0	64	0.6609990070997085	0.0
1518296911	64	42.32122727912947	0.0	0	64	0.6612691762363979	0.0
1518296912	64	42.32844316398125	0.0	0	64	0.661381924437207	0.0
1518296913	64	42.33633223293578	0.0	0	64	0.6615051911396216	0.0
1518296914	64	42.34674724799625	0.0	0	64	0.6616679257499414	0.0
1518296915	64	42.36161763592865	0.0	0	64	0.6619002755613852	0.0
1518296916	64	42.37685581879745	0.0	0	64	0.6621383721687102	0.0
1518296917	7	5.668796614298309	0.0	0	7	0.8098280877569012	0.0
1518296918	64	42.39308523750149	0.0	0	64	0.6623919568359607	0.0
1518296919	64	42.4086851924242	0.0	0	64	0.6626357061316281	0.0
1518296920	64	42.425472199426764	0.0	0	64	0.6628980031160432	0.0
1518296921	64	42.439484798280965	0.0	0	64	0.6631169499731401	0.0
1518296922	64	42.454301778484634	0.0	0	64	0.6633484652888224	0.0
1518296923	64	42.47056675396458	0.0	0	64	0.6636026055306966	0.0
1518296924	64	42.48923779842022	0.0	0	64	0.6638943406003159	0.0
1518296925	64	42.50888226404071	0.0	0	64	0.664201285375636	0.0
1518296926	63	41.867995070234436	0.0	0	63	0.6645713503211815	0.0
1518296927	64	42.55528171597291	0.0	0	64	0.6649262768120767	0.0
1518296928	64	42.58155200537677	0.0	0	64	0.665336750084012	0.0
1518296929	64	42.599949480352244	0.0	0	64	0.6656242106305038	0.0
1518296930	64	42.618484755975665	0.0	0	64	0.6659138243121198	0.0
1518296931	64	42.636480874772154	0.0	0	64	0.6661950136683149	0.0
1518296932	64	42.65625671905148	0.0	0	64	0.6665040112351793	0.0
1518296933	64	42.67654498001093	0.0	0	64	0.6668210153126708	0.0
1518296934	64	42.694497559898124	0.0	0	64	0.6671015243734082	0.0
1518296935	64	42.71131337514568	0.0	0	64	0.6673642714866512	0.0
1518296936	64	42.72589767616151	0.0	0	64	0.6675921511900236	0.0
1518296937	64	42.744290470704236	0.0	0	64	0.6678795386047537	0.0
1518296938	64	42.763307468076725	0.0	0	64	0.6681766791886988	0.0
1518296939	64	42.78513069328385	0.0	0	64	0.6685176670825601	0.0
