page	access#	AVF	wr_ratio	wr#	rd#	mean_AVF	page_wr_ratio
24884927550	28	25.549653348988254	0.0	0	28	0.9124876196067234	0.0
24884927551	4	2.7284723523551655	1.0	1	3	0.6821180880887914	0.3333333333333333
24884927552	19	17.343801134048075	0.0	0	19	0.9128316386341092	0.0
24884927556	1	0.9073924012598168	0.0	0	1	0.9073924012598168	0.0
24884927559	1	0.9074186754145327	0.0	0	1	0.9074186754145327	0.0
24884927562	26	23.661563076085443	0.0	0	26	0.9100601183109785	0.0
24884927563	6	2.648473801484756	0.0	0	6	0.4414123002474593	0.0
24884927564	36	14.150776609613166	0.0	0	36	0.39307712804481015	0.0
24884927568	34	30.95780856882364	0.0	0	34	0.9105237814359894	0.0
24884927572	35	14.468628254161127	0.0	0	35	0.4255478898282684	0.0
24884927575	42	38.26052398535175	0.0	0	42	0.9109648567940893	0.0
24884927577	18	16.40284784058278	0.0	0	18	0.9112693244768211	0.0
24884927579	3	2.734345262532627	0.0	0	3	0.911448420844209	0.0
24884927580	1	0.9114675573798025	0.0	0	1	0.9114675573798025	0.0
24884927581	15	13.673909035172526	0.0	0	15	0.9115939356781684	0.0
24884927582	3	0.0	3.0	3	0	0.0	inf
24884927583	1	0.0	1.0	1	0	0.0	inf
24884927584	3	0.0	3.0	3	0	0.0	inf
24884927585	3	0.0	3.0	3	0	0.0	inf
24884927586	1	0.0	1.0	1	0	0.0	inf
24884927587	2	0.0	2.0	2	0	0.0	inf
24884927588	1	0.0	1.0	1	0	0.0	inf
24884927589	1	0.0	1.0	1	0	0.0	inf
24884927590	1	0.0	1.0	1	0	0.0	inf
24884927591	1	0.0	1.0	1	0	0.0	inf
24884927592	1	0.0	1.0	1	0	0.0	inf
24884927595	3	0.0	3.0	3	0	0.0	inf
24884927596	3	0.0	3.0	3	0	0.0	inf
24884927598	3	0.0	3.0	3	0	0.0	inf
24884927599	3	0.0	3.0	3	0	0.0	inf
24884927600	3	0.0	3.0	3	0	0.0	inf
24884927601	3	0.0	3.0	3	0	0.0	inf
24884927604	3	0.0	3.0	3	0	0.0	inf
24884927605	3	0.0	3.0	3	0	0.0	inf
24884927608	3	0.0	3.0	3	0	0.0	inf
24884927609	3	0.0	3.0	3	0	0.0	inf
24884927612	3	0.0	3.0	3	0	0.0	inf
24884927613	3	0.0	3.0	3	0	0.0	inf
24884927616	1	0.0	1.0	1	0	0.0	inf
24884927639	14	1.175166201390354	0.0	0	14	0.08394044295645386	0.0
24884927645	36	4.556475485345563	0.0	0	36	0.1265687634818212	0.0
24884927646	28	3.102309590795666	0.0	0	28	0.11079677109984522	0.0
24884927650	14	1.1757262922919847	0.0	0	14	0.08398044944942748	0.0
24884927653	36	4.558067675972309	0.0	0	36	0.1266129909992308	0.0
24884927659	28	3.103431624521726	0.0	0	28	0.11083684373291879	0.0
24884927661	14	1.1761443638639397	0.0	0	14	0.08401031170456712	0.0
24884927664	36	4.559646555903936	0.0	0	36	0.12665684877510933	0.0
24884927665	28	3.104508864865078	0.0	0	28	0.1108753166023242	0.0
24884927669	25	22.799783417628614	0.0	0	25	0.9119913367051445	0.0
24884927673	14	1.176817769291856	0.0	0	14	0.08405841209227542	0.0
24884927676	36	4.560765811745797	0.0	0	36	0.12668793921516103	0.0
24884927677	28	3.10535253144536	0.0	0	28	0.11090544755162	0.0
24884927684	14	1.1773348029884017	0.0	0	14	0.08409534307060011	0.0
24884927687	36	4.562420967747722	0.0	0	36	0.12673391577077006	0.0
24884927688	28	3.1065761894350348	0.0	0	28	0.11094914962267981	0.0
24884927695	14	1.177676714235233	0.0	0	14	0.08411976530251664	0.0
24884927698	36	4.563982485903106	0.0	0	36	0.1267772912750863	0.0
24884927699	28	3.1075218275144567	0.0	0	28	0.1109829224112306	0.0
24884927707	14	1.1784199140036498	0.0	0	14	0.0841728510002607	0.0
24884927709	36	4.565139243181655	0.0	0	36	0.12680942342171264	0.0
24884927710	28	3.1085171202739366	0.0	0	28	0.11101846858121202	0.0
24884927716	14	1.1788353234365807	0.0	0	14	0.0842025231026129	0.0
24884927718	28	3.1094179649706493	0.0	0	28	0.11105064160609461	0.0
24884927721	36	4.566814538844023	0.0	0	36	0.12685595941233396	0.0
24884927728	14	1.179428864693775	0.0	0	14	0.0842449189066982	0.0
24884927731	36	4.568172345491477	0.0	0	36	0.12689367626365214	0.0
24884927732	28	3.110746835324363	0.0	0	28	0.11109810126158438	0.0
24884927738	14	1.1797777206511038	0.0	0	14	0.08426983718936455	0.0
24884927742	28	3.111279263129178	0.0	0	28	0.11111711654032778	0.0
24884927743	36	4.569436514292388	0.0	0	36	0.12692879206367744	0.0
24884927750	14	1.1803648959236748	0.0	0	14	0.08431177828026248	0.0
24884927753	36	4.570771982121075	0.0	0	36	0.1269658883922521	0.0
24884927754	28	3.112658829869524	0.0	0	28	0.11116638678105442	0.0
24884927756	29	3.2804341231128182	0.0	0	29	0.11311841803837304	0.0
24884927758	15	1.2945573493614166	0.0	0	15	0.08630382329076111	0.0
24884927759	7	0.4921436226318392	0.0	0	7	0.07030623180454845	0.0
24884927760	29	3.280874649248716	0.0	0	29	0.1131336085947833	0.0
24884927763	15	1.2950874622627324	0.0	0	15	0.08633916415084883	0.0
24884927764	7	0.4922619142006482	0.0	0	7	0.0703231306000926	0.0
24884927766	29	3.281137853776574	0.0	0	29	0.11314268461298531	0.0
24884927768	15	1.2952609642799973	0.0	0	15	0.08635073095199981	0.0
24884927769	7	0.49237233509755984	0.0	0	7	0.07033890501393712	0.0
24884927770	29	3.281400132343033	0.0	0	29	0.1131517287014839	0.0
24884927773	15	1.2954142108916442	0.0	0	15	0.08636094739277628	0.0
24884927774	7	0.4924783576778231	0.0	0	7	0.07035405109683188	0.0
24884927775	43	6.02200940799931	0.0	0	43	0.1400467304185886	0.0
24884927776	43	6.02277483084132	0.0	0	43	0.14006453094979815	0.0
24884927777	43	6.023028660010008	0.0	0	43	0.1400704339537211	0.0
