page	access#	AVF	wr_ratio	wr#	rd#	mean_AVF	page_wr_ratio
4034320	1	0.0	1.0	1	0	0.0	inf
4034321	2	0.0	2.0	2	0	0.0	inf
4034322	16	0.06405028555467383	13.0	13	3	0.004003142847167115	4.333333333333333
4034323	1	0.0	1.0	1	0	0.0	inf
120862541	2	0.9078562913356312	0.0	0	2	0.4539281456678156	0.0
120862542	2	0.45395767367391726	1.0	1	1	0.45395767367391726	1.0
120862543	31	9.666896987358884	10.0	10	21	0.46032842796947065	0.47619047619047616
120862544	3	0.9081632546556188	1.0	1	2	0.4540816273278094	0.5
120862545	11	3.7276423584062246	4.0	4	7	0.532520336915175	0.5714285714285714
120862546	2	0.9083225106064294	0.0	0	2	0.4541612553032147	0.0
120862547	3	0.908379176095904	1.0	1	2	0.454189588047952	0.5
120862548	3	0.7333337889916564	0.5	1	2	0.7333337889916564	0.5
120862549	2	0.9772854213769364	0.0	0	2	0.9772854213769364	0.0
120862550	3	2.254975544784137	0.0	0	3	0.7516585149280456	0.0
120862551	8	1.844034856245579	4.0	4	4	0.46100871406139476	1.0
120862552	3	1.2191346058568413	1.0	1	2	0.6095673029284207	0.5
120862553	4	0.9089528342121647	2.0	2	2	0.45447641710608233	1.0
120862554	2	0.9089593660630013	0.0	0	2	0.45447968303150066	0.0
120862555	44	13.292571161063755	15.0	15	29	0.4583645227953019	0.5172413793103449
120862556	1	0.4545664489057584	0.0	0	1	0.4545664489057584	0.0
120862557	3	0.7231631585296696	0.5	1	2	0.7231631585296696	0.5
200685420	3	2.431697227030671	0.0	0	3	0.8105657423435569	0.0
200685421	2	1.6212045022499026	0.0	0	2	0.8106022511249513	0.0
200685422	21	17.17961364236979	0.0	0	21	0.8180768401128472	0.0
200685423	1	0.8107047742476192	0.0	0	1	0.8107047742476192	0.0
200685424	1	0.8107159861359109	0.0	0	1	0.8107159861359109	0.0
200685425	1	0.8107414738219074	0.0	0	1	0.8107414738219074	0.0
200685426	4	3.24327040074622	0.0	0	4	0.810817600186555	0.0
200685427	2	1.6216207898980683	0.0	0	2	0.8108103949490342	0.0
200685428	20	16.34337465110573	0.0	0	20	0.8171687325552865	0.0
200685429	2	1.6727270009239201	0.0	0	2	0.8363635004619601	0.0
200685430	1	0.8109605265102742	0.0	0	1	0.8109605265102742	0.0
200685431	1	0.8109883710496654	0.0	0	1	0.8109883710496654	0.0
200685432	3	2.4332014382058125	0.0	0	3	0.8110671460686042	0.0
200685433	17	13.821957267756426	0.0	0	17	0.813056309868025	0.0
200685434	1	0.8112205547783738	0.0	0	1	0.8112205547783738	0.0
200685435	5	4.056594177824656	0.0	0	5	0.8113188355649312	0.0
200685436	3	2.4339375171902993	0.0	0	3	0.8113125057300997	0.0
511174637	2	0.1890465103805756	1.0	1	1	0.1890465103805756	1.0
511174638	1	0.18905391763410168	0.0	0	1	0.18905391763410168	0.0
511174639	1	0.18905778960753578	0.0	0	1	0.18905778960753578	0.0
511174640	1	0.1890583619862173	0.0	0	1	0.1890583619862173	0.0
511174641	4	0.3782028501293424	2.0	2	2	0.1891014250646712	1.0
511174642	11	1.2847411217080102	5.0	5	6	0.21412352028466838	0.8333333333333334
511174643	4	0.3783395476262328	2.0	2	2	0.1891697738131164	1.0
511174644	24	2.857751945018516	9.0	9	15	0.19051679633456772	0.6
511174645	6	0.820104174940204	2.0	2	4	0.205026043735051	0.5
511174646	3	0.49180318375204124	0.5	1	2	0.49180318375204124	0.5
511174647	8	6.127063656623699	0.0	0	8	0.7658829570779624	0.0
511174648	2	0.18933623500144794	1.0	1	1	0.18933623500144794	1.0
511174649	7	1.6174280150476334	0.5	1	6	0.5391426716825445	0.16666666666666666
511174650	5	0.5782069443203823	2.0	2	3	0.1927356481067941	0.6666666666666666
511174651	2	0.1893851902133885	1.0	1	1	0.1893851902133885	1.0
511174652	4	0.3788020296009339	2.0	2	2	0.18940101480046695	1.0
511174653	5	0.7180193933344887	2.0	2	3	0.23933979777816292	0.6666666666666666
1518296732	15	0.4024644336513278	8.0	8	7	0.05030805420641597	1.1428571428571428
1518296733	15	0.10663364333474956	10.0	10	5	0.0071089095556499705	2.0
1518296734	2	0.0	2.0	2	0	0.0	inf
1518296735	1	0.0	1.0	1	0	0.0	inf
1518296736	4	0.0	4.0	4	0	0.0	inf
1518296737	3	0.039226895522069455	2.0	2	1	0.039226895522069455	2.0
1518296738	2	0.0	2.0	2	0	0.0	inf
1518296739	1	0.0	1.0	1	0	0.0	inf
1518296740	7	0.1813523267883627	5.0	5	2	0.04533808169709067	2.5
1960456235	1	0.23677117549443502	0.0	0	1	0.23677117549443502	0.0
1960456236	3	0.2685097754029824	0.5	1	2	0.2685097754029824	0.5
1960456237	2	1.0645330701379032	0.0	0	2	0.5322665350689516	0.0
1960456238	1	0.23678238738272675	0.0	0	1	0.23678238738272675	0.0
1960456239	2	0.23680056882319986	1.0	1	1	0.23680056882319986	1.0
2438249725	1	0.6530187571524187	0.0	0	1	0.6530187571524187	0.0
2438249726	3	1.3209584837917676	1.0	1	2	0.6604792418958838	0.5
2438249727	4	2.8738160894098597	0.0	0	4	0.7184540223524649	0.0
2438249728	2	1.6066553095513134	0.0	0	2	0.8033276547756567	0.0
2438249729	2	1.3063125927653287	0.0	0	2	0.6531562963826644	0.0
2438249730	1	0.6532342072220251	0.0	0	1	0.6532342072220251	0.0
2438249731	4	2.6135761758754037	0.0	0	4	0.6533940439688509	0.0
2438249732	2	1.3067800578014928	0.0	0	2	0.6533900289007464	0.0
2438249733	2	1.479117117331266	0.0	0	2	0.739558558665633	0.0
2438249734	29	17.68278702762303	2.0	2	27	0.6549180380601122	0.07407407407407407
