page	access#	AVF	wr_ratio	wr#	rd#	mean_AVF	page_wr_ratio
24884927552	39	5.713629492815487	0.0	0	39	0.14650332032860222	0.0
24884927553	22	1.7009082600160772	0.0	0	22	0.0773140118189126	0.0
24884927561	3	2.4287049831999354	0.0	0	3	0.8095683277333118	0.0
24884927565	44	5.869998015212666	0.0	0	44	0.13340904580028787	0.0
24884927566	23	1.8228426680557774	0.0	0	23	0.07925402904590337	0.0
24884927567	4	0.2811316487673058	0.0	0	4	0.07028291219182645	0.0
24884927569	28	3.6067271462260724	0.0	0	28	0.1288116837937883	0.0
24884927570	15	1.109752397419863	0.0	0	15	0.0739834931613242	0.0
24884927574	2	0.19667152461503845	0.0	0	2	0.09833576230751923	0.0
24884927577	25	9.262986916114702	0.0	0	25	0.37051947664458806	0.0
24884927578	35	18.422927479157213	0.0	0	35	0.526369356547349	0.0
24884927582	2	0.2566637036592877	0.0	0	2	0.12833185182964385	0.0
24884927583	1	0.9235643551797833	0.0	0	1	0.9235643551797833	0.0
24884927587	50	7.4540647132919196	0.0	0	50	0.14908129426583838	0.0
24884927588	17	1.2578509725962412	0.0	0	17	0.07399123368213184	0.0
24884927589	1	0.060461638183214754	0.0	0	1	0.060461638183214754	0.0
24884927594	35	18.364742941212675	0.0	0	35	0.524706941177505	0.0
24884927595	46	6.561248850675526	0.0	0	46	0.14263584457990275	0.0
24884927596	17	1.2610746304540752	0.0	0	17	0.0741808606149456	0.0
24884927597	1	0.06055633718668431	0.0	0	1	0.06055633718668431	0.0
24884927598	10	1.8546649925458767	0.0	0	10	0.18546649925458766	0.0
24884927599	35	18.372920063230683	0.0	0	35	0.5249405732351624	0.0
24884927602	6	0.6125716746776451	0.0	0	6	0.10209527911294085	0.0
24884927603	4	0.2927394115487525	0.0	0	4	0.07318485288718812	0.0
24884927604	18	2.320327378923288	0.0	0	18	0.12890707660684933	0.0
24884927605	4	0.2995601901532927	0.0	0	4	0.07489004753832318	0.0
24884927606	20	2.8909472509254055	0.0	0	20	0.14454736254627026	0.0
24884927607	9	0.5939264931056387	0.0	0	9	0.06599183256729318	0.0
24884927608	1	0.05517492577947586	0.0	0	1	0.05517492577947586	0.0
24884927609	13	1.5414811183591963	0.0	0	13	0.1185754706430151	0.0
24884927610	2	0.157891201655402	0.0	0	2	0.078945600827701	0.0
24884927611	18	9.60304728997253	0.0	0	18	0.5335026272206961	0.0
24884927614	63	11.67042555887186	0.0	0	63	0.18524485014082318	0.0
24884927615	56	9.095844904653097	0.0	0	56	0.16242580186880531	0.0
24884927616	25	3.8762448342558433	0.0	0	25	0.15504979337023372	0.0
24884927617	1	0.07532433687995756	0.0	0	1	0.07532433687995756	0.0
24884927619	18	2.9437499450471925	0.0	0	18	0.1635416636137329	0.0
24884927620	27	4.743468038942189	0.0	0	27	0.1756840014423033	0.0
24884927621	27	6.237091999721524	0.0	0	27	0.23100340739709346	0.0
24884927622	56	12.046174916987026	0.0	0	56	0.21511026637476832	0.0
24884927623	58	12.693612545009055	0.0	0	58	0.21885538870705268	0.0
24884927624	64	12.162653538146476	0.0	0	64	0.19004146153353868	0.0
24884927625	58	16.343607046124756	0.0	0	58	0.28178632838146134	0.0
24884927626	30	7.275384702089474	0.0	0	30	0.24251282340298247	0.0
24884927627	64	18.60184056233624	0.0	0	64	0.29065375878650374	0.0
24884927628	64	19.039809471947112	0.0	0	64	0.29749702299917363	0.0
24884927629	23	6.423722403060004	0.0	0	23	0.2792922783939132	0.0
24884927630	58	17.725985478621308	0.0	0	58	0.3056204392865743	0.0
24884927631	29	8.099843307021809	0.0	0	29	0.2793049416214417	0.0
24884927632	28	8.75335204923887	0.0	0	28	0.3126197160442454	0.0
24884927633	15	9.04543072984104	0.0	0	15	0.603028715322736	0.0
24884927634	58	17.855118884725368	0.0	0	58	0.30784687732285115	0.0
