page	access#	AVF	wr_ratio	wr#	rd#	mean_AVF	page_wr_ratio
1518296732	3	2.8006165676031305	0.0	0	3	0.9335388558677101	0.0
1518296733	13	12.134701509372004	0.0	0	13	0.9334385776440003	0.0
1518296734	1	0.9366046083498025	0.0	0	1	0.9366046083498025	0.0
1518296735	1	0.9366193992745004	0.0	0	1	0.9366193992745004	0.0
1518296736	1	0.9366367018656565	0.0	0	1	0.9366367018656565	0.0
1518296737	1	0.9398407510440858	0.0	0	1	0.9398407510440858	0.0
1518296738	21	19.748353346818813	0.0	0	21	0.9403977784199435	0.0
1518296739	25	23.51105128590346	0.0	0	25	0.9404420514361383	0.0
1518296740	26	24.453401842912005	0.0	0	26	0.9405154554966155	0.0
1518296741	13	12.22783614818274	0.0	0	13	0.9406027806294416	0.0
1518296742	1	0.959653334213967	0.0	0	1	0.959653334213967	0.0
1518296743	1	0.9596540784114361	0.0	0	1	0.9596540784114361	0.0
1518296744	1	0.9596660785956249	0.0	0	1	0.9596660785956249	0.0
1518296745	22	21.188931644067093	0.0	0	22	0.9631332565485042	0.0
1518296746	26	25.042782517127005	0.0	0	26	0.9631839429664233	0.0
1518296747	25	24.081321713310018	0.0	0	25	0.9632528685324008	0.0
1518296748	12	11.560080503561215	0.0	0	12	0.9633400419634346	0.0
1518296749	1	0.9821329350636545	0.0	0	1	0.9821329350636545	0.0
1518296750	1	0.9821336792611235	0.0	0	1	0.9821336792611235	0.0
1518296751	1	0.9821344234585926	0.0	0	1	0.9821344234585926	0.0
1518296752	9	8.870404243413969	0.0	0	9	0.9856004714904409	0.0
1518296753	26	25.626575849768862	0.0	0	26	0.9856375326834178	0.0
1518296754	26	25.62807894260703	0.0	0	26	0.9856953439464242	0.0
1518296755	24	23.6589514164636	0.0	0	24	0.9857896423526501	0.0
12954820911	64	0.0	64.0	64	0	0.0	inf
12954820912	64	0.0	64.0	64	0	0.0	inf
13875226028	64	0.0	64.0	64	0	0.0	inf
13875226029	64	0.0	64.0	64	0	0.0	inf
13875226030	64	0.0	64.0	64	0	0.0	inf
13875226031	64	0.0	64.0	64	0	0.0	inf
13875226032	64	0.0	64.0	64	0	0.0	inf
13875226033	64	0.0	64.0	64	0	0.0	inf
13875226034	64	0.0	64.0	64	0	0.0	inf
13875226035	64	0.0	64.0	64	0	0.0	inf
13875226036	64	0.0	64.0	64	0	0.0	inf
13875226037	64	0.0	64.0	64	0	0.0	inf
13875226038	64	0.0	64.0	64	0	0.0	inf
13875226039	64	0.0	64.0	64	0	0.0	inf
13875226040	64	0.0	64.0	64	0	0.0	inf
13875226041	64	0.0	64.0	64	0	0.0	inf
13875226042	64	0.0	64.0	64	0	0.0	inf
13875226043	64	0.0	64.0	64	0	0.0	inf
13875226044	64	0.0	64.0	64	0	0.0	inf
13875226045	64	0.0	64.0	64	0	0.0	inf
13875226046	64	0.0	64.0	64	0	0.0	inf
13875226047	64	0.0	64.0	64	0	0.0	inf
13875226048	64	0.0	64.0	64	0	0.0	inf
13875226049	64	0.0	64.0	64	0	0.0	inf
13875226050	64	0.0	64.0	64	0	0.0	inf
13875226051	64	0.0	64.0	64	0	0.0	inf
13875226052	64	0.0	64.0	64	0	0.0	inf
13875226053	64	0.0	64.0	64	0	0.0	inf
13875226054	64	0.0	64.0	64	0	0.0	inf
13875226055	64	0.0	64.0	64	0	0.0	inf
13875226056	64	0.0	64.0	64	0	0.0	inf
13875226057	64	0.0	64.0	64	0	0.0	inf
13875226058	64	0.0	64.0	64	0	0.0	inf
13875226059	64	0.0	64.0	64	0	0.0	inf
13875226060	64	0.0	64.0	64	0	0.0	inf
13875226061	64	0.0	64.0	64	0	0.0	inf
13875226062	64	0.0	64.0	64	0	0.0	inf
13875226063	64	0.0	64.0	64	0	0.0	inf
13875226064	64	0.0	64.0	64	0	0.0	inf
13875226065	64	0.0	64.0	64	0	0.0	inf
13875226066	64	0.0	64.0	64	0	0.0	inf
13875226067	64	0.0	64.0	64	0	0.0	inf
13875226068	64	0.0	64.0	64	0	0.0	inf
13875226069	64	0.0	64.0	64	0	0.0	inf
13875226070	64	0.0	64.0	64	0	0.0	inf
13875226071	64	0.0	64.0	64	0	0.0	inf
13875226072	64	0.0	64.0	64	0	0.0	inf
13875226073	64	0.0	64.0	64	0	0.0	inf
13875226074	64	0.0	64.0	64	0	0.0	inf
13875226075	64	0.0	64.0	64	0	0.0	inf
13875226076	64	0.0	64.0	64	0	0.0	inf
13875226077	64	0.0	64.0	64	0	0.0	inf
13875226078	64	0.0	64.0	64	0	0.0	inf
13875226079	64	0.0	64.0	64	0	0.0	inf
13875226080	64	0.0	64.0	64	0	0.0	inf
13875226081	64	0.0	64.0	64	0	0.0	inf
13875226082	64	0.0	64.0	64	0	0.0	inf
13875226083	64	0.0	64.0	64	0	0.0	inf
13875226084	64	0.0	64.0	64	0	0.0	inf
13875226085	64	0.0	64.0	64	0	0.0	inf
13875226086	64	0.0	64.0	64	0	0.0	inf
13875226087	64	0.0	64.0	64	0	0.0	inf
13875226088	64	0.0	64.0	64	0	0.0	inf
13875226089	64	0.0	64.0	64	0	0.0	inf
13875226090	64	0.0	64.0	64	0	0.0	inf
13875226091	64	0.0	64.0	64	0	0.0	inf
13875226092	64	0.0	64.0	64	0	0.0	inf
13875226093	71	5.730204231041686	64.0	64	7	0.08953444111002634	9.142857142857142
13875226094	89	20.663225156479147	64.0	64	25	0.32286289306998667	2.56
13875226095	90	21.483589934171086	64.0	64	26	0.3356810927214232	2.4615384615384617
13875226096	89	20.653414401244294	64.0	64	25	0.3227096000194421	2.56
13875226097	66	1.6360238087375296	64.0	64	2	0.0255628720115239	32.0
13875226098	64	0.0	64.0	64	0	0.0	inf
13875226099	64	0.0	64.0	64	0	0.0	inf
13875226100	64	0.0	64.0	64	0	0.0	inf
13875226101	64	0.0	64.0	64	0	0.0	inf
13875226102	64	0.0	64.0	64	0	0.0	inf
13875226103	64	0.0	64.0	64	0	0.0	inf
13875226104	64	0.0	64.0	64	0	0.0	inf
13875226105	64	0.0	64.0	64	0	0.0	inf
13875226106	64	0.0	64.0	64	0	0.0	inf
13875226107	64	0.0	64.0	64	0	0.0	inf
13875226108	64	0.0	64.0	64	0	0.0	inf
13875226109	64	0.0	64.0	64	0	0.0	inf
13875226110	64	0.0	64.0	64	0	0.0	inf
13875226111	64	0.0	64.0	64	0	0.0	inf
13875226112	64	0.0	64.0	64	0	0.0	inf
13875226113	64	0.0	64.0	64	0	0.0	inf
13875226114	64	0.0	64.0	64	0	0.0	inf
13875226115	64	0.0	64.0	64	0	0.0	inf
13875226116	64	0.0	64.0	64	0	0.0	inf
13875226117	64	0.0	64.0	64	0	0.0	inf
13875226118	64	0.0	64.0	64	0	0.0	inf
13875226119	64	0.0	64.0	64	0	0.0	inf
13875226120	64	0.0	64.0	64	0	0.0	inf
13875226121	64	0.0	64.0	64	0	0.0	inf
