page	access#	AVF	wr_ratio	wr#	rd#	mean_AVF	page_wr_ratio
1518296734	27	0.0	27.0	27	0	0.0	inf
1518296735	98	13.99834260528554	35.0	35	63	0.21872410320758656	0.5555555555555556
1518296739	27	0.0	27.0	27	0	0.0	inf
1518296740	97	14.03238996475212	34.0	34	63	0.21925609319925188	0.5396825396825397
16355949808	7	6.4583043198386205	0.0	0	7	0.9226149028340886	0.0
20748601587	6	3.9028313423536916	0.0	0	6	0.6504718903922819	0.0
20748601588	8	4.407843322856623	0.0	0	8	0.5509804153570779	0.0
20748601589	6	3.4221357244724904	0.0	0	6	0.5703559540787484	0.0
20748601590	9	4.77466019642314	0.0	0	9	0.5305177996025711	0.0
20748601591	8	3.4466148699434735	0.0	0	8	0.4308268587429342	0.0
22641002229	4	0.0	4.0	4	0	0.0	inf
22641002231	3	0.46860235859757626	0.0	0	3	0.1562007861991921	0.0
22641002232	36	2.7066028006294576	0.0	0	36	0.07518341112859604	0.0
22641002238	39	0.0	39.0	39	0	0.0	inf
22641002243	6	0.0	6.0	6	0	0.0	inf
22641002244	23	1.8246250879398367	0.0	0	23	0.07933152556260159	0.0
26144142100	6	2.265925570015399	0.0	0	6	0.37765426166923316	0.0
26144142106	34	3.4069432955837504	0.0	0	34	0.10020421457599266	0.0
26144142114	58	6.39528892044618	0.0	0	58	0.11026360207665827	0.0
26144142117	18	1.8628733241404491	0.0	0	18	0.10349296245224718	0.0
29305824313	11	0.0	11.0	11	0	0.0	inf
29305824314	95	7.34364100266141	48.0	48	47	0.11474439066658453	1.0212765957446808
29305824319	10	0.0	10.0	10	0	0.0	inf
29305824320	89	7.36928447269711	42.0	42	47	0.11514506988589235	0.8936170212765957
29305824322	27	0.0	27.0	27	0	0.0	inf
29305824323	127	12.074054954500621	64.0	64	63	0.1886571086640722	1.0158730158730158
29305824326	11	0.0	11.0	11	0	0.0	inf
29305824327	90	7.411622740404302	43.0	43	47	0.11580660531881722	0.9148936170212766
29305824328	55	3.802934722953258	24.0	24	31	0.07605869445906516	0.7741935483870968
29305824332	19	0.0	19.0	19	0	0.0	inf
29305824333	105	9.408416885078232	50.0	50	55	0.14700651382934737	0.9090909090909091
29305824336	86	5.666991145647257	47.0	47	39	0.0885467366507384	1.205128205128205
29305824337	74	2.5045861369718745	51.0	51	23	0.04910953209748774	2.217391304347826
29305824345	5	2.0051799346305446	0.0	0	5	0.4010359869261089	0.0
29305824353	1	0.9492718952487869	0.0	0	1	0.9492718952487869	0.0
29305824355	74	2.6344952821078493	51.0	51	23	0.05165677023740881	2.217391304347826
29305824365	57	1.8573009344499998	42.0	42	15	0.04422145082023809	2.8
29305824366	17	0.0	17.0	17	0	0.0	inf
29305824367	75	10.288348008147237	20.0	20	55	0.16075543762730057	0.36363636363636365
29305824377	6	0.8370985486020348	0.0	0	6	0.1395164247670058	0.0
29305824378	39	7.34152482562112	0.0	0	39	0.18824422629797744	0.0
29305824379	2	0.0	2.0	2	0	0.0	inf
29305824384	13	1.655990037869496	0.0	0	13	0.12738384906688432	0.0
29305824385	51	0.0	51.0	51	0	0.0	inf
29305824406	1	0.7266817503113446	0.0	0	1	0.7266817503113446	0.0
29305824408	1	0.054436698269173134	0.0	0	1	0.054436698269173134	0.0
29305824410	47	6.171054421409274	0.0	0	47	0.13129903024275053	0.0
29305824411	7	0.9205101443618564	0.0	0	7	0.13150144919455092	0.0
29305824413	31	4.087949504940032	0.0	0	31	0.1318693388690333	0.0
29305824422	2	1.4615047790481386	0.0	0	2	0.7307523895240693	0.0
29305824424	2	1.4605241472843031	0.0	0	2	0.7302620736421516	0.0
29305824426	8	4.40688528733084	0.0	0	8	0.550860660916355	0.0
29305824427	10	5.387904559785936	0.0	0	10	0.5387904559785935	0.0
29305824428	10	4.9071758906908665	0.0	0	10	0.49071758906908663	0.0
29305824429	6	3.6627847603775754	0.0	0	6	0.6104641267295959	0.0
29305824430	4	2.6810997420431453	0.0	0	4	0.6702749355107863	0.0
29305824431	6	3.1824937388185157	0.0	0	6	0.5304156231364193	0.0
29305824432	8	4.884529064045833	0.0	0	8	0.6105661330057292	0.0
29305824433	8	5.363392700358369	0.0	0	8	0.6704240875447961	0.0
29305824434	8	4.403014023382722	0.0	0	8	0.5503767529228403	0.0
29305824435	6	2.944376043670771	0.0	0	6	0.4907293406117952	0.0
29305824436	8	4.165494622657439	0.0	0	8	0.5206868278321799	0.0
29305824437	2	1.2203771750565413	0.0	0	2	0.6101885875282707	0.0
29305824438	6	3.42187603636353	0.0	0	6	0.570312672727255	0.0
29305824439	4	2.2010389547902114	0.0	0	4	0.5502597386975528	0.0
29305824440	2	1.2204345087948831	0.0	0	2	0.6102172543974416	0.0
31933350762	37	2.7848297401567526	0.0	0	37	0.0752656686528852	0.0
31933350763	37	2.93929503784364	0.0	0	37	0.07944040642820649	0.0
31933350766	4	1.4902204381062059	0.0	0	4	0.37255510952655146	0.0
31933350769	2	0.0	2.0	2	0	0.0	inf
31933350772	17	2.058059178760525	0.0	0	17	0.12106230463297207	0.0
31933350773	17	1.41575515390961	0.0	0	17	0.08327971493585941	0.0
31933350779	41	2.713753779248919	0.0	0	41	0.0661891165670468	0.0
31933350780	41	3.3438420080028903	0.0	0	41	0.08155712214641196	0.0
34094639290	11	0.6251476343762302	0.0	0	11	0.05683160312511184	0.0
34094639292	1	0.8592234133899685	0.0	0	1	0.8592234133899685	0.0
34094639293	1	0.05540305280797042	0.0	0	1	0.05540305280797042	0.0
34094639295	2	0.23262411124274138	0.0	0	2	0.11631205562137069	0.0
34094639299	2	0.11128298741603136	0.0	0	2	0.05564149370801568	0.0
34094639304	2	1.7211209397876583	0.0	0	2	0.8605604698938292	0.0
37961544257	8	4.88484597347404	0.0	0	8	0.610605746684255	0.0
37961544258	7	4.036036952606133	0.0	0	7	0.5765767075151619	0.0
40979728428	64	25.166268178448675	0.0	0	64	0.39322294028826055	0.0
40979728429	64	28.036399054510454	0.0	0	64	0.43806873522672585	0.0
40979728430	64	31.73871351635012	0.0	0	64	0.49591739869297063	0.0
40979728431	64	30.108878005721223	0.0	0	64	0.4704512188393941	0.0
40979728432	64	25.382080576161346	0.0	0	64	0.39659500900252104	0.0
40979728433	64	28.25312530704465	0.0	0	64	0.4414550829225727	0.0
40979728434	64	31.734867546698325	0.0	0	64	0.49585730541716133	0.0
40979728435	72	31.76972016414088	8.0	8	64	0.4964018775647013	0.125
40979728436	65	29.885977471663082	1.0	1	64	0.46696839799473566	0.015625
40979728437	64	29.918479855509975	0.0	0	64	0.46747624774234336	0.0
40979728438	64	27.601124685591902	0.0	0	64	0.43126757321237347	0.0
40979728439	64	33.91981820483343	0.0	0	64	0.5299971594505224	0.0
40979728440	64	33.96940143352332	0.0	0	64	0.5307718973988019	0.0
40979728441	3	1.14129686218071	0.0	0	3	0.38043228739357	0.0
40979728442	2	0.7609369726841835	0.0	0	2	0.38046848634209174	0.0
40979728443	64	24.606509897489527	0.0	0	64	0.38447671714827386	0.0
40979728444	64	24.606874135356644	0.0	0	64	0.38448240836494757	0.0
40979728445	64	24.612788054257052	0.0	0	64	0.38457481334776644	0.0
40979728446	64	24.62013711532153	0.0	0	64	0.3846896424268989	0.0
40979728447	64	24.61316791837834	0.0	0	64	0.3845807487246616	0.0
40979728448	64	24.62076778644328	0.0	0	64	0.38469949666317627	0.0
40979728449	64	24.603861191197222	0.0	0	64	0.3844353311124566	0.0
40979728450	64	27.57359167541099	0.0	0	64	0.43083736992829674	0.0
40979728451	64	30.664744337618828	0.0	0	64	0.4791366302752942	0.0
40979728452	64	30.665065406553534	0.0	0	64	0.47914164697739897	0.0
40979728453	67	26.154072280531516	3.0	3	64	0.40865737938330493	0.046875
40979728454	64	30.547017262851355	0.0	0	64	0.4772971447320524	0.0
40979728455	64	28.211563068348784	0.0	0	64	0.44080567294294976	0.0
40979728456	64	26.621433195065336	0.0	0	64	0.4159598936728959	0.0
40979728457	64	25.15399954537718	0.0	0	64	0.3930312428965184	0.0
40979728458	64	25.59472466652561	0.0	0	64	0.39991757291446267	0.0
40979728459	64	29.17641265272415	0.0	0	64	0.45588144769881483	0.0
40979728460	64	32.456272794376716	0.0	0	64	0.5071292624121362	0.0
40979728461	64	27.398111876335395	0.0	0	64	0.42809549806774055	0.0
40979728462	51	20.330411186329474	0.0	0	51	0.3986355134574407	0.0
40979728463	64	25.777926870479483	0.0	0	64	0.4027801073512419	0.0
40979728464	64	32.47463105739377	0.0	0	64	0.5074161102717777	0.0
40979728465	64	31.84473225481452	0.0	0	64	0.4975739414814769	0.0
40979728466	64	26.66796132243528	0.0	0	64	0.4166868956630512	0.0
40979728467	51	20.71905917358924	0.0	0	51	0.40625606222724003	0.0
40979728468	64	30.210747018139728	0.0	0	64	0.47204292215843324	0.0
40979728469	64	31.317883427244503	0.0	0	64	0.48934192855069536	0.0
40979728470	60	29.66639892185592	0.0	0	60	0.494439982030932	0.0
40979728471	64	32.130792646801915	0.0	0	64	0.5020436351062799	0.0
40979728472	64	28.413626948026177	0.0	0	64	0.443962921062909	0.0
40979728473	64	38.20843894170463	0.0	0	64	0.5970068584641348	0.0
40979728474	64	35.721599170616884	0.0	0	64	0.5581499870408888	0.0
40979728475	64	34.449185220126694	0.0	0	64	0.5382685190644796	0.0
40979728476	64	27.699477003887228	0.0	0	64	0.43280432818573794	0.0
40979728477	64	29.390230398438	0.0	0	64	0.45922234997559375	0.0
40979728478	51	22.286965927795908	0.0	0	51	0.43699933191756685	0.0
40979728479	64	29.58048735026619	0.0	0	64	0.4621951148479092	0.0
40979728480	64	31.319615130980623	0.0	0	64	0.4893689864215722	0.0
40979728481	51	24.20271073914881	0.0	0	51	0.4745629556695845	0.0
40979728482	64	31.10905900046384	0.0	0	64	0.4860790468822475	0.0
40979728483	64	35.748833932939334	0.0	0	64	0.5585755302021771	0.0
40979728484	64	30.449601283196515	0.0	0	64	0.47577502004994554	0.0
40979728485	64	33.41958549730724	0.0	0	64	0.5221810233954256	0.0
40979728486	64	36.863323562615065	0.0	0	64	0.5759894306658604	0.0
40979728487	64	38.664324002623395	0.0	0	64	0.6041300625409906	0.0
40979728488	64	41.26955445839514	0.0	0	64	0.6448367884124241	0.0
40979728489	64	36.86594483864825	0.0	0	64	0.5760303881038789	0.0
40979728490	64	37.224720037107296	0.0	0	64	0.5816362505798015	0.0
40979728491	64	42.087837985198	0.0	0	64	0.6576224685187188	0.0
40979728492	25	12.104429806978663	0.0	0	25	0.4841771922791465	0.0
40979728493	32	17.08432421397131	0.0	0	32	0.5338851316866035	0.0
40979728494	64	33.96437562547175	0.0	0	64	0.5306933691479961	0.0
40979728495	64	36.85005316298992	0.0	0	64	0.5757820806717175	0.0
40979728496	64	39.892169178146716	0.0	0	64	0.6233151434085424	0.0
40979728497	64	34.17975633386044	0.0	0	64	0.5340586927165694	0.0
40979728498	64	37.068632981559	0.0	0	64	0.5791973903368594	0.0
40979728499	64	43.21122457445437	0.0	0	64	0.6751753839758495	0.0
40979728500	64	40.8262496562786	0.0	0	64	0.6379101508793531	0.0
40979728501	64	36.42090080071625	0.0	0	64	0.5690765750111914	0.0
40979728502	3	1.4967672765102775	0.0	0	3	0.49892242550342586	0.0
