page	access#	AVF	wr_ratio	wr#	rd#	mean_AVF	page_wr_ratio
4034319	3	1.1707566710930335	0.0	0	3	0.3902522236976778	0.0
4034320	2	0.3915594823923202	0.0	0	2	0.1957797411961601	0.0
4034321	7	3.3276662824949925	0.0	0	7	0.47538089749928464	0.0
4034322	4	0.7274048307560638	0.0	0	4	0.18185120768901594	0.0
4034323	1	0.14920939279941203	0.0	0	1	0.14920939279941203	0.0
4034324	4	1.4513553225882194	0.0	0	4	0.36283883064705486	0.0
4034325	7	1.9625701367911426	0.0	0	7	0.28036716239873466	0.0
4034326	1	0.14937846982743583	0.0	0	1	0.14937846982743583	0.0
4034327	1	0.1499901835367444	0.0	0	1	0.1499901835367444	0.0
4034328	3	1.4437014987976011	0.0	0	3	0.4812338329325337	0.0
4034329	6	2.71595691091272	0.0	0	6	0.45265948515212	0.0
4034330	5	1.8794660900131017	0.0	0	5	0.3758932180026203	0.0
4034331	2	0.4485350460940001	0.0	0	2	0.22426752304700004	0.0
4034332	5	2.018066818713404	0.0	0	5	0.40361336374268075	0.0
4034333	4	1.551790943468676	0.0	0	4	0.387947735867169	0.0
4034334	4	1.5746544388047718	0.0	0	4	0.39366360970119296	0.0
4034335	3	1.0784781445545408	0.0	0	3	0.35949271485151363	0.0
4034336	1	0.15036652844407455	0.0	0	1	0.15036652844407455	0.0
4034337	4	2.0981806632836175	0.0	0	4	0.5245451658209044	0.0
4034338	2	0.5546860928910889	0.0	0	2	0.27734304644554447	0.0
4034339	2	0.3015496810168083	0.0	0	2	0.15077484050840415	0.0
4034340	3	0.9539620132104512	0.0	0	3	0.31798733773681703	0.0
4034341	1	0.1507987923015542	0.0	0	1	0.1507987923015542	0.0
4034342	1	0.1507894567601296	0.0	0	1	0.1507894567601296	0.0
4034343	1	0.15080096116471348	0.0	0	1	0.15080096116471348	0.0
4034344	2	0.9010887127269079	0.0	0	2	0.45054435636345397	0.0
4034345	4	1.8449330735978253	0.0	0	4	0.46123326839945633	0.0
4034346	3	1.2625010915039594	0.0	0	3	0.42083369716798646	0.0
4034347	1	0.150934864890198	0.0	0	1	0.150934864890198	0.0
4034348	6	2.313350276869527	0.0	0	6	0.3855583794782545	0.0
4034349	6	1.460740087776721	0.0	0	6	0.24345668129612016	0.0
4034350	2	0.3022478663572925	0.0	0	2	0.15112393317864625	0.0
4034351	1	0.15107885854429298	0.0	0	1	0.15107885854429298	0.0
4034352	1	0.15114184987430967	0.0	0	1	0.15114184987430967	0.0
4034353	5	1.2076094281047323	0.0	0	5	0.24152188562094645	0.0
4034354	2	0.8161033186058095	0.0	0	2	0.40805165930290477	0.0
4034355	3	0.5666098424518942	0.0	0	3	0.1888699474839647	0.0
4034356	3	1.2612999185073241	0.0	0	3	0.42043330616910807	0.0
4034357	1	0.15212349619986884	0.0	0	1	0.15212349619986884	0.0
4034358	1	0.1523298210951929	0.0	0	1	0.1523298210951929	0.0
4034359	4	1.3267534740001399	0.0	0	4	0.33168836850003497	0.0
4034360	2	0.4026246450372545	0.0	0	2	0.20131232251862724	0.0
4034361	2	1.0100709746324108	0.0	0	2	0.5050354873162054	0.0
4034362	2	0.6352228657773573	0.0	0	2	0.31761143288867866	0.0
4034363	1	0.15333004420520313	0.0	0	1	0.15333004420520313	0.0
4034364	1	0.15348733393344835	0.0	0	1	0.15348733393344835	0.0
4034365	3	0.8590865087847445	0.0	0	3	0.28636216959491484	0.0
4034366	1	0.15355381430419945	0.0	0	1	0.15355381430419945	0.0
4034367	3	1.4537851094153744	0.0	0	3	0.4845950364717915	0.0
4034368	3	0.7984687637498852	0.0	0	3	0.26615625458329506	0.0
4034369	4	0.7555387578675512	0.0	0	4	0.1888846894668878	0.0
4034370	2	0.7061677941926143	0.0	0	2	0.35308389709630716	0.0
4034371	3	1.6736447481355792	0.0	0	3	0.5578815827118597	0.0
4034372	4	1.1012743108343013	0.0	0	4	0.2753185777085753	0.0
4034373	4	1.2144198470215946	0.0	0	4	0.30360496175539864	0.0
4034374	3	0.7394511682345661	0.0	0	3	0.2464837227448554	0.0
4034375	4	1.0476395507850624	0.0	0	4	0.2619098876962656	0.0
4034376	1	0.15492811915998234	0.0	0	1	0.15492811915998234	0.0
4034377	4	2.1195362329336405	0.0	0	4	0.5298840582334101	0.0
4034378	1	0.1558906229107011	0.0	0	1	0.1558906229107011	0.0
4034379	1	0.1563741850968171	0.0	0	1	0.1563741850968171	0.0
4034380	5	1.760492818516886	0.0	0	5	0.3520985637033772	0.0
4034381	2	0.6472322382837541	0.0	0	2	0.32361611914187705	0.0
4034382	1	0.15724804835320105	0.0	0	1	0.15724804835320105	0.0
4034383	2	0.31490742631947505	0.0	0	2	0.15745371315973752	0.0
4034384	2	0.49287019240833774	0.0	0	2	0.24643509620416887	0.0
4034385	1	0.15751557290897544	0.0	0	1	0.15751557290897544	0.0
4034386	2	0.5807127336973629	0.0	0	2	0.29035636684868144	0.0
4034387	1	0.1577254811434322	0.0	0	1	0.1577254811434322	0.0
4034388	1	0.15773717414481253	0.0	0	1	0.15773717414481253	0.0
4034389	3	1.3029195538478744	0.0	0	3	0.4343065179492915	0.0
4034390	3	1.2430161191795963	0.0	0	3	0.41433870639319875	0.0
4034391	2	0.3663617245064752	0.0	0	2	0.1831808622532376	0.0
4034392	2	0.6546083532915893	0.0	0	2	0.32730417664579464	0.0
4034393	3	0.9712127735855853	0.0	0	3	0.32373759119519513	0.0
4034394	1	0.15906206663992364	0.0	0	1	0.15906206663992364	0.0
4034395	1	0.15931148590323815	0.0	0	1	0.15931148590323815	0.0
4034396	1	0.15934845087534374	0.0	0	1	0.15934845087534374	0.0
