mean
 page	access#	AVF	wr_ratio	wr#	rd#
24884927739	1.0	0.02966653052792221	0.0	0.0	1.0
24884927750	1.0	0.02957429837634143	0.0	0.0	1.0
24884927786	1.0	0.02953268775859501	0.0	0.0	1.0
24884927788	1.0	0.029595893909531254	0.0	0.0	1.0
24884927790	1.0	0.029648178452748336	0.0	0.0	1.0
24884927791	1.0	0.029650254265878542	0.0	0.0	1.0
24884927792	1.0	0.02965534944356178	0.0	0.0	1.0
24884927794	1.0	0.029692431014478656	0.0	0.0	1.0
24884927801	1.0	0.027370879351712236	0.0	0.0	1.0
34094639289	1.0	0.029673913817805785	0.0	0.0	1.0
34094639290	1.0	0.029731022267672047	0.0	0.0	1.0
52584053131	1.0	0.023957320047563166	0.0	0.0	1.0
52584053132	1.0	0.024645472494697597	0.0	0.0	1.0
52584053133	1.0	0.025435003153584747	0.0	0.0	1.0
52584053134	1.0	0.026268492251532133	0.0	0.0	1.0
52584053135	1.0	0.027060135581026927	0.0	0.0	1.0
52584053136	1.0	0.02786764458026657	0.0	0.0	1.0
52584053137	1.0	0.02865600390852025	0.0	0.0	1.0
52584053138	1.0	0.02926217598856944	0.0	0.0	1.0
52584053139	1.0	0.029629920732716745	0.0	0.0	1.0
sum
 page	access#	AVF	wr_ratio	wr#	rd#
24884927739	2	0.05933306105584442	0.0	0	2
24884927750	1	0.02957429837634143	0.0	0	1
24884927786	1	0.02953268775859501	0.0	0	1
24884927788	4	0.11838357563812502	0.0	0	4
24884927790	1	0.029648178452748336	0.0	0	1
24884927791	1	0.029650254265878542	0.0	0	1
24884927792	1	0.02965534944356178	0.0	0	1
24884927794	1	0.029692431014478656	0.0	0	1
24884927801	15	0.41056319027568355	0.0	0	15
34094639289	2	0.05934782763561157	0.0	0	2
34094639290	6	0.17838613360603228	0.0	0	6
52584053131	48	1.149951362283032	0.0	0	48
52584053132	64	1.5773102396606462	0.0	0	64
52584053133	64	1.6278402018294238	0.0	0	64
52584053134	64	1.6811835040980565	0.0	0	64
52584053135	64	1.7318486771857233	0.0	0	64
52584053136	64	1.7835292531370606	0.0	0	64
52584053137	64	1.833984250145296	0.0	0	64
52584053138	32	0.9363896316342221	0.0	0	32
52584053139	1	0.029629920732716745	0.0	0	1
