	line_AVF	page
1592635364509	0.05159647	24884927570.0
1592635364510	0.051599108	24884927570.0
1592635364571	0.051600024	24884927571.0
1592635364511	0.05160094	24884927570.0
1592635364512	0.051601857	24884927570.0
1592635365021	0.05164782	24884927578.0
1592635365022	0.05165607	24884927578.0
1592635365023	0.051657103	24884927578.0
1592635365024	0.051663406	24884927578.0
1592635364515	0.12157174	24884927570.0
1592635364513	0.121579766	24884927570.0
1592635364514	0.1215816	24884927570.0
1592635364572	0.12158275	24884927571.0
1592635365074	0.12163272	24884927579.0
1592635365025	0.12163432	24884927578.0
1592635365027	0.121636264	24884927578.0
1592635365026	0.12163856	24884927578.0
1592635364516	0.19149016	24884927570.0
1592635364517	0.19149165	24884927570.0
1592635364518	0.1914928	24884927570.0
1592635365028	0.1915281	24884927578.0
1592635365029	0.19152912	24884927578.0
1592635365030	0.19153005	24884927578.0
1592635364519	0.26138657	24884927570.0
1592635364573	0.2613875	24884927571.0
1592635364520	0.26138842	24884927570.0
1592635364521	0.26138932	24884927570.0
1592635365031	0.26143688	24884927578.0
1592635365032	0.26143792	24884927578.0
1592635365075	0.26143885	24884927579.0
1592635365033	0.26144022	24884927578.0
1592635364522	0.33131027	24884927570.0
1592635364574	0.3313112	24884927571.0
1592635364523	0.3313121	24884927570.0
1592635364524	0.33131313	24884927570.0
1592635365076	0.3313622	24884927579.0
1592635365034	0.33136573	24884927578.0
1592635365035	0.33136678	24884927578.0
1592635365036	0.33136803	24884927578.0
1592635364525	0.40119088	24884927570.0
1592635364526	0.40119293	24884927570.0
1592635364527	0.4011943	24884927570.0
1592635365037	0.40123063	24884927578.0
1592635365038	0.40123603	24884927578.0
1592635365039	0.4012459	24884927578.0
1592635364528	0.47109827	24884927570.0
1592635364529	0.47110012	24884927570.0
1592635364530	0.47110242	24884927570.0
1592635364575	0.47110334	24884927571.0
1592635365040	0.47115204	24884927578.0
1592635365077	0.4711533	24884927579.0
1592635365041	0.47115594	24884927578.0
1592635365042	0.47115687	24884927578.0
1592635364531	0.54100674	24884927570.0
1592635364532	0.5410105	24884927570.0
1592635364533	0.5410118	24884927570.0
1592635365043	0.54104376	24884927578.0
1592635365078	0.5410466	24884927579.0
1592635365044	0.5410486	24884927578.0
1592635365045	0.5410495	24884927578.0
1592635364534	0.61090374	24884927570.0
1592635364576	0.61090624	24884927571.0
1592635364535	0.61090714	24884927570.0
1592635364537	0.61090934	24884927570.0
1592635364536	0.6109121	24884927570.0
1592635365046	0.6109529	24884927578.0
1592635365047	0.61095655	24884927578.0
1592635365048	0.6109576	24884927578.0
1592635365049	0.61095876	24884927578.0
1592635364538	0.68079704	24884927570.0
1592635364577	0.68079793	24884927571.0
1592635364539	0.6807989	24884927570.0
1592635364540	0.6807998	24884927570.0
1592635365079	0.68085116	24884927579.0
1592635365050	0.68085504	24884927578.0
1592635365051	0.68085605	24884927578.0
1592635365052	0.680857	24884927578.0
1592635364541	0.75072485	24884927570.0
1592635364542	0.75072634	24884927570.0
1592635364543	0.7507275	24884927570.0
1592635365053	0.75076944	24884927578.0
1592635365054	0.7507705	24884927578.0
1592635365055	0.7507714	24884927578.0
1592635365120	0.82061625	24884927580.0
1592635365121	0.82061774	24884927580.0
1592635364578	0.8206197	24884927571.0
1592635365122	0.82062554	24884927580.0
1592635365080	0.82068086	24884927579.0
1592635365185	0.82068396	24884927581.0
1592635365186	0.8206849	24884927581.0
1592635365184	0.8206867	24884927581.0
1592635365123	0.89051414	24884927580.0
1592635365124	0.890516	24884927580.0
1592635365125	0.89051723	24884927580.0
1592635364579	0.89052	24884927571.0
1592635365081	0.89056927	24884927579.0
1592635365187	0.89057136	24884927581.0
1592635365188	0.89057237	24884927581.0
1592635365189	0.89057326	24884927581.0
1592635365126	0.9604446	24884927580.0
1592635365127	0.9604469	24884927580.0
1592635365128	0.96044827	24884927580.0
1592635365190	0.9604798	24884927581.0
1592635365191	0.9604833	24884927581.0
1592635365192	0.9604844	24884927581.0
