	line_AVF	page
1592635365206	0.055136066	24884927581.0
1592635365187	0.055275448	24884927581.0
1592635364114	0.080556445	24884927564.0
1592635365070	0.09277189	24884927579.0
1592635365145	0.0928774	24884927580.0
1592635365617	0.093244955	24884927587.0
1592635365696	0.0932719	24884927589.0
1592635365211	0.105585426	24884927581.0
1592635365192	0.10578396	24884927581.0
1592635364189	0.12617166	24884927565.0
1592635365025	0.13337734	24884927578.0
1592635365216	0.14137284	24884927581.0
1592635365197	0.14165564	24884927581.0
1592635364912	0.1656054	24884927576.0
1592635364043	0.16619523	24884927563.0
1592635365403	0.18312319	24884927584.0
1592635365695	0.19581355	24884927588.0
1592635365690	0.19581439	24884927588.0
1592635364984	0.20759176	24884927577.0
1592635365207	0.22076324	24884927581.0
1592635365188	0.220905	24884927581.0
1592635364115	0.2459794	24884927564.0
1592635365071	0.25880295	24884927579.0
1592635365146	0.2589094	24884927580.0
1592635365618	0.2592879	24884927587.0
1592635365697	0.25931484	24884927589.0
1592635365212	0.27209288	24884927581.0
1592635365193	0.27229843	24884927581.0
1592635364190	0.29791808	24884927565.0
1592635365026	0.31022075	24884927578.0
1592635365217	0.32264733	24884927581.0
1592635365198	0.32289594	24884927581.0
1592635365691	0.32293528	24884927588.0
1592635365404	0.34854645	24884927584.0
1592635364913	0.35995823	24884927576.0
1592635364044	0.36064088	24884927563.0
1592635365184	0.37296444	24884927581.0
1592635364985	0.41054067	24884927577.0
1592635365208	0.42360634	24884927581.0
1592635365189	0.4237545	24884927581.0
1592635364116	0.44970536	24884927564.0
1592635365072	0.46223083	24884927579.0
1592635365147	0.46233347	24884927580.0
1592635365619	0.46269152	24884927587.0
1592635365698	0.46271846	24884927589.0
1592635365213	0.47536185	24884927581.0
1592635365194	0.4755642	24884927581.0
1592635364191	0.500957	24884927565.0
1592635365027	0.51318556	24884927578.0
1592635365218	0.526374	24884927581.0
1592635365199	0.52661943	24884927581.0
1592635365692	0.52666557	24884927588.0
1592635365405	0.5517744	24884927584.0
1592635364914	0.563704	24884927576.0
1592635364045	0.5643532	24884927563.0
1592635365185	0.5769115	24884927581.0
1592635364986	0.61456245	24884927577.0
1592635365209	0.6275271	24884927581.0
1592635365190	0.62766504	24884927581.0
1592635363295	0.6277694	24884927551.0
1592635363499	0.62777025	24884927554.0
1592635363320	0.6278029	24884927551.0
1592635363321	0.6278132	24884927551.0
1592635365774	0.6278149	24884927590.0
1592635363501	0.6278162	24884927554.0
1592635363322	0.6278257	24884927551.0
1592635363500	0.62782663	24884927554.0
1592635365833	0.6278288	24884927591.0
