	line_AVF	page
1964810344939	0.034143973	30700161639.0
1964810344940	0.034163997	30700161639.0
1964810344941	0.034206204	30700161639.0
1964810345849	0.034829486	30700161653.0
1964810345841	0.03484879	30700161653.0
1964810345842	0.03485579	30700161653.0
1964810345843	0.034856316	30700161653.0
1964810345844	0.034856837	30700161653.0
1964810345845	0.034857363	30700161653.0
1964810345846	0.034857884	30700161653.0
1964810345847	0.03485841	30700161653.0
1964810345848	0.03485893	30700161653.0
1592635384120	0.034873392	24884927876.0
1592635384121	0.034899306	24884927876.0
1592635384772	0.03514286	24884927887.0
1592635384122	0.0351939	24884927876.0
1592635388118	0.035307173	24884927939.0
1964810345931	0.035322417	30700161655.0
1964810346002	0.03541684	30700161656.0
1964810345850	0.03542581	30700161653.0
1964810345851	0.035427116	30700161653.0
1964810345853	0.035428096	30700161653.0
1964810345855	0.03542908	30700161653.0
1964810345986	0.035430454	30700161656.0
1964810345987	0.035431042	30700161656.0
1964810345989	0.035432022	30700161656.0
1964810345991	0.035433006	30700161656.0
1964810345852	0.035434052	30700161653.0
1964810345854	0.035435032	30700161653.0
1964810345984	0.035436016	30700161656.0
1964810345985	0.035436604	30700161656.0
1964810345994	0.03543713	30700161656.0
1964810345995	0.03543765	30700161656.0
1964810345988	0.035438176	30700161656.0
1964810345997	0.035438698	30700161656.0
1964810345990	0.035439223	30700161656.0
1964810345999	0.035439745	30700161656.0
1964810345992	0.03544027	30700161656.0
1964810345993	0.03544079	30700161656.0
1964810345996	0.03544151	30700161656.0
1964810345998	0.035442557	30700161656.0
1964810346000	0.035443608	30700161656.0
1964810346001	0.03544413	30700161656.0
1592635384125	0.03547567	24884927876.0
1592635384126	0.035492226	24884927876.0
1964810344942	0.035778377	30700161639.0
1964810344943	0.03582569	30700161639.0
1964810346011	0.0363925	30700161656.0
1964810346012	0.03639348	30700161656.0
1964810346003	0.03641612	30700161656.0
1964810346004	0.036416646	30700161656.0
1964810346008	0.036418412	30700161656.0
1964810346009	0.036418933	30700161656.0
1964810346010	0.03641946	30700161656.0
1964810346005	0.036423188	30700161656.0
1964810346006	0.036423713	30700161656.0
1964810346007	0.036424693	30700161656.0
1964810345925	0.036682643	30700161655.0
1964810345926	0.036690954	30700161655.0
1592635384119	0.036732767	24884927876.0
1964810345942	0.036847934	30700161655.0
1964810345943	0.03686279	30700161655.0
1592635365862	0.036865473	24884927591.0
1964810346036	0.03693837	30700161656.0
1964810346013	0.036955774	30700161656.0
1964810346015	0.0369563	30700161656.0
1964810346016	0.03695682	30700161656.0
1964810346017	0.036957346	30700161656.0
1964810346018	0.036957867	30700161656.0
1964810346019	0.036958393	30700161656.0
1964810346020	0.036958914	30700161656.0
1964810346021	0.03695944	30700161656.0
1964810346023	0.036960095	30700161656.0
1964810346024	0.036960617	30700161656.0
1964810346025	0.036961142	30700161656.0
1964810346026	0.036961664	30700161656.0
1964810346027	0.03696219	30700161656.0
1964810346028	0.03696271	30700161656.0
1964810346014	0.036963236	30700161656.0
1964810346029	0.036963757	30700161656.0
1964810346031	0.036964413	30700161656.0
1964810346032	0.036964934	30700161656.0
1964810346033	0.03696546	30700161656.0
1964810346034	0.03696598	30700161656.0
1964810346035	0.036966506	30700161656.0
1964810346022	0.03696703	30700161656.0
1964810346030	0.036970366	30700161656.0
1592635384124	0.037001252	24884927876.0
1964810344944	0.03731646	30700161639.0
1964810344945	0.0373374	30700161639.0
1964810344946	0.03737692	30700161639.0
1592635370447	0.03771222	24884927663.0
1964810346046	0.037939284	30700161656.0
1964810346045	0.037940722	30700161656.0
1964810346037	0.037963036	30700161656.0
1964810346038	0.03796356	30700161656.0
1964810346043	0.037966114	30700161656.0
1964810346039	0.037970692	30700161656.0
1964810346040	0.037971217	30700161656.0
1964810346041	0.03797174	30700161656.0
1964810346042	0.037972264	30700161656.0
1964810346044	0.037972916	30700161656.0
1964810345935	0.03823715	30700161655.0
1592635384123	0.038292117	24884927876.0
1964810345929	0.03839073	30700161655.0
1964810345930	0.03839904	30700161655.0
1964810346070	0.038488884	30700161657.0
1964810346071	0.038489405	30700161657.0
1964810346047	0.03850531	30700161656.0
1964810346048	0.038505964	30700161657.0
1964810346049	0.038506486	30700161657.0
1964810346050	0.03850701	30700161657.0
1964810346052	0.038507793	30700161657.0
