	line_AVF	page
2182056914802	0.036056045	34094639293.0
3020838048259	0.036136985	47200594504.0
3020838048260	0.03613772	47200594504.0
2182056914678	0.03683681	34094639291.0
3020838048363	0.037008066	47200594505.0
3020838048407	0.037883654	47200594506.0
1592635363426	0.037929088	24884927553.0
1592635363424	0.038013335	24884927553.0
1592635363425	0.038014073	24884927553.0
1592635363423	0.038014807	24884927553.0
1592635363422	0.03811782	24884927553.0
1592635363421	0.038181096	24884927553.0
1592635363418	0.038203813	24884927553.0
1592635363417	0.038205195	24884927553.0
1592635363419	0.038212553	24884927553.0
3020838048487	0.038319148	47200594507.0
3020838048488	0.038319886	47200594507.0
3020838048542	0.038541634	47200594508.0
3020838048636	0.039051812	47200594509.0
3020838048682	0.03953872	47200594510.0
3020838048683	0.039539456	47200594510.0
2182056915326	0.03966868	34094639301.0
1592635363441	0.039833955	24884927553.0
1592635363442	0.039842322	24884927553.0
1592635363440	0.039843243	24884927553.0
1592635363439	0.039854374	24884927553.0
1592635363434	0.03996658	24884927553.0
1592635363436	0.039971825	24884927553.0
1592635363435	0.03997256	24884927553.0
1592635363437	0.039988745	24884927553.0
3020838048766	0.040080905	47200594511.0
3020838048799	0.04025216	47200594512.0
3020838048800	0.040252894	47200594512.0
2182056914711	0.040348273	34094639292.0
2182056914719	0.040352963	34094639292.0
3020838048880	0.04069878	47200594513.0
3020838048881	0.040708072	47200594513.0
2182056915376	0.04090609	34094639302.0
2182056914822	0.041328985	34094639294.0
3020838048943	0.04151799	47200594514.0
3020838048942	0.041548066	47200594514.0
2182056914918	0.041712146	34094639295.0
3020838048965	0.041887816	47200594515.0
3020838048966	0.041888554	47200594515.0
3020838049054	0.04225737	47200594516.0
3020838049055	0.042258102	47200594516.0
3020838049145	0.04250165	47200594517.0
3020838049146	0.042510938	47200594517.0
3020838049165	0.042872395	47200594518.0
3020838049166	0.04287313	47200594518.0
3020838049267	0.043394715	47200594519.0
3020838049268	0.04339545	47200594519.0
3020838049338	0.04355199	47200594520.0
3020838049374	0.043803718	47200594521.0
3020838049375	0.043804456	47200594521.0
3020838049446	0.043947197	47200594522.0
3020838049447	0.043947935	47200594522.0
3020838049508	0.044515226	47200594523.0
3020838049509	0.044526722	47200594523.0
3020838049585	0.0446485	47200594524.0
3020838049584	0.044657603	47200594524.0
3020838049619	0.04478471	47200594525.0
3020838049707	0.044950355	47200594526.0
3020838049760	0.045071118	47200594527.0
3020838049761	0.04507185	47200594527.0
3020838049855	0.045553885	47200594528.0
3020838049856	0.04555462	47200594529.0
3020838049979	0.046020098	47200594530.0
3020838049980	0.046020836	47200594530.0
3020838050041	0.04616468	47200594531.0
3020838050090	0.046302184	47200594532.0
3020838050162	0.046463598	47200594533.0
3020838050163	0.04646433	47200594533.0
3020838050233	0.04658445	47200594534.0
3020838050234	0.046585184	47200594534.0
3020838050255	0.04704855	47200594535.0
3020838050256	0.047049284	47200594535.0
2182056914836	0.047618233	34094639294.0
3020838050351	0.048029356	47200594536.0
1592635363399	0.048089504	24884927553.0
3020838050392	0.04817881	47200594537.0
3020838050474	0.048405617	47200594538.0
3020838050504	0.04853484	47200594539.0
3020838050503	0.04854395	47200594539.0
3020838050619	0.048670042	47200594540.0
3020838050620	0.048679333	47200594540.0
3020838050625	0.048843782	47200594541.0
3020838050728	0.048967484	47200594542.0
3020838050782	0.049386334	47200594543.0
3020838050878	0.04991941	47200594544.0
3020838050931	0.05007319	47200594545.0
3020838050932	0.05007393	47200594545.0
3020838050959	0.050210327	47200594546.0
3020838050960	0.05021106	47200594546.0
3020838051037	0.050355643	47200594547.0
3020838051133	0.05079408	47200594548.0
3020838051145	0.050934434	47200594549.0
3020838051214	0.051073037	47200594550.0
3020838051215	0.051073775	47200594550.0
3020838051299	0.05120465	47200594551.0
3020838051298	0.051213756	47200594551.0
3020838051334	0.051856194	47200594552.0
3020838051403	0.05197815	47200594553.0
3020838051404	0.051978886	47200594553.0
3020838051479	0.052110225	47200594554.0
3020838051480	0.05211096	47200594554.0
3020838051525	0.052277893	47200594555.0
3020838051620	0.052402608	47200594556.0
3020838051674	0.05286266	47200594557.0
3020838051767	0.053709462	47200594558.0
3020838051768	0.053710196	47200594558.0
3020838051805	0.053844847	47200594559.0
3020838051846	0.053987864	47200594560.0
3020838051926	0.054149188	47200594561.0
3020838051927	0.054158475	47200594561.0
3020838052022	0.054277215	47200594562.0
3020838052021	0.05428632	47200594562.0
3020838052043	0.054708663	47200594563.0
3020838052044	0.054709397	47200594563.0
3020838052131	0.055227302	47200594564.0
3020838052132	0.055228036	47200594564.0
