	line_AVF	page
2182056918089	0.03342965	34094639345.0
2182056914530	0.033465803	34094639289.0
2182056917986	0.033701234	34094639343.0
2182056914953	0.03373465	34094639296.0
2182056916737	0.033971522	34094639324.0
2182056917794	0.0339986	34094639340.0
2182056914850	0.03449496	34094639294.0
3365379403718	0.034774683	52584053183.0
2182056917461	0.03494177	34094639335.0
3365379404270	0.035063483	52584053191.0
3365379403291	0.03547111	52584053176.0
3365379403617	0.035640575	52584053181.0
2182056914817	0.03586254	34094639294.0
3365379404329	0.03630085	52584053192.0
2182056914656	0.036723603	34094639291.0
888014467689	0.037632488	13875226057.0
1046780787585	0.03785546	16355949806.0
3365379403910	0.037888303	52584053186.0
3365379403413	0.037993595	52584053178.0
3365379404177	0.03818956	52584053190.0
2182056915131	0.038240623	34094639298.0
3365379403472	0.038481813	52584053179.0
3365379403492	0.03855074	52584053179.0
2182056918232	0.03875981	34094639347.0
2182056915489	0.038807847	34094639304.0
3365379404254	0.038998123	52584053191.0
3365379403355	0.039508596	52584053177.0
3365379404139	0.03954259	52584053189.0
2182056918441	0.039624117	34094639350.0
3365379404288	0.039799914	52584053192.0
3365379403585	0.039870784	52584053181.0
3365379403387	0.040456228	52584053177.0
2182056917047	0.0406496	34094639328.0
2182056916936	0.04068417	34094639327.0
3365379404411	0.040735304	52584053193.0
2182056914931	0.041110095	34094639295.0
3365379404211	0.041293744	52584053190.0
3365379403881	0.04156245	52584053185.0
3365379403737	0.041909367	52584053183.0
3365379403457	0.042239793	52584053179.0
888014467598	0.042546522	13875226056.0
3365379403846	0.04278138	52584053185.0
2182056915955	0.04320975	34094639311.0
2182056918433	0.04326751	34094639350.0
3365379403840	0.043533765	52584053185.0
3365379403383	0.044296164	52584053177.0
888014467714	0.044723887	13875226058.0
2182056914537	0.04479317	34094639289.0
3365379403575	0.04508737	52584053180.0
2182056915629	0.045177538	34094639306.0
3365379403815	0.04550458	52584053184.0
2182056914496	0.046026576	34094639289.0
3365379404328	0.046280373	52584053192.0
3365379403851	0.04657983	52584053185.0
3365379403947	0.046605542	52584053186.0
2182056915191	0.047007628	34094639299.0
3365379404194	0.04719502	52584053190.0
3365379404113	0.047335964	52584053189.0
3365379403392	0.047369957	52584053178.0
2182056914659	0.047659114	34094639291.0
3365379403797	0.047687992	52584053184.0
2182056915120	0.04773027	34094639298.0
3365379404117	0.047901604	52584053189.0
3365379403593	0.048092097	52584053181.0
3365379403796	0.048646573	52584053184.0
3365379404073	0.048722122	52584053188.0
3365379403733	0.048778728	52584053183.0
2182056918104	0.049649518	34094639345.0
3365379404065	0.05029654	52584053188.0
3365379403409	0.050461322	52584053178.0
2182056914826	0.050495964	34094639294.0
3365379403248	0.050658654	52584053175.0
888014467793	0.050811697	13875226059.0
1046780787608	0.051029123	16355949806.0
3365379403626	0.051255696	52584053181.0
3365379404343	0.051340967	52584053192.0
2182056914726	0.05144244	34094639292.0
3365379403552	0.051759906	52584053180.0
3365379403328	0.051859364	52584053177.0
2182056915694	0.051893283	34094639307.0
3365379403286	0.05194377	52584053176.0
2182056918209	0.052316327	34094639347.0
3365379403603	0.05298474	52584053181.0
3365379403836	0.053029824	52584053184.0
2182056914626	0.05393201	34094639291.0
2182056914964	0.05398336	34094639296.0
2182056918168	0.054402586	34094639346.0
3365379403776	0.054985873	52584053184.0
2182056916569	0.055326957	34094639321.0
3365379403399	0.055611145	52584053178.0
2182056918105	0.05564449	34094639345.0
2182056914667	0.055876177	34094639291.0
888014465984	0.05631139	13875226031.0
3365379403333	0.0569371	52584053177.0
3365379404041	0.0571757	52584053188.0
3365379404121	0.057360213	52584053189.0
3365379403847	0.05741329	52584053185.0
3365379403520	0.057694383	52584053180.0
2182056915662	0.057907056	34094639307.0
3365379404166	0.05814508	52584053190.0
2182056915910	0.058334924	34094639311.0
3365379404036	0.05848206	52584053188.0
2182056918064	0.05944165	34094639344.0
3365379404178	0.059991084	52584053190.0
2182056914816	0.060169045	34094639294.0
2182056914835	0.060622983	34094639294.0
3365379404197	0.060869794	52584053190.0
2182056917559	0.06104257	34094639336.0
2182056914514	0.06276059	34094639289.0
3365379404306	0.062968224	52584053192.0
3365379403719	0.06332796	52584053183.0
3365379403602	0.06372674	52584053181.0
3365379403525	0.06380099	52584053180.0
2182056914529	0.06396584	34094639289.0
2182056916869	0.065064356	34094639326.0
2182056914512	0.065596506	34094639289.0
2182056914747	0.065933555	34094639292.0
3365379404168	0.066593185	52584053190.0
2182056914739	0.06677417	34094639292.0
2182056916198	0.06695098	34094639315.0
2182056917284	0.067135565	34094639332.0
3365379404321	0.06733664	52584053192.0
2182056914513	0.06838171	34094639289.0
3365379403369	0.06843602	52584053177.0
888014467648	0.06950169	13875226057.0
3365379403908	0.07014317	52584053186.0
888014467873	0.070791274	13875226060.0
888014467917	0.071104415	13875226061.0
2182056917505	0.07114287	34094639336.0
888014468004	0.071599185	13875226062.0
3365379403861	0.07253306	52584053185.0
2182056914936	0.072567634	34094639295.0
2182056915460	0.07334393	34094639304.0
3365379403827	0.0739571	52584053184.0
888014467972	0.07415516	13875226062.0
888014467524	0.074472904	13875226055.0
3365379403732	0.07527874	52584053183.0
2182056914834	0.07564034	34094639294.0
1592635367143	0.075973436	24884927611.0
888014467050	0.07597401	13875226047.0
3365379402485	0.07599742	52584053163.0
3365379402354	0.07601355	52584053161.0
2182056915937	0.07636327	34094639311.0
3365379404134	0.07645927	52584053189.0
2182056916057	0.07748952	34094639313.0
2182056916880	0.07801461	34094639326.0
2182056914832	0.078511834	34094639294.0
