	line_AVF	page
3365379404797	0.04819018	52584053199.0
3365379404798	0.048731107	52584053199.0
3365379404799	0.049297947	52584053199.0
3365379404800	0.04985811	52584053200.0
3365379404801	0.05042642	52584053200.0
3365379404802	0.05097968	52584053200.0
3365379404803	0.05154516	52584053200.0
3365379404804	0.052131005	52584053200.0
3365379404805	0.052701127	52584053200.0
3365379401979	0.053013284	52584053155.0
3365379404806	0.053319443	52584053200.0
3365379404807	0.05386614	52584053200.0
3365379404808	0.054428793	52584053200.0
3365379404809	0.054958295	52584053200.0
3365379404810	0.05551495	52584053200.0
3365379404811	0.056063235	52584053200.0
3365379404812	0.056615364	52584053200.0
3365379402278	0.056934197	52584053160.0
3365379402279	0.056986693	52584053160.0
3365379402395	0.057036024	52584053162.0
3365379400615	0.05703693	52584053134.0
3365379402314	0.057038512	52584053161.0
3365379402132	0.057063177	52584053158.0
3365379402396	0.057101533	52584053162.0
3365379402201	0.057114318	52584053159.0
3365379402281	0.05712009	52584053160.0
3365379402018	0.057130042	52584053156.0
3365379402282	0.05717032	52584053160.0
3365379402397	0.057179146	52584053162.0
3365379402398	0.057216596	52584053162.0
3365379402283	0.057219084	52584053160.0
3365379402133	0.057220556	52584053158.0
3365379402019	0.057224855	52584053156.0
3365379402202	0.05726389	52584053159.0
3365379402400	0.057273734	52584053162.0
3365379402403	0.05731288	52584053162.0
3365379404813	0.057326116	52584053200.0
3365379404814	0.05788198	52584053200.0
3365379402459	0.058233622	52584053163.0
3365379402170	0.058234755	52584053158.0
3365379402504	0.058238942	52584053164.0
3365379402640	0.058276504	52584053166.0
3365379402639	0.058287706	52584053166.0
3365379400634	0.05828861	52584053134.0
3365379402333	0.058290195	52584053161.0
3365379402239	0.058293477	52584053159.0
3365379404815	0.058485024	52584053200.0
3365379404816	0.059028104	52584053200.0
3365379404817	0.05959743	52584053200.0
3365379404818	0.06013485	52584053200.0
3365379404819	0.060708024	52584053200.0
3365379404820	0.061249632	52584053200.0
3365379404821	0.061816473	52584053200.0
3365379404822	0.062354457	52584053200.0
3365379404823	0.06290693	52584053200.0
3365379404824	0.06344831	52584053200.0
3365379404825	0.06399637	52584053200.0
3365379404826	0.06454103	52584053200.0
3365379404827	0.06507166	52584053200.0
3365379404828	0.0656265	52584053200.0
3365379404829	0.066152275	52584053200.0
3365379404830	0.06671402	52584053200.0
3365379404831	0.06724329	52584053200.0
3365379404832	0.067798816	52584053200.0
3365379404833	0.06833579	52584053200.0
3365379404834	0.068888254	52584053200.0
3365379402727	0.0690427	52584053167.0
3365379402796	0.06909304	52584053168.0
3365379403157	0.06909395	52584053174.0
3365379403105	0.06909485	52584053173.0
3365379403521	0.06917123	52584053180.0
3365379403434	0.06917903	52584053178.0
3365379404835	0.069484964	52584053200.0
3365379403260	0.06965377	52584053175.0
3365379403441	0.06969043	52584053178.0
3365379404836	0.07005508	52584053200.0
3365379404837	0.07061117	52584053200.0
3365379404909	0.07119544	52584053201.0
3365379401287	0.07134093	52584053145.0
3365379404910	0.07174836	52584053201.0
3365379404911	0.07230151	52584053201.0
3365379404912	0.07285352	52584053201.0
3365379404913	0.0733923	52584053201.0
3365379404914	0.07396706	52584053201.0
3365379404915	0.07449848	52584053201.0
3365379404916	0.075058535	52584053201.0
3365379404917	0.07559573	52584053201.0
3365379404918	0.07614865	52584053201.0
3365379404919	0.076685846	52584053201.0
3365379404920	0.07723775	52584053201.0
3365379404921	0.077780604	52584053201.0
3365379404922	0.078322664	52584053201.0
3365379404923	0.07887332	52584053201.0
3365379404924	0.07940101	52584053201.0
3365379404925	0.079961516	52584053201.0
3365379404926	0.0804909	52584053201.0
3365379404927	0.081049934	52584053201.0
3365379404928	0.08159335	52584053202.0
3365379404929	0.08214797	52584053202.0
3365379404930	0.08268675	52584053202.0
3365379404931	0.083242044	52584053202.0
3365379404932	0.08378671	52584053202.0
3365379404933	0.084332615	52584053202.0
3365379404934	0.08488746	52584053202.0
3365379404935	0.08541572	52584053202.0
3365379404936	0.08597713	52584053202.0
3365379404937	0.08650742	52584053202.0
3365379404938	0.08706769	52584053202.0
3365379404939	0.08759901	52584053202.0
3365379404940	0.088151366	52584053202.0
3365379404941	0.08868856	52584053202.0
3365379404942	0.089244425	52584053202.0
3365379404943	0.08978739	52584053202.0
3365379404944	0.0903325	52584053202.0
3365379404945	0.090882935	52584053202.0
3365379404946	0.09141221	52584053202.0
3365379404947	0.091970675	52584053202.0
3365379404948	0.09250165	52584053202.0
3365379404949	0.09306532	52584053202.0
3365379404950	0.09359663	52584053202.0
3365379404951	0.094148986	52584053202.0
3365379404952	0.09468629	52584053202.0
3365379404953	0.095239215	52584053202.0
3365379404954	0.095778674	52584053202.0
3365379404955	0.09632289	52584053202.0
3365379404956	0.09687422	52584053202.0
3365379404957	0.097400665	52584053202.0
3365379404958	0.09796015	52584053202.0
3365379404959	0.0984892	52584053202.0
3365379404960	0.09904948	52584053202.0
3365379404961	0.09958079	52584053202.0
3365379404962	0.10013314	52584053202.0
3365379404963	0.10067306	52584053202.0
3365379404964	0.10122586	52584053202.0
3365379404965	0.10176736	52584053202.0
3365379403915	0.10222558	52584053186.0
3365379403992	0.10225726	52584053187.0
3365379405037	0.10229256	52584053203.0
3365379404252	0.1023067	52584053191.0
3365379405038	0.10267464	52584053203.0
3365379405039	0.10320482	52584053203.0
3365379405040	0.103773125	52584053203.0
3365379405041	0.10430263	52584053203.0
3365379405042	0.10486144	52584053203.0
3365379405043	0.10540836	52584053203.0
3365379405044	0.105977006	52584053203.0
3365379405045	0.10651432	52584053203.0
3365379405046	0.10706599	52584053203.0
3365379405047	0.10761111	52584053203.0
3365379405048	0.10815577	52584053203.0
3365379405049	0.10870304	52584053203.0
3365379405050	0.10923129	52584053203.0
3365379405051	0.10978557	52584053203.0
3365379405052	0.11031258	52584053203.0
3365379405053	0.11086799	52584053203.0
3365379405054	0.111395575	52584053203.0
3365379405055	0.11194544	52584053203.0
3365379405056	0.112492934	52584053204.0
3365379405057	0.11304597	52584053204.0
3365379405058	0.113585874	52584053204.0
3365379405059	0.11413065	52584053204.0
3365379405060	0.1146812	52584053204.0
3365379405061	0.11521263	52584053204.0
3365379405062	0.115766905	52584053204.0
3365379405063	0.11629708	52584053204.0
3365379405064	0.11685996	52584053204.0
3365379401937	0.11727372	52584053155.0
3365379405065	0.11742522	52584053204.0
3365379405066	0.117975876	52584053204.0
3365379405067	0.11851567	52584053204.0
3365379405068	0.11906757	52584053204.0
3365379405069	0.119609974	52584053204.0
3365379405070	0.12015498	52584053204.0
3365379405071	0.12070371	52584053204.0
3365379405072	0.121233895	52584053204.0
3365379405073	0.121794395	52584053204.0
3365379405074	0.12233499	52584053204.0
3365379405075	0.12289221	52584053204.0
3365379405076	0.12342465	52584053204.0
3365379405077	0.12397576	52584053204.0
3365379405078	0.12451307	52584053204.0
3365379405079	0.12506497	52584053204.0
3365379405080	0.12560555	52584053204.0
3365379405081	0.12615147	52584053204.0
3365379405082	0.12670031	52584053204.0
3365379405083	0.12723151	52584053204.0
3365379405084	0.1277884	52584053204.0
3365379405085	0.12831801	52584053204.0
3365379405086	0.12887771	52584053204.0
3365379405087	0.129407	52584053204.0
3365379405088	0.12995811	52584053204.0
3365379405089	0.1304961	52584053204.0
3365379405090	0.131048	52584053204.0
3365379405091	0.13158916	52584053204.0
3365379405092	0.13213506	52584053204.0
3365379405093	0.1326839	52584053204.0
3365379405094	0.13321477	52584053204.0
3365379405095	0.13377346	52584053204.0
3365379405096	0.13430047	52584053204.0
3365379405167	0.1347716	52584053205.0
3365379405168	0.13519973	52584053205.0
3365379405169	0.13575603	52584053205.0
3365379405170	0.13628395	52584053205.0
3365379405171	0.13684049	52584053205.0
3365379405172	0.13737361	52584053205.0
3365379405173	0.1379305	52584053205.0
3365379405174	0.13847551	52584053205.0
3365379405175	0.13902265	52584053205.0
3365379405176	0.1395706	52584053205.0
3365379405177	0.14011265	52584053205.0
3365379405178	0.14066388	52584053205.0
3365379405179	0.14119078	52584053205.0
3365379405180	0.14174834	52584053205.0
3365379405181	0.14227694	52584053205.0
3365379405182	0.14283608	52584053205.0
3365379405183	0.14336774	52584053205.0
3365379405184	0.1439331	52584053206.0
3365379405185	0.14447334	52584053206.0
3365379405186	0.14502208	52584053206.0
3365379405187	0.14556833	52584053206.0
3365379405188	0.14611039	52584053206.0
3365379405189	0.1466632	52584053206.0
3365379405190	0.14719225	52584053206.0
3365379405191	0.14775105	52584053206.0
3365379405192	0.14828293	52584053206.0
3365379405193	0.14884026	52584053206.0
3365379405194	0.1493717	52584053206.0
3365379401989	0.14942883	52584053156.0
3365379402054	0.14948246	52584053157.0
3365379401938	0.1495337	52584053155.0
3365379401939	0.14953461	52584053155.0
3365379402055	0.14958225	52584053157.0
3365379400601	0.14958315	52584053134.0
3365379401968	0.14958474	52584053155.0
3365379401212	0.14958565	52584053143.0
3365379401969	0.14960024	52584053155.0
3365379401999	0.14960408	52584053156.0
3365379402113	0.149606	52584053158.0
3365379402085	0.14964266	52584053157.0
3365379402305	0.14964628	52584053161.0
3365379400606	0.14965409	52584053134.0
3365379402182	0.14967118	52584053159.0
3365379402115	0.14968702	52584053158.0
3365379402091	0.1497239	52584053157.0
3365379402184	0.14972538	52584053159.0
3365379405195	0.1500967	52584053206.0
3365379405196	0.15064725	52584053206.0
3365379405197	0.15120865	52584053206.0
3365379405198	0.15176475	52584053206.0
3365379405199	0.15231925	52584053206.0
3365379405200	0.15288348	52584053206.0
3365379405201	0.15342227	52584053206.0
3365379405202	0.15399113	52584053206.0
3365379405203	0.1545255	52584053206.0
3365379402295	0.15502582	52584053160.0
3365379402023	0.15507323	52584053156.0
3365379405258	0.15512516	52584053207.0
3365379402412	0.15513454	52584053162.0
3365379405204	0.15515164	52584053206.0
3365379402143	0.15516566	52584053158.0
3365379402029	0.15517709	52584053156.0
3365379402319	0.15521838	52584053161.0
3365379400620	0.15522721	52584053134.0
3365379402430	0.15522811	52584053162.0
3365379402212	0.15524429	52584053159.0
3365379402460	0.15559265	52584053163.0
3365379402466	0.15564369	52584053163.0
3365379402506	0.15564945	52584053164.0
3365379405205	0.15579835	52584053206.0
3365379405206	0.15636428	52584053206.0
3365379405207	0.15691528	52584053206.0
3365379405208	0.15746593	52584053206.0
3365379405209	0.15801218	52584053206.0
3365379405210	0.15856555	52584053206.0
3365379405211	0.15911655	52584053206.0
3365379405212	0.15965477	52584053206.0
3365379405213	0.16021232	52584053206.0
3365379405214	0.16074105	52584053206.0
3365379405215	0.16130267	52584053206.0
3365379405216	0.16183433	52584053206.0
3365379405217	0.16238736	52584053206.0
3365379405218	0.1629267	52584053206.0
