	line_AVF	page
3365379400728	0.14864235	52584053136.0
3365379400727	0.26269516	52584053136.0
3365379400726	0.2627262	52584053136.0
3365379400725	0.26276088	52584053136.0
3365379400724	0.26276192	52584053136.0
3365379400739	0.26368418	52584053136.0
3365379400740	0.26370037	52584053136.0
3365379400754	0.2637349	52584053136.0
3365379400753	0.26373595	52584053136.0
3365379400752	0.2637658	52584053136.0
3365379400751	0.2637992	52584053136.0
3365379400750	0.26386267	52584053136.0
1592635363359	0.38850024	24884927552.0
1592635363358	0.38850248	24884927552.0
1592635363355	0.38850352	24884927552.0
1592635363356	0.38850456	24884927552.0
1592635363353	0.3885056	24884927552.0
1592635363352	0.38850665	24884927552.0
1592635363349	0.3885077	24884927552.0
1592635363346	0.38850874	24884927552.0
1592635363351	0.38850978	24884927552.0
1592635363348	0.3885112	24884927552.0
1592635363345	0.38851225	24884927552.0
1592635363343	0.38851643	24884927552.0
1592635363344	0.38852644	24884927552.0
1592635363347	0.38853246	24884927552.0
1592635363350	0.3885335	24884927552.0
1592635363354	0.38853455	24884927552.0
1592635363342	0.3886532	24884927552.0
1592635363341	0.38865462	24884927552.0
1592635363338	0.38866884	24884927552.0
1592635363336	0.38867012	24884927552.0
1592635363335	0.38867116	24884927552.0
1592635363333	0.3886722	24884927552.0
1592635363334	0.38867325	24884927552.0
1592635363332	0.3886743	24884927552.0
1592635363331	0.38867533	24884927552.0
1592635363329	0.38867638	24884927552.0
1592635363337	0.38868302	24884927552.0
3365379400895	0.38869086	52584053138.0
1592635363330	0.38869283	24884927552.0
3365379400894	0.38869387	52584053138.0
1592635363339	0.3886949	24884927552.0
3365379400893	0.3887142	52584053138.0
1592635363328	0.3887155	24884927552.0
3365379400887	0.48265523	52584053138.0
3365379400886	0.48265627	52584053138.0
3365379400877	0.4826573	52584053138.0
3365379400878	0.48266292	52584053138.0
3365379400892	0.48266488	52584053138.0
3365379400888	0.4826675	52584053138.0
3365379400889	0.48266855	52584053138.0
3365379400883	0.4826696	52584053138.0
3365379400884	0.48267153	52584053138.0
3365379400880	0.48267415	52584053138.0
3365379400881	0.4826752	52584053138.0
3365379400876	0.48269004	52584053138.0
3365379400879	0.48269212	52584053138.0
3365379400885	0.4826937	52584053138.0
3365379400882	0.48270178	52584053138.0
