	line_AVF	page
1046780790603	0.026606856	16355949853.0
1046780790604	0.026608095	16355949853.0
1046780790605	0.026625631	16355949853.0
1046780790606	0.026644796	16355949853.0
1046780790607	0.026645644	16355949853.0
1046780790608	0.02666305	16355949853.0
1046780790609	0.026681889	16355949853.0
1046780790610	0.026683258	16355949853.0
1046780790611	0.026694536	16355949853.0
1046780790612	0.026706466	16355949853.0
1046780790613	0.02670764	16355949853.0
1046780790614	0.026718201	16355949853.0
1046780790615	0.02672837	16355949853.0
1046780790616	0.02673228	16355949853.0
1046780790617	0.026739648	16355949853.0
1046780790618	0.02674356	16355949853.0
1046780790619	0.026755163	16355949853.0
1046780790620	0.0267579	16355949853.0
1046780790621	0.02676644	16355949853.0
1046780790622	0.02677824	16355949853.0
1046780790623	0.026780521	16355949853.0
1046780790624	0.026789844	16355949853.0
1046780790625	0.026801512	16355949853.0
1046780790626	0.026803989	16355949853.0
1046780790627	0.026813181	16355949853.0
1046780790628	0.026825046	16355949853.0
1046780790629	0.026827198	16355949853.0
1046780790630	0.026836779	16355949853.0
1046780790631	0.02684884	16355949853.0
1046780790632	0.026850274	16355949853.0
1046780790633	0.0268609	16355949853.0
1046780790634	0.026873155	16355949853.0
1046780790635	0.026874524	16355949853.0
1046780790636	0.02688489	16355949853.0
1046780790637	0.026897145	16355949853.0
1046780790638	0.026898514	16355949853.0
1046780790639	0.0269094	16355949853.0
1046780790640	0.026921982	16355949853.0
1046780790641	0.02692283	16355949853.0
1046780790642	0.026933717	16355949853.0
1046780790643	0.026946038	16355949853.0
1046780790644	0.0269476	16355949853.0
1046780790645	0.026958684	16355949853.0
1046780790646	0.026970483	16355949853.0
1046780790647	0.026971657	16355949853.0
1046780790648	0.026982218	16355949853.0
1046780790649	0.026994212	16355949853.0
1046780790650	0.026996363	16355949853.0
1046780790651	0.027006859	16355949853.0
1046780790652	0.027008032	16355949853.0
1046780790653	0.027020615	16355949853.0
1046780790654	0.027023353	16355949853.0
1046780790655	0.027031891	16355949853.0
1046780790656	0.027050862	16355949854.0
1046780790657	0.02705347	16355949854.0
1046780790658	0.027062269	16355949854.0
1046780790659	0.027073808	16355949854.0
1046780790660	0.02707622	16355949854.0
1046780790661	0.027085217	16355949854.0
1046780790662	0.027097082	16355949854.0
1046780790663	0.027099168	16355949854.0
1046780790664	0.027108815	16355949854.0
1046780790665	0.02712081	16355949854.0
1046780790666	0.02712231	16355949854.0
1046780790667	0.027132936	16355949854.0
1046780790668	0.027145386	16355949854.0
1046780790669	0.02714682	16355949854.0
1046780790670	0.02715712	16355949854.0
1046780790671	0.027169246	16355949854.0
1046780790672	0.02717081	16355949854.0
1046780790673	0.0271815	16355949854.0
1046780790674	0.027194148	16355949854.0
1046780790675	0.027195126	16355949854.0
1046780790676	0.027205948	16355949854.0
1046780790677	0.027218333	16355949854.0
1046780790678	0.027219832	16355949854.0
1046780790679	0.027230784	16355949854.0
1046780790680	0.027243366	16355949854.0
1046780790681	0.027243888	16355949854.0
1046780790682	0.0272551	16355949854.0
1046780790683	0.02726703	16355949854.0
1046780790684	0.02726918	16355949854.0
1046780790685	0.027279677	16355949854.0
1046780790686	0.027280916	16355949854.0
1046780790687	0.027293365	16355949854.0
1046780790688	0.027296104	16355949854.0
1046780790689	0.027304513	16355949854.0
1046780790690	0.027316965	16355949854.0
1046780790691	0.027319834	16355949854.0
1046780790692	0.027328178	16355949854.0
1046780790693	0.02733965	16355949854.0
1046780790694	0.027342454	16355949854.0
1046780790695	0.027350994	16355949854.0
1046780790696	0.027363054	16355949854.0
1046780790697	0.027364945	16355949854.0
1046780790698	0.027374722	16355949854.0
1046780790699	0.027386392	16355949854.0
1046780790700	0.027388804	16355949854.0
1046780790701	0.027398257	16355949854.0
1046780790702	0.027410446	16355949854.0
1046780790703	0.027411945	16355949854.0
1046780790704	0.02742218	16355949854.0
1046780790705	0.027434437	16355949854.0
1046780790706	0.027436001	16355949854.0
1046780790707	0.02744656	16355949854.0
1046780790708	0.027458947	16355949854.0
1046780790709	0.02746012	16355949854.0
1046780790710	0.027470682	16355949854.0
1046780790711	0.027483067	16355949854.0
1046780790712	0.027484566	16355949854.0
1046780790713	0.027495388	16355949854.0
1046780790714	0.027507905	16355949854.0
1046780790715	0.027508426	16355949854.0
1046780790716	0.027519638	16355949854.0
1046780790717	0.027531438	16355949854.0
1046780790718	0.027533785	16355949854.0
1046780790719	0.027543759	16355949854.0
1046780790720	0.027562337	16355949855.0
1046780790721	0.02756351	16355949855.0
1046780790722	0.027574072	16355949855.0
1046780790723	0.027576223	16355949855.0
1046780790724	0.027588675	16355949855.0
1046780790725	0.027591543	16355949855.0
1046780790726	0.027599886	16355949855.0
1046780790727	0.027611686	16355949855.0
1046780790728	0.027614098	16355949855.0
1046780790729	0.027623095	16355949855.0
1046780790730	0.027634958	16355949855.0
1046780790731	0.027637305	16355949855.0
1046780790732	0.027646301	16355949855.0
1046780790733	0.027657906	16355949855.0
1046780790734	0.027660187	16355949855.0
1046780790735	0.027669836	16355949855.0
1046780790736	0.02768196	16355949855.0
1046780790737	0.02768346	16355949855.0
1046780790738	0.027693694	16355949855.0
1046780790739	0.02770582	16355949855.0
1046780790740	0.027707385	16355949855.0
1046780790741	0.027717879	16355949855.0
1046780790742	0.0277302	16355949855.0
1046780790743	0.027731635	16355949855.0
1046780790744	0.027741935	16355949855.0
1046780790745	0.02775419	16355949855.0
1046780790746	0.027755624	16355949855.0
1046780790747	0.02776651	16355949855.0
1046780790748	0.027779028	16355949855.0
1046780790749	0.02777955	16355949855.0
1046780790750	0.02779076	16355949855.0
1046780790751	0.027802952	16355949855.0
1046780790752	0.027804581	16355949855.0
1046780790753	0.027815469	16355949855.0
1046780790754	0.027827462	16355949855.0
1046780790755	0.027828636	16355949855.0
1046780790756	0.027839197	16355949855.0
1046780790757	0.027841348	16355949855.0
1046780790758	0.027853865	16355949855.0
1046780790759	0.027856734	16355949855.0
1046780790760	0.027865207	16355949855.0
1046780790761	0.027876746	16355949855.0
1046780790762	0.027879419	16355949855.0
1046780790763	0.027888155	16355949855.0
1046780790764	0.027899954	16355949855.0
1046780790765	0.0279023	16355949855.0
1046780790766	0.027911426	16355949855.0
1046780790767	0.02792303	16355949855.0
1046780790768	0.027925769	16355949855.0
1046780790769	0.02793457	16355949855.0
1046780790770	0.02794689	16355949855.0
1046780790771	0.02794852	16355949855.0
1046780790772	0.027958624	16355949855.0
1046780790773	0.02797075	16355949855.0
1046780790774	0.027972184	16355949855.0
1046780790775	0.027982874	16355949855.0
1046780790776	0.027995195	16355949855.0
1046780790777	0.027996564	16355949855.0
1046780790778	0.02800693	16355949855.0
1046780790779	0.028019054	16355949855.0
1046780790780	0.028020293	16355949855.0
1046780790781	0.02803131	16355949855.0
1046780790782	0.028043957	16355949855.0
1046780790783	0.028044805	16355949855.0
1046780790784	0.02806938	16355949856.0
1046780790785	0.028088221	16355949856.0
1046780790786	0.02808959	16355949856.0
1046780790787	0.028107386	16355949856.0
1046780790788	0.028125836	16355949856.0
1046780790789	0.028127009	16355949856.0
1046780790790	0.028144088	16355949856.0
1046780790792	0.02815817	16355949856.0
1046780790791	0.028160777	16355949856.0
1046780790793	0.028173488	16355949856.0
1046780790794	0.028175248	16355949856.0
1046780790795	0.028187113	16355949856.0
1046780790796	0.028189851	16355949856.0
1046780790797	0.028198391	16355949856.0
1046780790798	0.02821019	16355949856.0
1046780790799	0.028212471	16355949856.0
1046780790800	0.028221793	16355949856.0
1046780790801	0.028233463	16355949856.0
1046780790802	0.02823594	16355949856.0
1046780790803	0.02824513	16355949856.0
1046780790804	0.028256996	16355949856.0
1046780790805	0.028259147	16355949856.0
1046780790806	0.02826873	16355949856.0
1046780790807	0.028280856	16355949856.0
1046780790808	0.028282419	16355949856.0
1046780790809	0.028292915	16355949856.0
1046780790810	0.028305171	16355949856.0
1046780790811	0.02830654	16355949856.0
1046780790812	0.028316906	16355949856.0
1046780790813	0.02832916	16355949856.0
1046780790814	0.02833053	16355949856.0
1046780790815	0.028341416	16355949856.0
1046780790816	0.028353998	16355949856.0
1046780790817	0.028354846	16355949856.0
1046780790818	0.028365731	16355949856.0
1046780790819	0.028378118	16355949856.0
1046780790820	0.028379682	16355949856.0
1046780790821	0.028390765	16355949856.0
1046780790822	0.028402563	16355949856.0
1046780790823	0.028403737	16355949856.0
1046780790824	0.028414298	16355949856.0
1046780790825	0.028426293	16355949856.0
1046780790826	0.028428445	16355949856.0
1046780790827	0.028438939	16355949856.0
1046780790828	0.028440112	16355949856.0
1046780790829	0.028452694	16355949856.0
1046780790830	0.028455433	16355949856.0
1046780790831	0.028463973	16355949856.0
1046780790832	0.028476162	16355949856.0
1046780790833	0.02847903	16355949856.0
1046780790834	0.028487375	16355949856.0
1046780790835	0.028498914	16355949856.0
1046780790836	0.028501326	16355949856.0
1046780790837	0.028510323	16355949856.0
1046780790838	0.028522186	16355949856.0
1046780790839	0.028524272	16355949856.0
1046780790840	0.02853392	16355949856.0
1046780790841	0.028545916	16355949856.0
1046780790842	0.028547416	16355949856.0
1046780790843	0.028557975	16355949856.0
1046780790844	0.028570427	16355949856.0
1046780790845	0.02857186	16355949856.0
1046780790846	0.028582161	16355949856.0
1046780790847	0.028594285	16355949856.0
1046780790848	0.02860276	16355949857.0
1046780790849	0.028606346	16355949857.0
1046780790850	0.028618993	16355949857.0
1046780790851	0.028619971	16355949857.0
1046780790852	0.028630726	16355949857.0
1046780790853	0.028643113	16355949857.0
1046780790854	0.028644612	16355949857.0
1046780790855	0.028655564	16355949857.0
1046780790856	0.028668145	16355949857.0
1046780790857	0.028668666	16355949857.0
1046780790858	0.02867988	16355949857.0
1046780790859	0.02869181	16355949857.0
1046780790860	0.028693961	16355949857.0
1046780790861	0.028704455	16355949857.0
1046780790862	0.028705629	16355949857.0
1046780790863	0.028718146	16355949857.0
1046780790864	0.028720884	16355949857.0
1046780790865	0.028729359	16355949857.0
1046780790866	0.028741809	16355949857.0
1046780790867	0.028744677	16355949857.0
1046780790868	0.028753022	16355949857.0
1046780790869	0.028764496	16355949857.0
1046780790870	0.028767299	16355949857.0
1046780790871	0.02877584	16355949857.0
1046780790872	0.028787898	16355949857.0
1046780790873	0.028789788	16355949857.0
1046780790874	0.028799633	16355949857.0
1046780790875	0.028811302	16355949857.0
1046780790876	0.028813714	16355949857.0
1046780790877	0.028823165	16355949857.0
1046780790878	0.028835356	16355949857.0
1046780790879	0.028836856	16355949857.0
1046780790880	0.02884709	16355949857.0
1046780790881	0.028859345	16355949857.0
1046780790882	0.02886091	16355949857.0
1046780790883	0.028871601	16355949857.0
1046780790884	0.028883988	16355949857.0
1046780790885	0.028885162	16355949857.0
1046780790886	0.02889572	16355949857.0
1046780790887	0.028908042	16355949857.0
1046780790888	0.028909542	16355949857.0
