	line_AVF	page
829108540969	0.03137402	12954820952.0
829108541039	0.03141966	12954820953.0
829108541083	0.031458605	12954820954.0
2182056915362	0.031536307	34094639302.0
829108541121	0.031561673	12954820955.0
1592635364237	0.031570915	24884927566.0
829108541041	0.031589396	12954820953.0
829108541093	0.0316142	12954820954.0
829108541081	0.03163098	12954820954.0
829108541078	0.03165635	12954820954.0
829108541238	0.03166116	12954820956.0
829108541262	0.03169558	12954820957.0
829108541361	0.03169718	12954820958.0
829108541416	0.031731788	12954820959.0
888014479129	0.0321252	13875226236.0
829108541489	0.03289477	12954820960.0
888014479130	0.032918155	13875226236.0
1592635364269	0.03296785	24884927566.0
829108541551	0.032969456	12954820961.0
888014471526	0.032991048	13875226117.0
2182056914530	0.03308893	34094639289.0
829108541596	0.033090536	12954820962.0
829108541662	0.033313457	12954820963.0
829108541719	0.03344255	12954820964.0
888014470485	0.033451885	13875226101.0
1046780792889	0.033579566	16355949888.0
829108541813	0.033580415	12954820965.0
888014481309	0.03367679	13875226270.0
829108539644	0.03372007	12954820931.0
829108541825	0.033757225	12954820966.0
829108541918	0.03384096	12954820967.0
2182056914500	0.03384879	34094639289.0
888014479131	0.033891033	13875226236.0
2182056917572	0.033966094	34094639337.0
829108541960	0.03396685	12954820968.0
2182056916300	0.034062374	34094639317.0
2182056916248	0.034063127	34094639316.0
1046780789948	0.034097925	16355949842.0
1046780792871	0.034170628	16355949888.0
829108542039	0.034184866	12954820969.0
1046780788564	0.034224942	16355949821.0
829108542134	0.034310944	12954820970.0
1046780793012	0.034320183	16355949890.0
3365379400823	0.034417596	52584053137.0
2182056916843	0.03441835	34094639325.0
1046780792697	0.034522362	16355949885.0
829108542195	0.034523115	12954820971.0
829108542267	0.034593463	12954820972.0
829108542327	0.03463835	12954820973.0
829108542266	0.034661923	12954820972.0
829108542318	0.034676917	12954820973.0
2182056915328	0.034749903	34094639302.0
1592635363688	0.03478121	24884927557.0
888014479132	0.03481544	13875226236.0
829108542363	0.035430737	12954820974.0
1046780789021	0.03553522	16355949828.0
829108542417	0.035535973	12954820975.0
888014479133	0.035700526	13875226236.0
3365379400572	0.036013313	52584053133.0
1046780792058	0.036283385	16355949875.0
1046780792047	0.036348637	16355949875.0
2182056917710	0.036415968	34094639339.0
1046780792059	0.03643973	16355949875.0
1046780792048	0.036464155	16355949875.0
1449024141826	0.036503475	22641002216.0
1449024141917	0.03654355	22641002217.0
1046780797877	0.03656458	16355949966.0
888014479134	0.036569014	13875226236.0
1046780789950	0.036583252	16355949842.0
1449024142013	0.036593437	22641002218.0
2182056918511	0.036614466	34094639351.0
2182056917748	0.036618993	34094639339.0
