page	line_AVF
12954820911.0	0.48806468
12954820912.0	0.4886463
12954820913.0	0.49495694
12954820914.0	0.48943156
12954820915.0	0.49020126
12954820916.0	0.49099538
12954820917.0	0.4917765
12954820918.0	0.49255598
12954820919.0	0.4933202
12954820920.0	0.49411264
12954820921.0	0.50474024
12954820922.0	0.49503252
12954820923.0	0.49582124
12954820924.0	0.49659827
12954820925.0	0.49738812
12954820926.0	0.4981814
12954820927.0	0.4989948
12954820928.0	0.49980226
12954820929.0	0.5005949
12954820930.0	0.5011191
12954820931.0	0.7250729
12954820932.0	0.5014526
12954820933.0	0.5019242
12954820934.0	0.5074482
12954820935.0	0.5027122
12954820936.0	0.5034745
12954820937.0	0.50426644
12954820938.0	0.50505286
12954820939.0	0.5058355
12954820940.0	0.5066052
12954820941.0	0.507384
12954820942.0	0.5078552
12954820943.0	0.508173
12954820944.0	0.5087457
12954820945.0	0.5095463
12954820946.0	0.51032704
12954820947.0	0.5111613
12954820948.0	0.5119691
12954820949.0	0.5127744
12954820950.0	0.5135529
12954820951.0	0.5143536
12954820952.0	0.5178276
12954820953.0	0.51494056
12954820954.0	0.5149282
12954820955.0	0.515137
12954820956.0	0.5156963
12954820957.0	0.5164713
12954820958.0	0.51723236
12954820959.0	0.5180341
12954820960.0	0.5188483
12954820961.0	0.51964754
12954820962.0	0.5204207
12954820963.0	0.52116853
12954820964.0	0.5891484
12954820965.0	0.55964744
12954820966.0	0.52169037
12954820967.0	0.53279495
12954820968.0	0.5421131
12954820969.0	0.54211426
12954820970.0	0.5239947
12954820971.0	0.54212
12954820972.0	0.52510726
12954820973.0	0.5285359
12954820974.0	0.52943
12954820975.0	0.5225522
13875226028.0	0.40493754
13875226029.0	0.40589395
13875226030.0	0.40547684
13875226031.0	0.40670246
13875226032.0	0.40751123
13875226033.0	0.40832543
13875226034.0	0.40914753
13875226035.0	0.4099431
13875226036.0	0.41071782
13875226037.0	0.411515
13875226038.0	0.41206557
13875226039.0	0.41458037
13875226040.0	0.4123876
13875226041.0	0.4123824
13875226042.0	0.4124042
13875226043.0	0.4127521
13875226044.0	0.41495666
13875226045.0	0.41349214
13875226046.0	0.41426593
13875226047.0	0.41505715
13875226048.0	0.4159005
13875226049.0	0.41669995
13875226050.0	0.4174908
13875226051.0	0.41827664
13875226052.0	0.41884696
13875226053.0	0.41885757
13875226054.0	0.42450005
13875226055.0	0.41922244
13875226056.0	0.41921014
13875226057.0	0.42269439
13875226058.0	0.419294
13875226059.0	0.41974363
13875226060.0	0.4230313
13875226061.0	0.42053157
13875226062.0	0.42130736
13875226063.0	0.42210636
13875226064.0	0.42293262
13875226065.0	0.4237405
13875226066.0	0.4245192
13875226067.0	0.42531407
13875226068.0	0.4258208
13875226069.0	0.42611837
13875226070.0	0.4861817
13875226071.0	0.42636368
13875226072.0	0.4269728
13875226073.0	0.42993817
13875226074.0	0.42775333
13875226075.0	0.4285409
13875226076.0	0.4293519
13875226077.0	0.43013525
13875226078.0	0.43092445
13875226079.0	0.43169585
13875226080.0	0.43245068
13875226081.0	0.43705818
13875226082.0	0.4364478
13875226083.0	0.43299425
13875226084.0	0.4330056
13875226085.0	0.433006
13875226086.0	0.4330276
13875226087.0	0.43302798
13875226088.0	0.4330496
13875226089.0	0.43337858
13875226090.0	0.4368445
13875226091.0	0.43410963
13875226092.0	0.43488786
13875226093.0	0.43567923
13875226094.0	0.4364813
13875226095.0	0.4372684
13875226096.0	0.4380839
13875226097.0	0.4388747
