page	line_AVF
24884927552.0	0.14650331
24884927553.0	0.07731401
24884927561.0	0.80956835
24884927565.0	0.13340904
24884927566.0	0.07925403
24884927567.0	0.070282914
24884927569.0	0.12881169
24884927570.0	0.07398349
24884927574.0	0.09833576
24884927577.0	0.3705195
24884927578.0	0.52636933
24884927582.0	0.12833184
24884927583.0	0.9235644
24884927587.0	0.14908129
24884927588.0	0.07399123
24884927589.0	0.060461637
24884927594.0	0.52470696
24884927595.0	0.14263585
24884927596.0	0.074180864
24884927597.0	0.060556337
24884927598.0	0.1854665
24884927599.0	0.52494055
24884927602.0	0.10209528
24884927603.0	0.073184855
24884927604.0	0.12890707
24884927605.0	0.07489005
24884927606.0	0.14454736
24884927607.0	0.065991834
24884927608.0	0.055174924
24884927609.0	0.11857547
24884927610.0	0.0789456
24884927611.0	0.53350264
24884927614.0	0.18524484
24884927615.0	0.1624258
24884927616.0	0.1550498
24884927617.0	0.075324334
24884927619.0	0.16354166
24884927620.0	0.175684
24884927621.0	0.2310034
24884927622.0	0.21511027
24884927623.0	0.21885538
24884927624.0	0.19004147
24884927625.0	0.28178632
24884927626.0	0.24251282
24884927627.0	0.29065377
24884927628.0	0.29749703
24884927629.0	0.2792923
24884927630.0	0.30562043
24884927631.0	0.27930495
24884927632.0	0.31261972
24884927633.0	0.6030287
24884927634.0	0.30784687
24884927635.0	0.40356988
24884927636.0	0.37258464
24884927637.0	0.342543
24884927638.0	0.3979463
24884927639.0	0.4158948
24884927640.0	0.38424832
24884927641.0	0.44124833
24884927642.0	0.467229
24884927643.0	0.4959041
24884927644.0	0.42392084
24884927645.0	0.6705449
24884927646.0	0.53365225
24884927647.0	0.44594097
24884927648.0	0.4870718
24884927649.0	0.53378844
24884927650.0	0.47017974
24884927651.0	0.5032619
24884927652.0	0.4391914
24884927653.0	0.5644931
24884927654.0	0.4883074
24884927655.0	0.5255062
24884927656.0	0.5782683
24884927657.0	0.59178364
24884927658.0	0.6189434
24884927659.0	0.6190823
24884927660.0	0.6686036
24884927661.0	0.70217746
24884927662.0	0.6014717
24884927663.0	0.61955553
24884927664.0	0.6948288
24884927665.0	0.573214
24884927666.0	0.68799746
24884927667.0	0.61229944
24884927668.0	0.75266993
24884927669.0	0.65747416
24884927670.0	0.78704965
24884927671.0	0.71886617
24884927672.0	0.7189888
24884927673.0	0.7964184
24884927674.0	0.7026953
24884927675.0	0.8371927
24884927676.0	0.8373536
24884927677.0	0.8573416
24884927678.0	0.7376779
52584053131.0	0.8488325
52584053132.0	0.8408648
52584053133.0	0.70882535
52584053134.0	0.8266741
52584053135.0	0.82994217
52584053136.0	0.86066675
52584053137.0	0.8933249
52584053138.0	0.8781168
52584053139.0	0.9111938
52584053140.0	0.83485293
52584053141.0	0.8803126
52584053142.0	0.84391814
52584053143.0	0.917664
52584053144.0	0.912042
52584053145.0	0.91452616
52584053146.0	0.83682233
52584053147.0	0.9527577
52584053148.0	0.9460813
52584053149.0	0.9452375
52584053150.0	0.95670444
52584053151.0	0.95684713
52584053152.0	0.96677953
52584053153.0	0.9687253
52584053154.0	0.96719766
52584053155.0	0.9730724
52584053156.0	0.9702151
52584053157.0	0.97268844
52584053158.0	0.9754656
52584053159.0	0.9694267
52584053160.0	0.9738567
52584053161.0	0.9736596
