page	line_AVF
12954820911.0	0.113820285
12954820912.0	0.1140356
12954820913.0	0.11422166
12954820914.0	0.11641357
12954820915.0	0.11849172
12954820916.0	0.11870847
12954820917.0	0.119497776
12954820918.0	0.12016171
12954820919.0	0.1207788
12954820920.0	0.12093468
12954820921.0	0.121136464
12954820922.0	0.2742023
12954820923.0	0.12224682
12954820924.0	0.123095825
12954820925.0	0.12328529
12954820926.0	0.12395182
12954820927.0	0.12554434
12954820928.0	0.12570125
12954820929.0	0.12582108
12954820930.0	0.12600449
12954820931.0	0.12669747
12954820932.0	0.12690252
12954820933.0	0.12753382
12954820934.0	0.12784304
12954820935.0	0.1284039
12954820936.0	0.12862684
12954820937.0	0.12948523
12954820938.0	0.13005653
12954820939.0	0.13021278
12954820940.0	0.13035475
12954820941.0	0.13094455
12954820942.0	0.13154116
12954820943.0	0.13205631
12954820944.0	0.14088261
12954820945.0	0.14152439
12954820946.0	0.13307294
12954820947.0	0.13326102
12954820948.0	0.13386479
12954820949.0	0.13402587
12954820950.0	0.13581356
12954820951.0	0.13617373
12954820952.0	0.13638633
12954820953.0	0.13726427
12954820954.0	0.1377407
12954820955.0	0.13869879
12954820956.0	0.14049254
12954820957.0	0.1412901
12954820958.0	0.14947298
12954820959.0	0.14967574
12954820960.0	0.15107475
12954820961.0	0.15129319
12954820962.0	0.15169087
12954820963.0	0.15341377
12954820964.0	0.15696506
12954820965.0	0.15744683
12954820966.0	0.15788043
12954820967.0	0.15815717
12954820968.0	0.15828577
12954820969.0	0.15870957
12954820970.0	0.15900075
12954820971.0	0.1593051
12954820972.0	0.15964209
12954820973.0	0.16007188
12954820974.0	0.16174065
12954820975.0	0.39408943
16355949820.0	0.19991095
16355949823.0	0.17149705
16355949862.0	0.2788356
16355949882.0	0.23692478
16355949885.0	0.06512687
16355949886.0	0.06513156
16355949891.0	0.47474498
16355949892.0	0.47474965
21966063246.0	0.5492617
21966063247.0	0.54936075
21966063248.0	0.5500215
21966063249.0	0.5504684
21966063250.0	0.550891
21966063251.0	0.5515622
21966063252.0	0.5519192
21966063253.0	0.5522665
21966063254.0	0.5525473
21966063255.0	0.5527398
21966063256.0	0.55284595
21966063257.0	0.55300385
21966063258.0	0.5530912
21966063259.0	0.55345917
21966063260.0	0.5536064
21966063261.0	0.5538294
21966063262.0	0.5541963
21966063263.0	0.55483437
21966063264.0	0.5549375
21966063265.0	0.5550991
21966063266.0	0.5560548
21966063267.0	0.55663306
21966063268.0	0.5573112
21966063269.0	0.5577397
21966063270.0	0.55834824
21966063271.0	0.55857915
21966063272.0	0.55895644
21966063273.0	0.559232
21966063274.0	0.5593388
21966063275.0	0.55943567
21966063276.0	0.5601233
21966063277.0	0.56070673
21966063278.0	0.56175816
21966063279.0	0.56231177
21966063280.0	0.5626342
21966063281.0	0.562808
21966063282.0	0.56319046
21966063283.0	0.56335354
21966063284.0	0.5637725
21966063285.0	0.5639224
21966063286.0	0.56413853
21966063287.0	0.5642817
21966063288.0	0.56476355
21966063289.0	0.5653943
21966063290.0	0.5656253
21966063291.0	0.5661565
21966063292.0	0.5668336
21966063293.0	0.56775564
21966063294.0	0.568442
21966063295.0	0.5689638
21966063296.0	0.5696636
21966063297.0	0.570234
21966063298.0	0.5707512
21966063299.0	0.5715107
21966063300.0	0.57200944
21966063301.0	0.57252663
21966063302.0	0.57309216
21966063303.0	0.5738796
21966063304.0	0.57439196
21966063305.0	0.5748519
21966063306.0	0.5754162
21966063307.0	0.5758554
21966063308.0	0.73089767
21966063309.0	0.5762518
21966063310.0	0.57675564
21966063311.0	0.57707
21966063312.0	0.57756877
21966063313.0	0.57798856
21966063314.0	0.57843465
21966063315.0	0.5792442
21966063316.0	0.57974213
21966063317.0	0.57974285
21966063318.0	0.5799357
21966063319.0	0.5802123
21966063320.0	0.5808836
21966063321.0	0.58123636
21966063322.0	0.58252335
21966063323.0	0.58305424
21966063324.0	0.5837208
21966063325.0	0.58466125
21966063326.0	0.5852419
21966063327.0	0.58653784
21966063328.0	0.5872896
21966063329.0	0.58802015
21966063330.0	0.58892643
21966063331.0	0.58908343
21966063332.0	0.5895223
21966063333.0	0.5898552
21966063334.0	0.5909715
21966063335.0	0.59116775
21966063336.0	0.5912904
21966063337.0	0.59167904
21966063338.0	0.59263563
21966063339.0	0.59346265
21966063340.0	0.59401333
21966063341.0	0.6052933
21966063342.0	0.59513587
21966063343.0	0.59530854
21966063344.0	0.5958821
21966063345.0	0.5964253
21966063346.0	0.59654033
21966063347.0	0.59697044
21966063348.0	0.5973425
21966063349.0	0.5976802
21966063350.0	0.59821594
21966063351.0	0.5993505
21966063352.0	0.59995574
21966063353.0	0.6004544
21966063354.0	0.6012848
21966063355.0	0.60200405
21966063356.0	0.6031419
21966063357.0	0.60372746
21966063358.0	0.60410243
21966063359.0	0.60475546
21966063360.0	0.60725904
21966063361.0	0.6079799
21966063362.0	0.6726012
21966063363.0	0.6525245
21966063364.0	0.6101314
21966063365.0	0.66394156
21966063366.0	0.675902
21966063367.0	0.61079663
21966063368.0	0.61132526
21966063369.0	0.61178887
21966063370.0	0.6121913
21966063371.0	0.6128474
21966063372.0	0.6133915
21966063373.0	0.613978
21966063374.0	0.6141427
21966063375.0	0.6145364
21966063376.0	0.69477093
21966063377.0	0.7030845
21966063378.0	0.61655754
21966063379.0	0.6167579
21966063380.0	0.6169165
21966063381.0	0.61701286
21966063382.0	0.7069913
21966063383.0	0.7097479
21966063384.0	0.6823818
21966063385.0	0.7167619
21966063386.0	0.6850095
21966063387.0	0.6190452
21966063388.0	0.6195178
21966063389.0	0.6204436
21966063390.0	0.6213557
21966063391.0	0.62208736
21966063392.0	0.62644136
21966063393.0	0.634874
21966063394.0	0.6527599
21966063395.0	0.6229023
21966063396.0	0.6475198
21966063397.0	0.6241187
21966063398.0	0.62515783
21966063399.0	0.6258233
21966063400.0	0.6261736
21966063401.0	0.63085866
21966063402.0	0.63133574
21966063403.0	0.63163954
21966063404.0	0.63198113
21966063405.0	0.7117439
21966063406.0	0.6323322
21966063407.0	0.6332761
21966063408.0	0.63397723
21966063409.0	0.6346293
21966063410.0	0.635043
21966063411.0	0.63593155
21966063412.0	0.63670725
21966063413.0	0.8164249
21966063414.0	0.6376328
21966063415.0	0.63846064
21966063416.0	0.63861024
21966063417.0	0.63966155
21966063418.0	0.63970304
21966063419.0	0.64038795
21966063420.0	0.64138085
21966063421.0	0.6421195
21966063422.0	0.6429746
21966063423.0	0.6436036
21966063424.0	0.64442015
21966063425.0	0.64509046
21966063426.0	0.6464125
21966063427.0	0.6471656
21966063428.0	0.6484846
21966063429.0	0.6488023
21966063430.0	0.6495124
21966063431.0	0.6499702
21966063432.0	0.6504328
21966063433.0	0.650738
21966063434.0	0.65158814
21966063435.0	0.65227747
21966063436.0	0.65321124
21966063437.0	0.6539739
21966063438.0	0.65482664
21966063439.0	0.6553034
21966063440.0	0.65597886
21966063441.0	0.65639377
21966063442.0	0.65675724
21966063443.0	0.656911
21966063444.0	0.6571437
21966063445.0	0.65728354
21966063446.0	0.6577226
21966063447.0	0.79405785
21966063448.0	0.65839773
21966063449.0	0.7950311
21966063450.0	0.7497967
21966063451.0	0.65974885
21966063452.0	0.66038185
21966063453.0	0.6607496
21966063454.0	0.6610712
21966063455.0	0.7658868
21966063456.0	0.66144407
21966063457.0	0.66241795
21966063458.0	0.6624565
21966063459.0	0.66309154
21966063460.0	0.6639954
21966063461.0	0.66470957
21966063462.0	0.6652007
21966063463.0	0.6655544
21966063464.0	0.66635615
21966063465.0	0.66650426
21966063466.0	0.6674843
21966063467.0	0.66817915
21966063468.0	0.6690647
21966063469.0	0.6700152
21966063470.0	0.671837
21966063471.0	0.6725409
21966063472.0	0.67353934
21966063473.0	0.67429614
21966063474.0	0.6751533
21966063475.0	0.6757955
21966063476.0	0.7788333
21966063477.0	0.6770581
21966063478.0	0.677738
21966063479.0	0.6781116
21966063480.0	0.6784828
21966063481.0	0.67868394
21966063482.0	0.6788422
21966063483.0	0.6793348
21966063484.0	0.67977566
21966063485.0	0.6804175
21966063486.0	0.68078
21966063487.0	0.6816027
21966063488.0	0.6820054
21966063489.0	0.6821639
21966063490.0	0.6831665
21966063491.0	0.6836334
21966063492.0	0.6839548
21966063493.0	0.6842798
21966063494.0	0.7777745
21966063495.0	0.6846299
21966063496.0	0.6856226
21966063497.0	0.68629247
21966063498.0	0.6871891
21966063499.0	0.6879238
21966063500.0	0.6884144
21966063501.0	0.68877316
21966063502.0	0.68957627
22641002216.0	0.16228661
22641002217.0	0.16329418
22641002218.0	0.16415694
22641002219.0	0.16643167
22641002220.0	0.16680863
22641002221.0	0.16712886
22641002222.0	0.16747588
22641002223.0	0.16780515
22641002224.0	0.16813014
22641002225.0	0.18857852
22641002226.0	0.16848697
22641002227.0	0.16870016
22641002228.0	0.16886419
22641002229.0	0.16919124
22641002230.0	0.16959405
22641002231.0	0.17022108
22641002232.0	0.17088099
22641002233.0	0.17191091
22641002234.0	0.172382
22641002235.0	0.17590551
22641002236.0	0.17293227
22641002237.0	0.17392504
22641002238.0	0.17451431
22641002239.0	0.17562696
22641002240.0	0.17621766
22641002241.0	0.17658657
22641002242.0	0.17677502
22641002243.0	0.17726657
22641002244.0	0.17959026
22641002245.0	0.18047976
22641002246.0	0.18154055
22641002247.0	0.18229492
22641002248.0	0.18297479
22641002249.0	0.18315293
22641002250.0	0.18381035
22641002251.0	0.18571913
22641002252.0	0.18747239
22641002253.0	0.18801622
22641002254.0	0.19010806
22641002255.0	0.19061117
22641002256.0	0.19136254
22641002257.0	0.19199298
22641002258.0	0.19295135
22641002259.0	0.19648626
22641002260.0	0.19491297
22641002261.0	0.19602382
22641002262.0	0.19884169
22641002263.0	0.19964248
22641002264.0	0.20055866
22641002265.0	0.20083284
22641002266.0	0.20096874
22641002267.0	0.2010866
22641002268.0	0.20201287
22641002269.0	0.20252
22641002270.0	0.20266487
22641002271.0	0.20406148
22641002272.0	0.2045213
22641002273.0	0.20491701
22641002274.0	0.20536321
22641002275.0	0.20600751
22641002276.0	0.20803015
22641002277.0	0.26677066
22641002278.0	0.20920068
22641002279.0	0.21208777
22641002280.0	0.21343976
22641002281.0	0.21449672
22641002282.0	0.2156096
22641002283.0	0.35468075
22641002284.0	0.21625134
22641002285.0	0.21721655
22641002286.0	0.21777788
22641002287.0	0.21916336
22641002288.0	0.2196558
22641002289.0	0.22035405
22641002290.0	0.22128114
22641002291.0	0.22191393
22641002292.0	0.22350828
22641002293.0	0.2240502
22641002294.0	0.22478938
22641002295.0	0.22573966
22641002296.0	0.22627872
22641002297.0	0.22754069
22641002298.0	0.2280195
22641002299.0	0.22870639
22641002300.0	0.22966087
22641002301.0	0.23021059
22641002302.0	0.23178822
22641002303.0	0.2778175
22641002304.0	0.23281914
22641002305.0	0.23305184
22641002306.0	0.23399724
22641002307.0	0.2345568
22641002308.0	0.23556088
22641002309.0	0.23574896
22641002310.0	0.23624231
22641002311.0	0.23695455
22641002312.0	0.23859711
22641002313.0	0.2394544
22641002314.0	0.2400297
22641002315.0	0.2411927
22641002316.0	0.24170297
22641002317.0	0.24232921
22641002318.0	0.24301699
22641002319.0	0.24350649
22641002320.0	0.24416399
22641002321.0	0.24448343
22641002322.0	0.24509652
22641002323.0	0.24565563
22641002324.0	0.24618733
22641002325.0	0.246701
22641002326.0	0.24834451
22641002327.0	0.25130802
22641002328.0	0.24863115
22641002329.0	0.24927948
22641002330.0	0.25013033
22641002331.0	0.25017777
22641002332.0	0.25095963
22641002333.0	0.25172755
22641002334.0	0.25302035
22641002335.0	0.2536286
22641002336.0	0.25474703
22641002337.0	0.25527105
22641002338.0	0.255731
22641002339.0	0.25732008
22641002340.0	0.25809065
22641002341.0	0.25929606
22641002342.0	0.26005015
22641002343.0	0.26042098
22641002344.0	0.2627143
23796184824.0	0.27892515
23796184825.0	0.27979347
23796184826.0	0.28025466
23796184827.0	0.2809933
23796184828.0	0.281456
23796184829.0	0.28189188
23796184830.0	0.28226095
23796184831.0	0.28248683
23796184832.0	0.28287274
23796184833.0	0.28320414
23796184834.0	0.2833559
23796184835.0	0.28354883
23796184836.0	0.2837053
23796184837.0	0.28449488
23796184838.0	0.286763
23796184839.0	0.28742802
23796184840.0	0.28857765
23796184841.0	0.28904703
23796184842.0	0.29034358
23796184843.0	0.29153287
23796184844.0	0.29197565
23796184845.0	0.29355055
23796184846.0	0.29401755
23796184847.0	0.29444367
23796184848.0	0.29487947
23796184849.0	0.2953545
23796184850.0	0.29685292
23796184851.0	0.29747593
23796184852.0	0.29838938
23796184853.0	0.29896078
23796184854.0	0.30028582
23796184855.0	0.3132146
23796184856.0	0.30149424
23796184857.0	0.30247408
23796184858.0	0.30303216
23796184859.0	0.30440176
23796184860.0	0.30488515
23796184861.0	0.3055231
23796184862.0	0.30587405
