page	line_AVF
24884927552.0	0.50727
24884927554.0	0.54110146
24884927556.0	0.5750323
24884927557.0	0.47457072
24884927559.0	0.50847745
24884927560.0	0.54239076
24884927561.0	0.57618153
24884927564.0	0.47582942
24884927565.0	0.5096906
24884927566.0	0.54353815
24884927568.0	0.57744503
24884927569.0	0.4770034
24884927571.0	0.5108925
24884927572.0	0.5448091
24884927573.0	0.44433588
24884927574.0	0.4782434
24884927576.0	0.51210666
24884927578.0	0.5459523
24884927579.0	0.5798567
24884927580.0	0.4794176
24884927583.0	0.51331
24884927584.0	0.54720306
24884927585.0	0.5810191
24884927587.0	0.48066047
24884927588.0	0.5145406
24884927589.0	0.5483689
24884927591.0	0.5822871
24884927592.0	0.21328527
24884927593.0	0.51572984
24884927594.0	0.54962605
24884927597.0	0.58343446
24884927598.0	0.483076
24884927599.0	0.5169572
24884927601.0	0.5507826
24884927602.0	0.5846991
24884927604.0	0.4842558
24884927606.0	0.51814526
24884927607.0	0.5520512
24884927608.0	0.58584857
24884927610.0	0.4855006
24884927611.0	0.11655906
24884927612.0	0.5532092
24884927613.0	0.5871131
24884927616.0	0.48667318
24884927617.0	0.52056074
24884927618.0	0.55446756
24884927620.0	0.58826387
24884927621.0	0.48791495
24884927622.0	0.5217983
24884927624.0	0.555623
24884927625.0	0.5895265
24884927626.0	0.4890895
24884927627.0	0.5229783
24884927630.0	0.59070104
24884927631.0	0.49033004
24884927633.0	0.5242275
24884927634.0	0.55803823
24884927636.0	0.59194064
24884927638.0	0.4915057
24884927639.0	0.5253941
24884927640.0	0.5593056
24884927642.0	0.5931151
24884927643.0	0.49274644
24884927644.0	0.52664685
24884927645.0	0.5604535
24884927648.0	0.59435445
24884927649.0	0.49393845
24884927650.0	0.5278098
24884927652.0	0.5617383
24884927653.0	0.59553105
24884927654.0	0.49516743
24884927657.0	0.52906483
24884927658.0	0.56287277
24884927659.0	0.5967666
24884927660.0	0.49635407
24884927663.0	0.49641228
24884927668.0	0.12746175
24884927671.0	0.5641015
24884927672.0	0.4637402
24884927674.0	0.49759868
24884927675.0	0.5314398
24884927677.0	0.56536716
24884927679.0	0.5991679
24884927680.0	0.49879852
24884927681.0	0.53270906
24884927682.0	0.5665151
24884927684.0	0.46615657
24884927685.0	0.50001675
24884927686.0	0.5338546
24884927689.0	0.46732137
24884927690.0	0.5012136
24884927692.0	0.5351418
24884927693.0	0.568931
24884927694.0	0.46857774
24884927697.0	0.50243473
24884927698.0	0.53627473
24884927699.0	0.5701868
24884927700.0	0.46973696
24884927701.0	0.5036304
24884927703.0	0.5375571
24884927704.0	0.5713456
24884927706.0	0.47099173
24884927707.0	0.5048529
24884927709.0	0.5386888
24884927711.0	0.5726165
24884927712.0	0.4721523
24884927713.0	0.5060588
24884927715.0	0.5399731
24884927716.0	0.57376313
24884927717.0	0.47340944
24884927718.0	0.55688894
24884927719.0	0.5677651
24884927720.0	0.65365475
24884927721.0	0.6645622
24884927722.0	0.7503944
24884927723.0	0.84714
