page	line_AVF
13875226028.0	0.13041995
13875226029.0	0.86748576
13875226030.0	0.58688724
13875226031.0	0.40193048
13875226032.0	0.36324832
13875226033.0	0.48102424
13875226034.0	0.46271363
13875226035.0	0.6102102
13875226042.0	0.4094582
13875226044.0	0.2773704
13875226047.0	0.12722333
13875226048.0	0.6580192
13875226054.0	0.5402623
13875226055.0	0.45307666
13875226056.0	0.042546522
13875226057.0	0.302542
13875226058.0	0.6196866
13875226059.0	0.050811697
13875226060.0	0.35390732
13875226061.0	0.071104415
13875226062.0	0.3303879
13875226063.0	0.09270529
13875226064.0	0.121966265
13875226065.0	0.10029276
13875226066.0	0.11441945
13875226067.0	0.40760982
13875226068.0	0.11967256
13875226069.0	0.42815122
13875226070.0	0.27528808
13875226071.0	0.4880085
13875226072.0	0.13013843
13875226073.0	0.260019
13875226074.0	0.44134718
13875226075.0	0.4479058
13875226076.0	0.14424777
13875226077.0	0.408083
13875226078.0	0.4147042
13875226079.0	0.56824154
13875226080.0	0.44873494
13875226081.0	0.35360244
13875226082.0	0.15452416
13875226083.0	0.15891209
13875226084.0	0.16189708
13875226085.0	0.36179775
13875226086.0	0.16723408
13875226087.0	0.17862152
13875226088.0	0.1901054
13875226089.0	0.1938113
13875226090.0	0.3686545
13875226091.0	0.2160705
13875226092.0	0.43344426
13875226093.0	0.24363877
13875226094.0	0.55068034
13875226095.0	0.5079529
13875226096.0	0.57909024
13875226097.0	0.51921225
13875226098.0	0.41351658
13875226099.0	0.6358849
13875226100.0	0.40367007
13875226101.0	0.4643614
13875226102.0	0.37366766
13875226103.0	0.62133765
13875226104.0	0.30493844
13875226105.0	0.37306976
13875226106.0	0.32808104
13875226107.0	0.3285316
13875226108.0	0.5627697
13875226109.0	0.3741726
13875226110.0	0.37644258
13875226111.0	0.4093665
13875226112.0	0.59380746
13875226113.0	0.3884782
13875226114.0	0.4983726
13875226115.0	0.41267154
13875226116.0	0.45046067
13875226117.0	0.5264987
13875226118.0	0.4591648
13875226119.0	0.4616446
13875226120.0	0.51954836
13875226121.0	0.4694976
13875226122.0	0.51783234
13875226123.0	0.5893031
13875226124.0	0.54762655
13875226125.0	0.48532602
13875226126.0	0.48611385
13875226127.0	0.48624974
13875226128.0	0.48670635
13875226129.0	0.4935135
13875226130.0	0.6728631
13875226131.0	0.50819135
13875226132.0	0.5390873
13875226133.0	0.53840053
13875226134.0	0.54625493
13875226135.0	0.7736476
13875226136.0	0.5741579
13875226137.0	0.73556554
13875226138.0	0.60109174
13875226139.0	0.7192982
13875226140.0	0.6631099
13875226141.0	0.66730773
13875226142.0	0.6307319
13875226143.0	0.6323141
13875226144.0	0.71889526
13875226145.0	0.65551984
13875226146.0	0.655658
13875226147.0	0.6563841
13875226148.0	0.656671
13875226149.0	0.65687305
13875226150.0	0.65714496
13875226151.0	0.66880363
13875226152.0	0.65767723
13875226153.0	0.65858793
13875226154.0	0.6965759
13875226155.0	0.6984937
13875226156.0	0.79291797
13875226157.0	0.73990566
13875226158.0	0.78492415
13875226159.0	0.8055842
13875226160.0	0.84244484
13875226161.0	0.8908855
13875226162.0	0.84415424
13875226163.0	0.8622064
13875226164.0	0.86896926
13875226165.0	0.8824775
13875226166.0	0.91191655
13875226167.0	0.938105
13875226168.0	0.9429165
13875226169.0	0.95296025
13875226170.0	0.9681296
13875226171.0	0.98831195
16355949806.0	0.20729327
16355949808.0	0.49771786
24884927562.0	0.58592206
24884927564.0	0.21791075
24884927578.0	0.09780456
24884927580.0	0.6163282
24884927584.0	0.437172
24884927590.0	0.18978085
24884927595.0	0.88161033
24884927597.0	0.65596783
24884927599.0	0.6553748
24884927605.0	0.46508092
24884927608.0	0.85351
24884927611.0	0.08767812
34094639289.0	0.2050608
34094639290.0	0.4402596
34094639291.0	0.23192948
34094639292.0	0.41631064
34094639293.0	0.5082908
34094639294.0	0.2563299
34094639295.0	0.38307709
34094639296.0	0.27207404
34094639297.0	0.35840663
34094639298.0	0.31211272
34094639299.0	0.6260254
34094639301.0	0.09940296
34094639302.0	0.48258692
34094639303.0	0.19248441
34094639304.0	0.38653576
34094639305.0	0.36541498
34094639306.0	0.15962045
34094639307.0	0.24027133
34094639308.0	0.45933923
34094639309.0	0.21400127
34094639310.0	0.4663155
34094639311.0	0.44741344
34094639312.0	0.47775006
34094639313.0	0.40947428
34094639314.0	0.51273835
34094639315.0	0.5620972
34094639316.0	0.40481395
34094639317.0	0.17112184
34094639318.0	0.1505327
34094639319.0	0.4953643
34094639320.0	0.3062637
34094639321.0	0.46218032
34094639322.0	0.39354995
