page	line_AVF
24884927550.0	0.963281
24884927555.0	0.9653319
52584053134.0	0.29073036
52584053139.0	0.44207877
52584053141.0	0.24028948
52584053143.0	0.5607768
52584053145.0	0.21016039
52584053146.0	0.5296493
52584053148.0	0.35629797
52584053149.0	0.9633893
52584053152.0	0.39924774
52584053154.0	0.3992416
52584053155.0	0.57066417
52584053156.0	0.3699594
52584053157.0	0.60102624
52584053158.0	0.22884722
52584053159.0	0.2772263
52584053160.0	0.12348644
52584053161.0	0.24184363
52584053162.0	0.11015612
52584053163.0	0.19050322
52584053164.0	0.2275369
52584053165.0	0.2192304
52584053166.0	0.18123493
52584053167.0	0.35466915
52584053168.0	0.31354216
52584053169.0	0.32000247
52584053173.0	0.38428098
52584053174.0	0.4282067
52584053175.0	0.18201342
52584053176.0	0.20356391
52584053177.0	0.20296358
52584053178.0	0.11372644
52584053179.0	0.20361255
52584053180.0	0.06917123
52584053181.0	0.20372759
52584053182.0	0.20377885
52584053183.0	0.35934392
52584053186.0	0.35435456
52584053187.0	0.35438687
52584053189.0	0.4770219
52584053190.0	0.5523455
52584053191.0	0.5345784
52584053194.0	0.35447186
52584053195.0	0.3525148
52584053199.0	0.048739746
52584053200.0	0.06031222
52584053201.0	0.076134905
52584053202.0	0.09168967
52584053203.0	0.10705701
52584053204.0	0.12341559
52584053205.0	0.13902476
52584053206.0	0.15623266
52584053207.0	0.20081908
52584053208.0	0.17725512
52584053209.0	0.19515102
52584053210.0	0.21285199
52584053211.0	0.20410144
52584053212.0	0.2310663
52584053213.0	0.4924486
52584053214.0	0.2542354
52584053215.0	0.27214405
52584053216.0	0.28667542
52584053217.0	0.31219426
52584053218.0	0.34134153
52584053219.0	0.36580047
52584053220.0	0.3813438
52584053221.0	0.3866713
52584053222.0	0.40133047
52584053223.0	0.419793
52584053224.0	0.43428004
52584053225.0	0.4517577
52584053226.0	0.46826482
52584053227.0	0.6108309
52584053228.0	0.48241818
52584053229.0	0.49875608
52584053230.0	0.51987624
52584053231.0	0.5363549
52584053232.0	0.54894704
52584053233.0	0.56576705
52584053234.0	0.5845447
52584053235.0	0.6009111
52584053236.0	0.61485094
52584053237.0	0.63173455
52584053238.0	0.6460736
52584053239.0	0.6636885
52584053240.0	0.68561864
52584053241.0	0.70363396
52584053242.0	0.7178902
52584053243.0	0.735396
52584053244.0	0.7473003
52584053245.0	0.76569164
52584053246.0	0.7985119
52584053247.0	0.8317954
52584053248.0	0.84844637
52584053249.0	0.85135484
52584053250.0	0.868497
52584053251.0	0.88673264
52584053252.0	0.903325
52584053253.0	0.9304162
52584053254.0	0.9481553
52584053255.0	0.9595506
52584053256.0	0.9647587
52584053257.0	0.9646467
52584053258.0	0.96341866
52584053259.0	0.9634893
52584053260.0	0.9640614
52584053261.0	0.96467304
52584053262.0	0.9647603
52584053263.0	0.9643922
52584053264.0	0.96443754
52584053265.0	0.9644629
52584053266.0	0.965573
52584053267.0	0.9656487
52584053268.0	0.9799286
52584053269.0	0.99387145
