page	line_AVF
4034319.0	0.39025223
4034320.0	0.19577974
4034321.0	0.4753809
4034322.0	0.18185121
4034323.0	0.1492094
4034324.0	0.36283883
4034325.0	0.28036717
4034326.0	0.14937846
4034327.0	0.14999019
4034328.0	0.48123384
4034329.0	0.4526595
4034330.0	0.37589324
4034331.0	0.22426753
4034332.0	0.40361336
4034333.0	0.38794774
4034334.0	0.39366361
4034335.0	0.35949272
4034336.0	0.15036653
4034337.0	0.5245452
4034338.0	0.27734303
4034339.0	0.15077484
4034340.0	0.31798732
4034341.0	0.1507988
4034342.0	0.15078945
4034343.0	0.15080096
4034344.0	0.45054436
4034345.0	0.46123326
4034346.0	0.4208337
4034347.0	0.15093486
4034348.0	0.38555837
4034349.0	0.24345668
4034350.0	0.15112394
4034351.0	0.15107886
4034352.0	0.15114185
4034353.0	0.24152188
4034354.0	0.40805167
4034355.0	0.18886994
4034356.0	0.4204333
4034357.0	0.1521235
4034358.0	0.15232982
4034359.0	0.33168837
4034360.0	0.20131232
4034361.0	0.5050355
4034362.0	0.31761143
4034363.0	0.15333004
4034364.0	0.15348734
4034365.0	0.28636217
4034366.0	0.15355381
4034367.0	0.48459503
4034368.0	0.26615626
4034369.0	0.18888469
4034370.0	0.35308388
4034371.0	0.5578816
4034372.0	0.27531856
4034373.0	0.30360496
4034374.0	0.24648373
4034375.0	0.2619099
4034376.0	0.15492812
4034377.0	0.52988404
4034378.0	0.15589063
4034379.0	0.15637419
4034380.0	0.35209858
4034381.0	0.32361612
4034382.0	0.15724805
4034383.0	0.15745372
4034384.0	0.2464351
4034385.0	0.15751557
4034386.0	0.29035637
4034387.0	0.15772548
4034388.0	0.15773718
4034389.0	0.4343065
4034390.0	0.4143387
4034391.0	0.18318087
4034392.0	0.32730418
4034393.0	0.3237376
4034394.0	0.15906207
4034395.0	0.15931149
4034396.0	0.15934846
4034397.0	0.26460308
4034398.0	0.16189343
4034399.0	0.1597428
4034400.0	0.33785832
4034401.0	0.47266608
4034402.0	0.16059867
4034403.0	0.234554
4034404.0	0.23949727
4034405.0	0.28423116
4034406.0	0.1609519
4034407.0	0.25546324
4034408.0	0.16100697
4034409.0	0.16100377
4034410.0	0.4920959
4034411.0	0.3103078
4034412.0	0.31035092
4034413.0	0.35984445
4034414.0	0.16118133
4034415.0	0.35371035
4034416.0	0.26593626
4034417.0	0.16142434
4034418.0	0.47442013
4034419.0	0.18702894
4034420.0	0.36128205
4034421.0	0.4173538
4034422.0	0.16327429
4034423.0	0.38789147
4034424.0	0.16340432
4034425.0	0.16344015
4034426.0	0.2218931
4034427.0	0.16350041
4034428.0	0.28513956
4034429.0	0.35750005
4034430.0	0.1636975
4034431.0	0.44662535
4034432.0	0.2840424
4034433.0	0.16553952
4034434.0	0.16556022
4034435.0	0.1655745
4034436.0	0.1656127
4034437.0	0.35077032
4034438.0	0.2656828
4034439.0	0.16941075
4034440.0	0.27175212
4034441.0	0.16729064
4034442.0	0.2858122
4034443.0	0.16735975
4034444.0	0.2336718
4034445.0	0.16735184
4034446.0	0.16736877
4034447.0	0.16740568
1518296732.0	0.25387663
