,access#,line_AVF_average,line_AVF_std
52584053131.0,48.0,0.02395732,0.00017146321
52584053132.0,64.0,0.024645472,0.0002234379
24884927801.0,15.0,0.02737088,0.0018377029
52584053133.0,64.0,0.025435003,0.00024625185
52584053134.0,64.0,0.026268492,0.00022831874
52584053135.0,64.0,0.027060136,0.00023634566
52584053136.0,64.0,0.027867645,0.00021990108
52584053137.0,64.0,0.028656004,0.00023413665
52584053138.0,32.0,0.029262176,0.00013302529
24884927786.0,13.0,0.23772019,0.06442917
24884927788.0,7.0,0.03253244,0.003662623
24884927750.0,1.0,0.0295743,0.0
52584053139.0,12.0,0.044689495,0.006602379
24884927790.0,2.0,0.033087447,0.00486386
24884927791.0,1.0,0.029650254,0.0
24884927792.0,2.0,0.033096977,0.004867196
34094639289.0,2.0,0.029673913,1.124229e-05
24884927739.0,2.0,0.029666532,2.6728637e-07
24884927794.0,1.0,0.029692432,0.0
34094639290.0,11.0,0.029766964,4.645441e-05
34094639291.0,64.0,0.030243639,0.00023777792
34094639292.0,17.0,0.03349958,0.0022658685
34094639293.0,64.0,0.031028256,0.00022518069
34094639294.0,64.0,0.031805113,0.00022518828
34094639295.0,64.0,0.032604404,0.00023605248
34094639296.0,64.0,0.033432823,0.0002345429
34094639297.0,64.0,0.034242854,0.00023194458
34094639298.0,64.0,0.03501713,0.00022386531
34094639299.0,64.0,0.035812702,0.00023066161
34094639300.0,9.0,0.036301024,6.21614e-05
34094639301.0,9.0,0.16961174,0.074189305
24884927789.0,9.0,0.035387512,0.0211723
24884927644.0,5.0,0.09846514,0.06988916
34094639302.0,4.0,0.04157777,0.003375996
34094639303.0,1.0,0.03653823,0.0
34094639304.0,1.0,0.03655389,0.0
34094639305.0,2.0,0.03655646,3.1027846e-06
24884927579.0,54.0,0.21008761,0.16249444
34094639306.0,1.0,0.03658446,0.0
34094639307.0,62.0,0.03698349,0.00022981767
34094639308.0,10.0,0.038623884,0.0013177514
34094639309.0,64.0,0.037768222,0.00022405638
34094639310.0,64.0,0.03853692,0.00022054835
34094639311.0,64.0,0.039321054,0.00023397259
34094639312.0,64.0,0.04015185,0.00022670685
34094639313.0,64.0,0.040941805,0.00023448573
34094639314.0,8.0,0.042581845,0.00082693965
34094639315.0,64.0,0.04171161,0.00022050376
34094639316.0,64.0,0.042493716,0.00022520678
34094639317.0,23.0,0.043035056,9.805896e-05
34094639318.0,4.0,0.043349642,1.3359953e-05
34094639319.0,15.0,0.045344874,0.003204551
34094639320.0,1.0,0.0435975,0.0
34094639321.0,1.0,0.043604154,0.0
34094639322.0,1.0,0.04360453,0.0
34094639323.0,2.0,0.04363272,1.8249719e-05
34094639324.0,1.0,0.043620195,0.0
