,access#,line_AVF_average,line_AVF_std
30700161609.0,64.0,0.005309401,0.0073940773
30700161640.0,64.0,0.7693882,0.0072917626
30700161642.0,64.0,0.016367769,0.005600725
30700161610.0,64.0,0.76272625,0.006747657
30700161643.0,64.0,0.015538267,0.00012018322
30700161641.0,64.0,0.77572703,0.0065601366
30700161580.0,64.0,0.7624044,0.003869694
22641002283.0,64.0,0.0,0.0
22641002249.0,64.0,0.75243604,0.007640154
30700161644.0,64.0,0.77926236,0.0008869158
22641002250.0,22.0,0.0,0.0
22641002313.0,64.0,0.7474683,0.004792767
22641002282.0,64.0,0.7473595,0.005636578
30700161613.0,64.0,0.00963363,0.0077749416
30700161614.0,64.0,0.7668655,0.0046131867
22641002253.0,64.0,0.7481031,0.005415993
22641002254.0,64.0,0.75049096,0.0071743825
30700161645.0,64.0,0.018339181,0.0019651253
30700161646.0,64.0,0.7766209,0.004006894
30700161647.0,64.0,0.016044242,0.00015715034
22641002317.0,64.0,0.7466812,0.0026130038
22641002286.0,64.0,0.7460603,0.003042547
30700161584.0,64.0,0.76254576,0.0037044997
22641002287.0,64.0,0.0,0.0
30700161648.0,64.0,0.77971184,0.00051140337
30700161618.0,64.0,0.7672321,0.004820652
30700161617.0,64.0,0.009701285,0.008088812
22641002257.0,64.0,0.74819,0.005662375
22641002258.0,38.0,0.0,0.0
30700161649.0,64.0,0.018801287,0.0019793254
30700161650.0,64.0,0.777235,0.004010081
30700161588.0,64.0,0.7657176,0.0040183165
22641002290.0,64.0,0.0,0.0
22641002321.0,64.0,0.7466602,0.002591573
30700161651.0,64.0,0.016550839,0.00014510163
22641002291.0,64.0,0.7483692,0.0032707115
30700161652.0,64.0,0.7845737,0.0005385493
30700161622.0,64.0,0.009999834,0.008337767
30700161621.0,64.0,0.77292603,0.0057042306
22641002261.0,64.0,0.7483039,0.005869282
22641002262.0,38.0,0.0,0.0
30700161653.0,64.0,0.01936618,0.0019643262
30700161654.0,64.0,0.7819439,0.0024578443
30700161592.0,64.0,0.7659485,0.0041684713
30700161655.0,64.0,0.017069124,0.0001427333
22641002294.0,64.0,0.0,0.0
22641002295.0,64.0,0.74831957,0.0032615622
22641002325.0,64.0,0.74652505,0.002563031
30700161656.0,64.0,0.7851549,0.00048385738
30700161625.0,64.0,0.010570488,0.008530845
30700161626.0,64.0,0.76823837,0.0050768177
22641002329.0,64.0,0.7507292,0.0025725479
22641002298.0,64.0,0.7555072,0.007863016
30700161657.0,64.0,0.019797394,0.0019686478
30700161658.0,64.0,0.7783776,0.0039577987
22641002297.0,64.0,0.75588864,0.008493418
30700161596.0,64.0,0.7634598,0.0040178457
30700161659.0,64.0,0.017584734,0.00016593048
22641002330.0,64.0,0.750268,0.0030288731
22641002331.0,64.0,0.0,0.0
30700161660.0,64.0,0.7815278,0.00050515315
30700161630.0,64.0,0.7685193,0.005425066
30700161629.0,64.0,0.010622674,0.008857008
22641002333.0,64.0,0.75078773,0.0025418443
30700161661.0,64.0,0.78007805,0.004684366
30700161662.0,64.0,0.020332571,0.0019525641
22641002301.0,64.0,0.75638884,0.008862574
22641002302.0,38.0,0.0,0.0
22641002334.0,64.0,0.0,0.0
30700161663.0,64.0,0.018123707,0.00016188242
30700161600.0,64.0,0.76367396,0.0042811423
22641002335.0,64.0,0.7524666,0.0032646891
30700161664.0,64.0,0.7822438,0.0005162024
30700161633.0,64.0,0.011235646,0.0090678
30700161634.0,64.0,0.76905394,0.0056617176
22641002305.0,64.0,0.7563698,0.009069851
22641002337.0,64.0,0.75060904,0.0025299753
22641002306.0,39.0,0.0,0.0
30700161666.0,64.0,0.7797061,0.003929308
30700161665.0,64.0,0.020937728,0.0019433268
30700161604.0,64.0,0.76373434,0.004376344
30700161667.0,64.0,0.018664422,0.000142114
22641002338.0,64.0,0.0,0.0
22641002339.0,64.0,0.75243324,0.0033218337
30700161668.0,64.0,0.782888,0.0005275867
30700161637.0,64.0,0.011245422,0.009376038
30700161638.0,64.0,0.7694473,0.0058546597
30700161669.0,64.0,0.7813726,0.004720113
30700161670.0,64.0,0.021365674,0.0019536545
22641002342.0,38.0,0.0,0.0
22641002309.0,64.0,0.75678664,0.009350774
30700161608.0,64.0,0.76413065,0.0046764393
22641002374.0,64.0,0.0,0.0
22641002341.0,64.0,0.7507129,0.0025958074
30700161671.0,64.0,0.019134235,0.00013962785
22641002343.0,64.0,0.75231606,0.003261454
30700161672.0,64.0,0.783408,0.0005234688
30700161673.0,64.0,0.02189773,0.0019387273
22641002281.0,64.0,0.74894285,0.0068907207
30700161674.0,64.0,0.7806862,0.0038500575
30700161675.0,64.0,0.019611489,0.00013830628
22641002314.0,64.0,0.0,0.0
30700161612.0,64.0,0.7644881,0.005032346
22641002315.0,64.0,0.7484602,0.003270292
22641002345.0,64.0,0.7466417,0.002545771
30700161676.0,64.0,0.78408235,0.00088011706
22641002285.0,64.0,0.74887574,0.0068676546
30700161677.0,64.0,0.022343412,0.0019658818
30700161678.0,64.0,0.78139186,0.0038953717
30700161616.0,64.0,0.7645547,0.0049919267
22641002318.0,64.0,0.74623793,0.002994101
30700161679.0,64.0,0.02013032,0.00015020937
22641002349.0,64.0,0.74669427,0.0025971653
22641002319.0,64.0,0.0,0.0
30700161680.0,64.0,0.7845409,0.0005016847
22641002289.0,64.0,0.74919516,0.007290336
30700161682.0,64.0,0.7820358,0.0039180336
30700161681.0,64.0,0.022868764,0.0019636604
30700161620.0,64.0,0.7687432,0.005483679
22641002322.0,64.0,0.0,0.0
30700161683.0,64.0,0.020638492,0.0001403663
22641002353.0,64.0,0.7467299,0.0025545296
22641002323.0,64.0,0.74827206,0.0031606832
30700161684.0,64.0,0.7893809,0.0004485909
22641002293.0,64.0,0.7493333,0.0074540037
30700161685.0,64.0,0.02343388,0.0019569513
30700161686.0,64.0,0.7868439,0.0024243873
30700161624.0,64.0,0.768754,0.0055106636
22641002357.0,64.0,0.7466516,0.0026010452
22641002326.0,64.0,0.7460385,0.003066621
30700161687.0,64.0,0.021124111,0.00013504486
22641002327.0,64.0,0.0,0.0
30700161688.0,64.0,0.7898752,0.0004509293
22641002361.0,64.0,0.75077313,0.0025981693
30700161690.0,64.0,0.78316545,0.0039043692
30700161689.0,64.0,0.023868361,0.0019758076
30700161628.0,64.0,0.76576555,0.005102379
30700161691.0,64.0,0.021640088,0.00015018924
22641002362.0,64.0,0.75026184,0.0031308052
22641002363.0,64.0,0.0,0.0
30700161692.0,64.0,0.7862131,0.00044240686
22641002365.0,64.0,0.7507786,0.002606174
30700161693.0,64.0,0.024465187,0.0019721058
30700161694.0,64.0,0.7836463,0.0037683893
30700161632.0,64.0,0.76603705,0.0053158305
30700161695.0,64.0,0.022174977,0.00017245692
22641002366.0,64.0,0.750307,0.0032229207
22641002367.0,64.0,0.0,0.0
30700161696.0,64.0,0.78686965,0.000432019
22641002369.0,64.0,0.75078166,0.0026129966
30700161697.0,64.0,0.7855833,0.004647486
30700161698.0,64.0,0.024945762,0.001980059
22641002370.0,64.0,0.0,0.0
30700161636.0,64.0,0.76628405,0.005562396
30700161699.0,64.0,0.02269219,0.00014236533
22641002371.0,64.0,0.7526248,0.0035047943
30700161700.0,64.0,0.7875024,0.0004185933
22641002373.0,64.0,0.75094146,0.0025818583
30700161701.0,64.0,0.025411658,0.001966785
30700161702.0,64.0,0.7850402,0.0038772717
30700161703.0,64.0,0.023161467,0.00013901979
22641002406.0,64.0,0.0,0.0
22641002375.0,64.0,0.7526557,0.0034827949
30700161704.0,64.0,0.7879921,0.00040763308
30700161705.0,64.0,0.025953814,0.0019643249
30700161706.0,64.0,0.78554225,0.003908996
30700161707.0,64.0,0.023644945,0.00015092039
22641002377.0,64.0,0.7469626,0.002587383
22641002346.0,64.0,0.0,0.0
22641002347.0,64.0,0.7484854,0.0034052457
30700161708.0,64.0,0.7886647,0.0008870339
30700161710.0,64.0,0.026412422,0.0019741564
30700161709.0,64.0,0.78723556,0.0046506347
22641002350.0,64.0,0.0,0.0
30700161711.0,64.0,0.024185581,0.00015013065
22641002381.0,64.0,0.74700916,0.002597451
22641002351.0,64.0,0.7484771,0.0034278694
30700161712.0,64.0,0.7891837,0.00041606106
30700161713.0,64.0,0.026997004,0.0019633167
30700161714.0,64.0,0.7866048,0.0037480732
22641002385.0,64.0,0.7469453,0.00252996
30700161715.0,64.0,0.024704015,0.00014580559
22641002354.0,64.0,0.0,0.0
22641002355.0,64.0,0.7484166,0.003430114
30700161716.0,64.0,0.79400057,0.0004594517
30700161717.0,64.0,0.7926493,0.0038171532
30700161718.0,64.0,0.02742356,0.0019614955
22641002389.0,64.0,0.7470586,0.0025697716
30700161719.0,64.0,0.025187213,0.0001390443
22641002358.0,64.0,0.0,0.0
22641002359.0,64.0,0.74847984,0.0034470253
30700161720.0,64.0,0.7944821,0.00046391436
30700161721.0,64.0,0.027925825,0.0019525383
30700161722.0,64.0,0.78783524,0.0039261756
22641002393.0,64.0,0.7511684,0.0026739663
22641002394.0,64.0,0.7505215,0.0032687688
30700161723.0,64.0,0.02572291,0.00014693386
22641002395.0,64.0,0.0,0.0
30700161724.0,64.0,0.79087836,0.0004869157
22641002397.0,64.0,0.75111926,0.0026876556
30700161725.0,64.0,0.028506389,0.0019213568
30700161726.0,64.0,0.78838277,0.0038985256
22641002398.0,64.0,0.0,0.0
30700161727.0,64.0,0.026275754,0.00015915344
22641002399.0,64.0,0.7527274,0.0035834836
30700161728.0,64.0,0.7915037,0.00052332506
22641002401.0,64.0,0.75117797,0.0027278739
30700161729.0,64.0,0.028961102,0.0019266205
30700161730.0,64.0,0.7890621,0.003886165
22641002402.0,64.0,0.0,0.0
30700161731.0,64.0,0.02675819,0.00013697737
22641002403.0,64.0,0.7526705,0.0034812398
30700161732.0,64.0,0.79210275,0.0005005051
22641002405.0,64.0,0.751288,0.002719406
30700161733.0,64.0,0.029488651,0.0019226087
30700161734.0,64.0,0.78945225,0.0037660685
30700161735.0,64.0,0.027232934,0.00014816664
22641002438.0,64.0,0.0,0.0
22641002407.0,64.0,0.7528965,0.0035514408
30700161736.0,64.0,0.7926308,0.0004879991
30700161738.0,64.0,0.7901557,0.0039023159
30700161737.0,64.0,0.029905478,0.0019281267
22641002378.0,64.0,0.7464736,0.0032148617
30700161739.0,64.0,0.027727025,0.00015559024
22641002409.0,64.0,0.7473698,0.0025647483
22641002379.0,64.0,0.0,0.0
30700161740.0,64.0,0.7933899,0.0009584715
30700161741.0,64.0,0.79182947,0.0046130456
30700161742.0,64.0,0.03042853,0.0019186828
22641002413.0,64.0,0.7475341,0.0024923906
22641002382.0,64.0,0.0,0.0
30700161743.0,64.0,0.028263215,0.00015566076
22641002383.0,64.0,0.74849147,0.0034586978
30700161744.0,64.0,0.79387605,0.00047648122
30700161745.0,64.0,0.79252636,0.0045695757
30700161746.0,64.0,0.030995522,0.0018981892
30700161747.0,64.0,0.028755158,0.00014135973
22641002417.0,64.0,0.7474617,0.0025401826
22641002386.0,64.0,0.0,0.0
22641002387.0,64.0,0.74858135,0.0035444146
30700161748.0,64.0,0.7985543,0.00050708145
30700161749.0,64.0,0.031394478,0.0019069489
30700161750.0,64.0,0.79609287,0.0024452412
30700161751.0,64.0,0.02922925,0.00015239928
22641002421.0,64.0,0.74751383,0.002534999
22641002390.0,64.0,0.746449,0.0032337469
22641002391.0,64.0,0.0,0.0
30700161752.0,64.0,0.7991225,0.0005173184
22641002425.0,64.0,0.7515943,0.0026378816
30700161753.0,64.0,0.7976425,0.003751315
30700161754.0,64.0,0.031969324,0.0018983163
22641002426.0,64.0,0.75106156,0.0032610118
30700161755.0,64.0,0.029749,0.00014255982
22641002427.0,64.0,0.0,0.0
30700161756.0,64.0,0.7954668,0.00047130152
22641002429.0,64.0,0.75168616,0.0026335956
30700161758.0,64.0,0.7931183,0.003906901
30700161757.0,64.0,0.03240095,0.0019026168
30700161759.0,64.0,0.030254606,0.00015016257
22641002430.0,64.0,0.0,0.0
22641002431.0,64.0,0.7533092,0.0036010477
30700161760.0,64.0,0.7960881,0.0004667091
22641002433.0,64.0,0.75180876,0.0025993777
30700161761.0,64.0,0.03289841,0.001894439
30700161762.0,64.0,0.7937048,0.003901326
22641002434.0,64.0,0.7512635,0.0032762913
30700161763.0,64.0,0.03073688,0.0001349798
22641002435.0,64.0,0.0,0.0
30700161764.0,64.0,0.7966767,0.0004468831
22641002437.0,64.0,0.75172794,0.002603957
30700161765.0,64.0,0.033440463,0.0018937404
30700161766.0,64.0,0.79428196,0.0038985522
22641002470.0,64.0,0.0,0.0
30700161767.0,64.0,0.031212123,0.00013200806
31933350758.0,64.0,0.75309646,0.0058163353
22641002439.0,64.0,0.75347143,0.003554323
30700161768.0,64.0,0.79724467,0.00045297336
30700161769.0,64.0,0.033880454,0.001926941
30700161770.0,64.0,0.7949086,0.0038794535
22641002410.0,64.0,0.74685085,0.0032461875
30700161771.0,64.0,0.031713165,0.00016131932
22641002441.0,64.0,0.7478757,0.0025370615
22641002411.0,64.0,0.0,0.0
30700161772.0,64.0,0.79806703,0.00084728963
30700161773.0,64.0,0.79649955,0.004529631
30700161774.0,64.0,0.03445921,0.0019097666
22641002414.0,64.0,0.0,0.0
30700161775.0,64.0,0.032217953,0.00015100834
22641002445.0,64.0,0.74787647,0.0025117702
22641002415.0,64.0,0.749065,0.003574497
