,access#,line_AVF_average,line_AVF_std
24884927581.0,56.0,0.51547885,0.18864961
24884927564.0,9.0,0.5161286,0.21403535
24884927579.0,7.0,0.53047264,0.27761433
24884927580.0,7.0,0.5305603,0.27760786
24884927587.0,10.0,0.5311813,0.1992185
24884927589.0,9.0,0.5204758,0.20821635
24884927565.0,8.0,0.5185088,0.20085596
24884927578.0,6.0,0.55316615,0.29642576
24884927576.0,6.0,0.5896257,0.29566988
24884927563.0,22.0,0.5998071,0.114112735
24884927584.0,7.0,0.5583947,0.23047003
24884927588.0,54.0,0.6091082,0.0931228
24884927577.0,9.0,0.5633977,0.15314548
24884927551.0,50.0,0.63703114,0.004701536
24884927554.0,32.0,0.63257366,0.0037576822
24884927590.0,1.0,0.6278149,0.0
24884927591.0,1.0,0.6278288,0.0
24884927592.0,2.0,0.6278961,1.7819091e-05
24884927593.0,16.0,0.62802494,9.20273e-05
24884927594.0,2.0,0.6307739,0.0038048285
24884927595.0,3.0,0.62981784,0.0027790754
24884927596.0,4.0,0.62821513,7.653724e-06
24884927597.0,6.0,0.63022286,0.0016717652
24884927598.0,5.0,0.6301548,0.0015035084
24884927599.0,6.0,0.6304232,0.0017144671
24884927600.0,5.0,0.63034606,0.0015787316
24884927601.0,27.0,0.6312111,0.0023990008
24884927602.0,11.0,0.638141,0.0077281194
24884927603.0,6.0,0.63042444,0.0016909521
24884927605.0,5.0,0.6303767,0.0015490649
24884927604.0,5.0,0.6301939,0.0014740356
24884927606.0,11.0,0.63569444,0.0061577274
24884927607.0,6.0,0.6302516,0.0016287776
24884927608.0,10.0,0.6331036,0.0036554735
24884927609.0,5.0,0.630212,0.0014633967
24884927610.0,5.0,0.6304049,0.0015261158
24884927611.0,10.0,0.6375528,0.007618864
24884927613.0,5.0,0.63024306,0.0014396511
24884927612.0,6.0,0.6304986,0.0016600061
24884927614.0,2.0,0.63801146,0.007255269
24884927615.0,4.0,0.6329274,2.8437717e-05
24884927616.0,9.0,0.6366912,0.005619063
24884927618.0,4.0,0.6412669,0.0055346354
24884927617.0,4.0,0.6330147,5.2839214e-06
24884927619.0,5.0,0.63338864,0.00017997519
24884927620.0,11.0,0.6367811,0.0038948131
24884927621.0,11.0,0.6367591,0.0038626555
24884927622.0,7.0,0.63444495,0.0027994206
24884927555.0,1.0,0.63344055,0.0
24884927573.0,56.0,0.6394689,0.0046410244
24884927623.0,6.0,0.63379824,4.1469888e-05
24884927624.0,6.0,0.63413966,2.4424568e-05
24884927625.0,5.0,0.6341321,4.3610685e-06
24884927626.0,6.0,0.6341453,3.617932e-05
24884927627.0,2.0,0.63423884,2.6516504e-05
24884927628.0,3.0,0.63435626,0.00015067929
24884927629.0,13.0,0.6344563,0.00012884305
24884927630.0,1.0,0.634358,0.0
24884927631.0,6.0,0.63529724,0.0009402144
24884927632.0,18.0,0.63611436,0.00043320408
24884927633.0,1.0,0.6344774,0.0
24884927634.0,1.0,0.63457525,0.0
24884927635.0,5.0,0.6357912,0.00035080037
24884927575.0,32.0,0.6356998,0.00022587438
24884927636.0,6.0,0.6362507,0.0022801694
24884927637.0,5.0,0.63535637,2.0150075e-05
24884927638.0,6.0,0.63544124,1.0928177e-05
24884927639.0,6.0,0.6354837,6.393377e-06
24884927640.0,6.0,0.63553685,1.1452849e-05
24884927641.0,6.0,0.6355921,6.6981383e-06
24884927642.0,6.0,0.63565075,1.757719e-05
24884927643.0,1.0,0.63572663,0.0
24884927644.0,3.0,0.63617283,0.00026400655
24884927645.0,1.0,0.6360343,0.0
24884927646.0,13.0,0.6363861,6.2644096e-05
24884927647.0,1.0,0.63712054,0.0
24884927648.0,6.0,0.6372477,1.6180855e-05
24884927649.0,6.0,0.64109707,0.0008021132
24884927650.0,4.0,0.64078003,6.152828e-06
24884927557.0,2.0,0.64223105,0.0018047839
24884927552.0,2.0,0.6411562,6.998236e-05
24884927550.0,4.0,0.6411373,1.5413916e-05
24884927567.0,9.0,0.64168906,0.00041362003
24884927569.0,1.0,0.64279383,0.0
24884927651.0,1.0,0.6429904,0.0
24884927652.0,3.0,0.6441754,0.0007792645
24884927568.0,1.0,0.6434347,0.0
gmean,,0.62203455,0.03279926
