,access#,line_AVF_average,line_AVF_std
34094639489.0,1.0,0.048644952,0.0
34094639469.0,1.0,0.059219748,0.0
34094639490.0,1.0,0.059450492,0.0
34094639491.0,1.0,0.059687126,0.0
34094639470.0,2.0,0.066747434,0.007276254
34094639492.0,1.0,0.072174974,0.0
34094639493.0,1.0,0.07897153,0.0
34094639494.0,1.0,0.087232746,0.0
34094639495.0,1.0,0.087458804,0.0
34094639471.0,1.0,0.08768546,0.0
34094639472.0,1.0,0.08850178,0.0
34094639496.0,1.0,0.095611565,0.0
34094639474.0,1.0,0.103107445,0.0
34094639497.0,1.0,0.10914504,0.0
34094639475.0,1.0,0.10945995,0.0
52584053132.0,2.0,0.13041817,0.01863629
34094639498.0,1.0,0.16518967,0.0
34094639480.0,20.0,0.17081732,0.0006818117
34094639499.0,21.0,0.17733583,0.0071977642
34094639385.0,36.0,0.49882227,0.24698633
34094639389.0,27.0,0.49309656,0.25095353
34094639500.0,1.0,0.16977258,0.0
34094639478.0,2.0,0.43540272,0.3756151
34094639501.0,1.0,0.16984424,0.0
34094639502.0,1.0,0.16991808,0.0
34094639503.0,6.0,0.17766814,0.00753643
34094639421.0,1.0,0.17018597,0.0
34094639383.0,13.0,0.32870883,0.12975612
34094639419.0,2.0,0.1868708,0.02350119
34094639486.0,2.0,0.17731944,0.009955442
34094639504.0,2.0,0.17047171,0.00021469175
34094639505.0,1.0,0.17034805,0.0
34094639422.0,13.0,0.4590891,0.26131877
34094639506.0,7.0,0.17042862,2.0761572e-06
34094639507.0,18.0,0.18017222,0.006750928
34094639302.0,12.0,0.23272425,0.08391397
34094639508.0,1.0,0.17123015,0.0
34094639319.0,4.0,0.33895114,0.11310359
34094639509.0,1.0,0.17130025,0.0
34094639454.0,10.0,0.17218086,7.6319855e-05
34094639341.0,9.0,0.20063168,0.077111155
34094639329.0,1.0,0.17238592,0.0
34094639337.0,15.0,0.21231374,0.08222169
34094639318.0,12.0,0.20566814,0.07697939
34094639510.0,1.0,0.17285196,0.0
34094639391.0,13.0,0.5088663,0.23631105
34094639511.0,1.0,0.18369827,0.0
34094639512.0,2.0,0.43207672,0.3512588
34094639513.0,1.0,0.18372725,0.0
34094639481.0,1.0,0.18373723,0.0
34094639514.0,1.0,0.18375671,0.0
34094639405.0,3.0,0.25728488,0.11132837
34094639515.0,1.0,0.18381743,0.0
34094639516.0,1.0,0.18386072,0.0
34094639517.0,1.0,0.18393828,0.0
34094639518.0,9.0,0.18868785,0.0075110146
34094639418.0,1.0,0.18438701,0.0
34094639519.0,8.0,0.18469813,0.0001421118
34094639520.0,1.0,0.18446818,0.0
34094639521.0,8.0,0.18454027,4.6857617e-06
34094639522.0,10.0,0.27827376,0.09803758
34094639523.0,4.0,0.34240603,0.106157556
34094639524.0,3.0,0.18532811,1.4868925e-05
34094639525.0,13.0,0.20288812,0.00050435873
34094639406.0,1.0,0.20232964,0.0
34094639526.0,1.0,0.20253393,0.0
34094639402.0,2.0,0.29389477,0.12920238
34094639527.0,3.0,0.27001193,0.11677516
34094639528.0,2.0,0.30373657,0.14304085
34094639529.0,2.0,0.20265849,1.0542962e-05
34094639530.0,2.0,0.2941146,0.1291614
34094639531.0,13.0,0.31801444,0.079817705
34094639532.0,2.0,0.20302343,1.0535891e-05
34094639404.0,2.0,0.55387473,0.4961719
34094639533.0,1.0,0.20305626,0.0
34094639534.0,1.0,0.2031301,0.0
34094639535.0,5.0,0.20365937,0.0003593133
34094639536.0,27.0,0.29608214,0.083936214
34094639537.0,1.0,0.20352869,0.0
34094639538.0,7.0,0.20377524,0.00010792477
34094639539.0,2.0,0.28650072,0.1172424
34094639540.0,7.0,0.20367259,4.9488203e-06
34094639541.0,8.0,0.20426382,0.00033402178
34094639542.0,3.0,0.5436051,0.35140938
34094639543.0,2.0,0.36885977,1.9049457e-05
34094639544.0,1.0,0.3689045,0.0
34094639545.0,1.0,0.36893395,0.0
34094639546.0,1.0,0.3689652,0.0
34094639547.0,1.0,0.36900514,0.0
34094639548.0,1.0,0.3690061,0.0
34094639549.0,1.0,0.36909473,0.0
34094639550.0,11.0,0.39025876,0.013811839
34094639551.0,3.0,0.36979634,0.0007397533
34094639552.0,1.0,0.36948177,0.0
34094639553.0,1.0,0.36952183,0.0
34094639554.0,2.0,0.36995175,0.0005683936
34094639555.0,1.0,0.36957797,0.0
34094639556.0,19.0,0.40735197,0.060049973
34094639557.0,10.0,0.37306565,0.0062620607
34094639558.0,11.0,0.3707573,0.0006506869
34094639559.0,1.0,0.37053728,0.0
34094639560.0,1.0,0.3705653,0.0
34094639317.0,8.0,0.37075067,3.6506186e-05
34094639561.0,1.0,0.3710269,0.0
24884927551.0,11.0,0.3712761,0.0002512831
52584053131.0,3.0,0.3714824,0.0006453625
34094639345.0,2.0,0.37119764,6.788225e-07
34094639562.0,5.0,0.37140208,4.3010677e-05
34094639563.0,1.0,0.3714201,0.0
34094639301.0,1.0,0.37149212,0.0
34094639564.0,6.0,0.37215552,0.00012641845
34094639299.0,5.0,0.3721605,9.546188e-05
34094639296.0,2.0,0.372152,3.1975367e-05
34094639468.0,1.0,0.37581697,0.0
34094639565.0,17.0,0.3891437,0.007624352
34094639566.0,1.0,0.3852728,0.0
34094639567.0,2.0,0.38532776,1.9021172e-05
34094639568.0,1.0,0.38565877,0.0
34094639409.0,1.0,0.38567692,0.0
34094639410.0,1.0,0.38573873,0.0
34094639569.0,29.0,0.39907154,0.009265233
34094639570.0,1.0,0.38613614,0.0
34094639571.0,1.0,0.38617617,0.0
34094639572.0,18.0,0.38671392,0.00025686977
34094639573.0,12.0,0.49885935,0.122651786
34094639574.0,19.0,0.50255513,0.095496856
34094639575.0,3.0,0.503421,0.17078106
34094639477.0,1.0,0.40482533,0.0
34094639576.0,2.0,0.5527756,0.20909235
34094639577.0,1.0,0.40498683,0.0
34094639578.0,1.0,0.40532374,0.0
34094639579.0,1.0,0.40536377,0.0
34094639580.0,14.0,0.63612944,0.12289438
34094639581.0,7.0,0.40551165,6.7552323e-06
34094639582.0,25.0,0.48790047,0.052225716
34094639583.0,12.0,0.43502852,0.050631788
34094639343.0,1.0,0.40616003,0.0
34094639584.0,3.0,0.40664378,0.0007381791
34094639300.0,26.0,0.40744367,0.00049928966
34094639374.0,4.0,0.40653974,0.0002429911
34094639373.0,11.0,0.40654373,0.0001428568
34094639307.0,2.0,0.40741035,0.0013647161
34094639585.0,2.0,0.4066005,0.00012131831
34094639586.0,1.0,0.40655416,0.0
34094639587.0,3.0,0.40659657,1.5340052e-05
34094639452.0,1.0,0.40672395,0.0
34094639588.0,6.0,0.40747774,0.0007893364
34094639589.0,4.0,0.40736422,0.000822832
34094639590.0,2.0,0.40774673,0.0011971388
34094639305.0,1.0,0.4069273,0.0
34094639591.0,8.0,0.40773952,0.0009886415
34094639592.0,2.0,0.4077485,0.0010564388
34094639593.0,3.0,0.40710685,3.0072395e-05
34094639594.0,3.0,0.40724298,3.7379385e-05
34094639304.0,1.0,0.4072583,0.0
34094639595.0,1.0,0.40728873,0.0
34094639596.0,8.0,0.40830633,0.0011751183
34094639303.0,2.0,0.4083127,6.717514e-07
34094639451.0,5.0,0.40845442,0.00012353068
34094639597.0,2.0,0.40853733,1.8710045e-05
34094639598.0,3.0,0.40859953,3.1080548e-05
34094639295.0,1.0,0.516134,0.0
34094639599.0,2.0,0.61015844,0.1288939
34094639600.0,2.0,0.61016595,0.12888464
34094639601.0,2.0,0.6102464,0.128877
34094639602.0,14.0,0.5543014,0.06819964
34094639603.0,1.0,0.51949406,0.0
34094639604.0,1.0,0.5195341,0.0
34094639605.0,1.0,0.5195632,0.0
34094639606.0,3.0,0.51962936,6.9930325e-06
34094639607.0,2.0,0.69037694,0.014034224
34094639608.0,1.0,0.68049425,0.0
34094639609.0,1.0,0.6805801,0.0
34094639610.0,14.0,0.6850725,0.008124938
