,access#,line_AVF_average,line_AVF_std
24884927818.0,22.0,0.56750005,0.31870732
24884927691.0,12.0,0.47980818,0.3189172
24884927851.0,27.0,0.56807816,0.25885415
24884927684.0,20.0,0.44673494,0.28075868
24884927856.0,26.0,0.7158187,0.2329649
24884927703.0,21.0,0.5047666,0.28932863
24884927719.0,35.0,0.48949832,0.28650054
24884927692.0,16.0,0.38675284,0.34411424
24884927678.0,40.0,0.5121051,0.3240588
24884928052.0,9.0,0.5168935,0.39009032
24884927830.0,38.0,0.5672349,0.3012953
12954821054.0,30.0,0.6307335,0.26044944
24884927815.0,21.0,0.6355729,0.32486373
24884927670.0,30.0,0.70965487,0.25394177
24884927822.0,29.0,0.55360997,0.3252754
16355950049.0,36.0,0.64933926,0.27253184
30700161794.0,1.0,0.027926292,0.0
30700161792.0,4.0,0.028038349,1.1224929e-05
30700161795.0,64.0,0.028198522,8.8925255e-05
24884927755.0,31.0,0.700375,0.1897353
24884927913.0,40.0,0.53988266,0.20622161
24884927814.0,34.0,0.71721864,0.18235162
24884927916.0,18.0,0.44545105,0.32801113
24884927921.0,35.0,0.69860625,0.25828448
24884927917.0,34.0,0.7167184,0.20111738
24884927915.0,26.0,0.56808907,0.26192462
16355950053.0,25.0,0.5750544,0.301427
12954821134.0,8.0,0.527532,0.25580177
22641002438.0,31.0,0.61517465,0.2846378
16355950046.0,20.0,0.46020746,0.26029545
22641002273.0,10.0,0.47656584,0.30262738
16355949907.0,16.0,0.5766367,0.28226674
22641002346.0,4.0,0.15994832,0.1200069
24884927885.0,20.0,0.63608176,0.25270048
16355949998.0,2.0,0.028851511,0.0010060312
16355949911.0,7.0,0.67000365,0.3145578
24884927768.0,1.0,0.02817791,0.0
34094639294.0,14.0,0.47561657,0.2927085
30700161684.0,2.0,0.19620022,0.23761483
31933350764.0,36.0,0.58500814,0.29109895
22641002293.0,4.0,0.5979696,0.24957393
22641002365.0,5.0,0.45080456,0.443371
12954820931.0,7.0,0.51434827,0.35625005
30700161634.0,13.0,0.38437554,0.2529715
24884927787.0,11.0,0.51701844,0.31768492
47200594414.0,20.0,0.45414087,0.22173285
24884927904.0,12.0,0.63726205,0.22462967
16355949864.0,19.0,0.52888614,0.2652071
24884928011.0,3.0,0.57064044,0.24954471
24884927739.0,12.0,0.42502487,0.24464804
16355949853.0,34.0,0.62984234,0.20179512
24884927775.0,4.0,0.5879141,0.09889487
16355949961.0,24.0,0.58490616,0.22278965
24884927981.0,20.0,0.4856532,0.28595656
24884927982.0,11.0,0.30522442,0.2740659
24884927983.0,18.0,0.41440594,0.27070186
12954821061.0,23.0,0.64660615,0.16782515
24884927989.0,27.0,0.45259333,0.26937562
24884927984.0,7.0,0.39398494,0.31221804
24884927985.0,20.0,0.6049715,0.24900593
12954820996.0,30.0,0.66238534,0.22366245
12954821034.0,14.0,0.62836415,0.30578732
12954820962.0,35.0,0.6417456,0.27871418
30700161796.0,64.0,0.02843951,3.640169e-05
24884927994.0,17.0,0.43922973,0.2680642
16355949958.0,21.0,0.48604888,0.24923222
16355950011.0,12.0,0.4200704,0.33693883
16355949939.0,25.0,0.52039427,0.27966443
16355950059.0,37.0,0.62100166,0.27758732
24884927936.0,15.0,0.6680122,0.2892771
24884927907.0,21.0,0.55497795,0.2951656
12954820934.0,13.0,0.46751952,0.3312767
24884927980.0,20.0,0.42948738,0.25631636
16355949962.0,21.0,0.41286665,0.27359667
24884927690.0,30.0,0.6180271,0.28634933
24884928023.0,28.0,0.54008937,0.33521813
30700161797.0,64.0,0.028542394,3.044122e-05
16355950021.0,15.0,0.4867255,0.33765647
22641002233.0,11.0,0.5388168,0.21672519
16355950051.0,19.0,0.5950238,0.30386445
30700161798.0,64.0,0.028697172,4.59838e-05
24884927956.0,6.0,0.40080714,0.18987474
24884927693.0,7.0,0.2677429,0.20339292
24884927740.0,12.0,0.56870353,0.3401145
24884927668.0,21.0,0.4637423,0.34780028
16355949813.0,5.0,0.075154126,0.0391097
24884927744.0,33.0,0.7207649,0.18250854
24884928055.0,29.0,0.5764,0.31897756
24884927895.0,17.0,0.5526018,0.15559039
24884927798.0,10.0,0.33051506,0.2634887
16355949854.0,5.0,0.21903867,0.28054035
24884927754.0,10.0,0.5438307,0.31953767
24884927745.0,14.0,0.52641827,0.27121034
24884927676.0,16.0,0.37003055,0.27855623
16355949966.0,18.0,0.4389949,0.32216987
24884927712.0,16.0,0.33666214,0.28366745
24884927700.0,21.0,0.5592408,0.29978803
16355949821.0,24.0,0.51171815,0.1988511
30700161799.0,64.0,0.028871153,5.6288496e-05
16355949861.0,25.0,0.4525094,0.2953704
24884927774.0,12.0,0.4321659,0.25618908
16355949879.0,17.0,0.3450512,0.29240263
16355949873.0,18.0,0.40513432,0.2705202
24884927705.0,15.0,0.44864607,0.25870538
12954821117.0,15.0,0.4954468,0.32268912
16355949877.0,25.0,0.6368014,0.24614424
16355949868.0,26.0,0.58450985,0.28136912
