,access#,line_AVF_average,line_AVF_std
24884927827.0,64.0,0.1806601,0.07326891
24884927828.0,64.0,0.1806784,0.07326804
24884927829.0,64.0,0.18069828,0.07326858
24884927830.0,64.0,0.18071835,0.07326729
24884927831.0,64.0,0.18073764,0.07326827
24884927832.0,64.0,0.18075736,0.073266745
24884927833.0,64.0,0.18077676,0.07326734
24884927834.0,64.0,0.18079698,0.07326614
24884927835.0,64.0,0.1808155,0.073266305
24884927836.0,64.0,0.18083628,0.07326615
24884927837.0,64.0,0.18085538,0.07326556
24884927775.0,43.0,0.14004673,0.048970398
24884927776.0,43.0,0.14006454,0.048970554
24884927777.0,43.0,0.14007044,0.048970554
24884927778.0,43.0,0.14007634,0.048970554
24884927779.0,43.0,0.1400825,0.048970334
24884927780.0,43.0,0.1400884,0.04897033
24884927781.0,43.0,0.14009461,0.048970457
24884927782.0,43.0,0.14010084,0.048971005
24884927783.0,43.0,0.14010674,0.048971005
24884927784.0,43.0,0.14011264,0.048971005
24884927785.0,43.0,0.14012018,0.048971042
24884927639.0,14.0,0.08394045,0.016760021
24884927811.0,50.0,0.15396051,0.057089973
24884927645.0,36.0,0.12656876,0.04120178
24884927646.0,28.0,0.11079677,0.031821296
24884927812.0,50.0,0.1539889,0.057097495
24884927650.0,14.0,0.08398045,0.016762564
24884927653.0,36.0,0.12661299,0.041205566
24884927659.0,28.0,0.11083684,0.031821936
24884927813.0,50.0,0.15403226,0.05709327
24884927661.0,14.0,0.08401031,0.016760413
24884927664.0,36.0,0.12665685,0.04120856
24884927814.0,50.0,0.15406954,0.057106413
24884927665.0,28.0,0.110875316,0.03182061
24884927676.0,36.0,0.12668794,0.041216996
24884927677.0,28.0,0.110905446,0.03182273
24884927673.0,14.0,0.08405841,0.016762806
24884927815.0,50.0,0.1541202,0.05710755
24884927684.0,14.0,0.084095344,0.016761225
24884927687.0,36.0,0.12673391,0.041216593
24884927688.0,28.0,0.11094915,0.03181864
24884927816.0,50.0,0.15414968,0.057110876
24884927695.0,14.0,0.08411977,0.016762326
24884927699.0,28.0,0.110982925,0.031820647
24884927698.0,36.0,0.12677729,0.04121987
24884927817.0,50.0,0.1542065,0.05711661
24884927709.0,36.0,0.12680942,0.0412264
24884927710.0,28.0,0.11101847,0.03181848
24884927707.0,14.0,0.08417285,0.016762434
24884927818.0,50.0,0.15423661,0.057116378
24884927716.0,14.0,0.08420252,0.016759386
24884927718.0,28.0,0.11105064,0.03181509
24884927721.0,36.0,0.12685595,0.04122899
24884927819.0,50.0,0.15428646,0.057122834
24884927728.0,14.0,0.08424492,0.016760381
24884927731.0,36.0,0.12689368,0.04122814
24884927732.0,28.0,0.1110981,0.031814706
24884927738.0,14.0,0.08426984,0.016757239
24884927742.0,28.0,0.11111712,0.03181387
24884927820.0,50.0,0.15431345,0.057116736
24884927743.0,36.0,0.12692879,0.041236557
24884927821.0,50.0,0.15435356,0.05712921
24884927750.0,14.0,0.084311776,0.016760381
24884927753.0,36.0,0.1269659,0.041234538
24884927754.0,28.0,0.11116639,0.031813547
24884927838.0,64.0,0.18206362,0.07329583
24884927839.0,64.0,0.1820696,0.07329332
24884927756.0,29.0,0.11311842,0.0329683
24884927823.0,57.0,0.1683204,0.06538287
24884927758.0,15.0,0.08630382,0.017877858
24884927759.0,7.0,0.070306234,0.0086545665
24884927840.0,64.0,0.18208924,0.07329302
24884927760.0,29.0,0.11313361,0.032967757
24884927824.0,57.0,0.1683337,0.06538029
24884927766.0,29.0,0.113142684,0.03296669
24884927825.0,57.0,0.16834213,0.065379895
24884927763.0,15.0,0.08633917,0.017889552
24884927770.0,29.0,0.11315173,0.03296597
24884927826.0,57.0,0.16834867,0.06538034
24884927764.0,7.0,0.07032313,0.008638458
24884927768.0,15.0,0.08635073,0.017885858
24884927769.0,7.0,0.070338905,0.008635297
24884927773.0,15.0,0.08636095,0.017880598
24884927841.0,64.0,0.18209861,0.07329005
24884927774.0,7.0,0.07035405,0.0086298855
24884927786.0,64.0,0.09465375,0.077755526
24884927787.0,43.0,0.14088589,0.04900482
24884927788.0,45.0,0.13462995,0.056165006
24884927789.0,57.0,0.10629125,0.07446578
24884927790.0,43.0,0.1409036,0.04900482
24884927791.0,43.0,0.14090951,0.04900482
24884927792.0,52.0,0.116535775,0.0698274
24884927793.0,43.0,0.14093289,0.049004816
24884927794.0,64.0,0.09469325,0.07777938
24884927795.0,43.0,0.14094469,0.04900482
24884927796.0,64.0,0.094701186,0.07778417
24884927797.0,47.0,0.1289602,0.061427396
24884927798.0,43.0,0.1409624,0.04900482
24884927799.0,50.0,0.12123274,0.067080766
24884927800.0,47.0,0.1289764,0.06143063
24884927801.0,43.0,0.14098011,0.04900482
24884927802.0,43.0,0.14098601,0.04900482
24884927803.0,43.0,0.14099193,0.04900482
24884927804.0,43.0,0.14099783,0.04900482
24884927805.0,57.0,0.10637123,0.074503615
24884927806.0,62.0,0.097797,0.07712858
24884927807.0,43.0,0.14101554,0.04900481
24884927808.0,50.0,0.1212884,0.06709748
24884927809.0,43.0,0.14103892,0.04900481
24884927810.0,58.0,0.104567714,0.07517148
24884927842.0,64.0,0.20968555,0.07351689
24884927843.0,64.0,0.209692,0.07351484
24884927844.0,64.0,0.20970143,0.07351263
24884927845.0,64.0,0.2097089,0.07351265
24884927564.0,36.0,0.39307714,0.21667375
24884927572.0,34.0,0.4255479,0.2603964
24884927563.0,6.0,0.4414123,0.27888343
24884927846.0,64.0,0.2368821,0.07399823
24884927847.0,64.0,0.2369202,0.07400182
24884927848.0,64.0,0.23696762,0.074003786
24884927849.0,64.0,0.23701358,0.07400617
24884927850.0,64.0,0.23705758,0.07401168
24884927851.0,64.0,0.23710479,0.074014395
24884927852.0,64.0,0.23715006,0.074014924
24884927853.0,64.0,0.23719007,0.07401866
24884927854.0,64.0,0.23723258,0.07401842
24884927855.0,64.0,0.23727354,0.07401807
24884927856.0,64.0,0.23732659,0.074021265
24884927857.0,64.0,0.24129225,0.0741108
24884927858.0,64.0,0.24129593,0.07410822
24884927859.0,64.0,0.24131939,0.07410567
24884927860.0,64.0,0.24134731,0.07410745
24884927822.0,3.0,0.5806166,0.4137241
24884927861.0,64.0,0.29244098,0.073972136
24884927862.0,64.0,0.29249218,0.073970385
24884927863.0,64.0,0.29253694,0.07397469
24884927864.0,64.0,0.2925871,0.073972754
24884927865.0,64.0,0.29263714,0.0739728
24884927866.0,64.0,0.2926764,0.07396737
24884927867.0,64.0,0.29273072,0.073968634
24884927868.0,64.0,0.29275376,0.07396707
24884927869.0,64.0,0.29281107,0.07396453
24884927870.0,64.0,0.29284233,0.073966265
24884927871.0,64.0,0.29290268,0.07396386
24884927872.0,64.0,0.29688177,0.07398983
24884927873.0,64.0,0.2968855,0.07398908
24884927874.0,64.0,0.2968941,0.07399088
24884927875.0,64.0,0.2969013,0.07399136
24884927876.0,64.0,0.3242781,0.07433663
24884927877.0,64.0,0.32432637,0.07433742
24884927878.0,64.0,0.3243786,0.07433573
24884927879.0,64.0,0.3244231,0.07433925
24884927880.0,64.0,0.32447386,0.07434072
24884927881.0,64.0,0.32452485,0.07434055
24884927882.0,64.0,0.32456487,0.07434297
24884927883.0,64.0,0.32461917,0.074342296
24884927884.0,64.0,0.3246533,0.074340075
24884927885.0,64.0,0.32470578,0.074340425
24884927886.0,64.0,0.32473165,0.074338846
24884927887.0,64.0,0.352067,0.07411235
24884927888.0,64.0,0.35208446,0.07411235
24884927889.0,64.0,0.3520922,0.07410921
24884927890.0,64.0,0.35209832,0.074109025
24884927891.0,64.0,0.3521044,0.07410923
24884927892.0,64.0,0.35211048,0.074109115
24884927893.0,64.0,0.35211638,0.074109115
24884927894.0,64.0,0.35212255,0.07410871
24884927895.0,64.0,0.3521278,0.07410939
24884927896.0,64.0,0.3521337,0.07410939
24884927897.0,64.0,0.3521403,0.07410971
24884927898.0,64.0,0.35296497,0.07411451
24884927899.0,64.0,0.35297087,0.07411451
24884927900.0,64.0,0.35297677,0.07411451
24884927901.0,64.0,0.35298267,0.07411451
24884927902.0,64.0,0.35298857,0.07411451
24884927903.0,64.0,0.35299456,0.07411437
24884927904.0,64.0,0.3530121,0.07411421
24884927905.0,64.0,0.35301805,0.07411421
24884927906.0,64.0,0.35302395,0.07411421
24884927907.0,64.0,0.35302994,0.07411406
24884927908.0,64.0,0.35303593,0.07411391
24884927909.0,64.0,0.35304192,0.07411376
24884927910.0,64.0,0.3530479,0.07411361
24884927911.0,64.0,0.3530539,0.07411346
24884927912.0,64.0,0.3530599,0.07411331
24884927913.0,64.0,0.35306588,0.07411315
24884927914.0,64.0,0.35307187,0.074113004
24884927915.0,64.0,0.35307777,0.074113
24884927916.0,64.0,0.35308367,0.074113
24884927917.0,64.0,0.35308957,0.074113
24884927918.0,64.0,0.35309547,0.074113
24884927919.0,64.0,0.35310137,0.074113
24884927920.0,64.0,0.35311887,0.074113
24884927921.0,64.0,0.35312477,0.074113
24884927922.0,64.0,0.35313067,0.074113
24884927923.0,64.0,0.38008857,0.07419018
24884927924.0,64.0,0.3801165,0.074189536
24884927925.0,64.0,0.38016987,0.074191056
24884927926.0,64.0,0.38020518,0.074184686
24884927927.0,64.0,0.38027483,0.07418842
24884927928.0,64.0,0.38030294,0.07418336
24884927929.0,64.0,0.3803679,0.07418734
24884927930.0,64.0,0.38040072,0.07418282
24884927931.0,64.0,0.38045552,0.07418534
24884927932.0,64.0,0.3804882,0.074182875
24884927933.0,64.0,0.38052252,0.07418459
24884927934.0,64.0,0.40848237,0.07453298
24884927935.0,64.0,0.40848655,0.07453254
24884927936.0,64.0,0.4085077,0.07453306
24884927937.0,64.0,0.4085144,0.07453288
24884927938.0,64.0,0.43498346,0.07432675
24884927939.0,64.0,0.43500248,0.07432602
24884927940.0,64.0,0.43502164,0.07432634
24884927941.0,64.0,0.43504283,0.07432739
24884927942.0,64.0,0.43506187,0.07432661
24884927943.0,64.0,0.43508214,0.074326456
24884927944.0,64.0,0.43510196,0.0743257
24884927945.0,64.0,0.43512222,0.074326806
24884927946.0,64.0,0.43514186,0.07432526
24884927947.0,64.0,0.43516168,0.07432615
24884927948.0,64.0,0.4351816,0.07432506
24884927949.0,64.0,0.43641925,0.07431032
24884927950.0,64.0,0.43642542,0.07431139
24884927951.0,64.0,0.43643403,0.07431069
24884927952.0,64.0,0.43645987,0.07430714
24884927953.0,64.0,0.4644113,0.0742883
24884927954.0,64.0,0.46441722,0.074288495
24884927955.0,64.0,0.4644279,0.07428501
24884927956.0,64.0,0.46443626,0.074282974
24884927957.0,64.0,0.49187028,0.07459932
24884927958.0,64.0,0.49191165,0.07460012
24884927959.0,64.0,0.4919611,0.07459925
24884927960.0,64.0,0.49200922,0.07459946
24884927961.0,64.0,0.4920579,0.07459756
24884927962.0,64.0,0.49210674,0.07459762
24884927963.0,64.0,0.4921528,0.07459763
24884927964.0,64.0,0.49219668,0.074596584
24884927965.0,64.0,0.49223927,0.074596755
24884927966.0,64.0,0.49228093,0.07459598
24884927967.0,64.0,0.49232647,0.0745965
24884927968.0,64.0,0.49634984,0.07467048
24884927969.0,64.0,0.49635577,0.07466993
24884927970.0,64.0,0.4963649,0.07466757
24884927971.0,64.0,0.49637365,0.07466762
24884927972.0,64.0,0.5479172,0.07438985
24884927973.0,64.0,0.5479693,0.07438915
24884927974.0,64.0,0.54801136,0.07438613
24884927975.0,64.0,0.5480632,0.07438654
24884927976.0,64.0,0.5481132,0.07438665
24884927977.0,64.0,0.5481551,0.074387416
24884927978.0,64.0,0.54820806,0.074385256
24884927979.0,64.0,0.5482293,0.07438627
24884927980.0,64.0,0.54828584,0.074383795
24884927981.0,64.0,0.5483177,0.074387915
24884927982.0,64.0,0.54837817,0.07438603
24884927983.0,64.0,0.5523721,0.07440555
24884927984.0,64.0,0.5523866,0.07440534
24884927985.0,64.0,0.55239385,0.07440396
24884927986.0,64.0,0.55240124,0.0744043
24884927987.0,64.0,0.5799414,0.07474027
24884927988.0,64.0,0.5799891,0.07474223
24884927989.0,64.0,0.5800426,0.07474209
24884927990.0,64.0,0.58008516,0.07474421
24884927991.0,64.0,0.5801365,0.07474333
24884927992.0,64.0,0.5801855,0.07474455
24884927993.0,64.0,0.5802285,0.07474897
24884927994.0,64.0,0.5802828,0.07474922
24884927995.0,64.0,0.58032006,0.07474741
24884927996.0,64.0,0.58037126,0.074747294
24884927997.0,64.0,0.58039784,0.074745886
24884927998.0,64.0,0.6078735,0.074544296
24884927999.0,64.0,0.6078798,0.07454406
24884928000.0,64.0,0.6078977,0.07454337
24884928001.0,64.0,0.60790384,0.074543454
24884928002.0,64.0,0.60790956,0.0745437
24884928003.0,64.0,0.60791546,0.07454371
24884928004.0,64.0,0.6079225,0.07454234
24884928005.0,64.0,0.60792863,0.07454223
24884928006.0,64.0,0.60793376,0.07454317
24884928007.0,64.0,0.60793966,0.07454318
24884928008.0,64.0,0.607947,0.074541904
24884928009.0,64.0,0.60876423,0.074545674
24884928010.0,64.0,0.60877025,0.07454552
24884928011.0,64.0,0.6087762,0.07454536
24884928012.0,64.0,0.60878223,0.07454521
24884928013.0,64.0,0.6087882,0.074545056
24884928014.0,64.0,0.6087942,0.07454491
24884928015.0,64.0,0.6088002,0.07454475
24884928016.0,64.0,0.60881776,0.0745446
24884928017.0,64.0,0.60882366,0.0745446
24884928018.0,64.0,0.60882956,0.0745446
24884928019.0,64.0,0.6088356,0.07454445
24884928020.0,64.0,0.60884154,0.074544296
24884928021.0,64.0,0.60884756,0.07454415
24884928022.0,64.0,0.6088535,0.07454397
24884928023.0,64.0,0.60885954,0.07454381
24884928024.0,64.0,0.6088655,0.07454366
24884928025.0,64.0,0.6088715,0.07454351
24884928026.0,64.0,0.6088775,0.07454336
24884928027.0,64.0,0.6088834,0.07454336
24884928028.0,64.0,0.6088893,0.07454336
24884928029.0,64.0,0.60889524,0.074543364
24884928030.0,64.0,0.60890114,0.07454336
24884928031.0,64.0,0.60890704,0.074543364
24884928032.0,64.0,0.6089245,0.07454336
24884928033.0,64.0,0.6089304,0.074543364
24884928034.0,64.0,0.63602513,0.07458524
24884928035.0,64.0,0.63605654,0.074580826
24884928036.0,64.0,0.63610345,0.07458546
24884928037.0,64.0,0.636146,0.07457586
24884928038.0,64.0,0.6362088,0.074582115
24884928039.0,64.0,0.6362424,0.074582316
24884928040.0,64.0,0.6363057,0.07458163
24884928041.0,64.0,0.6363406,0.07458601
24884928042.0,64.0,0.6363958,0.074581884
24884928043.0,64.0,0.6364256,0.07458708
24884928044.0,64.0,0.63646704,0.074579015
24884928045.0,64.0,0.6645318,0.074823745
24884928046.0,64.0,0.66453755,0.074823
24884928047.0,64.0,0.66454524,0.07482456
24884928048.0,64.0,0.6645643,0.074824415
24884928049.0,64.0,0.69108546,0.07451626
24884928050.0,64.0,0.691104,0.07451665
24884928051.0,64.0,0.69112337,0.074514955
24884928052.0,64.0,0.69114226,0.07451545
24884928053.0,64.0,0.6911623,0.074514106
24884928054.0,64.0,0.6911814,0.074514516
24884928055.0,64.0,0.6912016,0.07451383
24884928056.0,64.0,0.6912207,0.074513905
24884928057.0,64.0,0.6912405,0.07451385
24884928058.0,64.0,0.69126,0.07451303
24884928059.0,64.0,0.69127953,0.07451317
24884928060.0,64.0,0.6925258,0.0744936
24884928061.0,64.0,0.6925314,0.074493855
24884928062.0,64.0,0.69253874,0.07449444
52584053131.0,64.0,0.69256395,0.07449392
52584053132.0,64.0,0.7205503,0.07430217
52584053133.0,64.0,0.72055614,0.07430359
52584053134.0,64.0,0.72056705,0.07430636
52584053135.0,64.0,0.7205754,0.0743055
52584053136.0,64.0,0.7480372,0.074481055
52584053137.0,64.0,0.74807733,0.07448043
52584053138.0,64.0,0.748121,0.07447679
52584053139.0,64.0,0.7481673,0.07447544
52584053140.0,64.0,0.74821526,0.07447478
52584053141.0,64.0,0.74826413,0.07447324
52584053142.0,64.0,0.7483117,0.074473165
52584053143.0,64.0,0.7483556,0.07447046
52584053144.0,64.0,0.7483985,0.0744711
52584053145.0,64.0,0.74843967,0.07446904
52584053146.0,64.0,0.74848515,0.07446752
52584053147.0,64.0,0.75249225,0.0745274
52584053148.0,64.0,0.75250024,0.074526034
52584053149.0,64.0,0.75251305,0.07452797
52584053150.0,64.0,0.75252473,0.074526496
52584053151.0,64.0,0.8046232,0.07513816
52584053152.0,64.0,0.80466485,0.0751361
52584053153.0,64.0,0.80470985,0.07513406
52584053154.0,64.0,0.80475914,0.07513453
52584053155.0,64.0,0.80481005,0.07513293
52584053156.0,64.0,0.80484796,0.075129
52584053157.0,64.0,0.8049037,0.075129196
52584053158.0,64.0,0.8049266,0.07513016
52584053159.0,64.0,0.80498326,0.07512907
52584053160.0,64.0,0.8050147,0.07513101
52584053161.0,64.0,0.80507386,0.07513157
52584053162.0,64.0,0.8091635,0.07529029
52584053163.0,64.0,0.80916864,0.07529068
52584053164.0,64.0,0.8091813,0.07529131
52584053165.0,64.0,0.80918837,0.07529114
52584053166.0,64.0,0.837429,0.07651395
52584053167.0,64.0,0.8374781,0.07651578
52584053168.0,64.0,0.83752215,0.07651671
52584053169.0,64.0,0.8375646,0.07651838
52584053170.0,64.0,0.83761615,0.076519355
52584053171.0,64.0,0.8376667,0.07651849
52584053172.0,64.0,0.8377061,0.07652179
52584053173.0,64.0,0.8377614,0.07652367
52584053174.0,64.0,0.8377988,0.07652469
52584053175.0,64.0,0.83785224,0.07652639
52584053176.0,64.0,0.8378792,0.07652819
52584053177.0,64.0,0.86613244,0.0771184
52584053178.0,64.0,0.8661386,0.077118374
52584053179.0,64.0,0.8661445,0.07711838
52584053180.0,64.0,0.8661506,0.077118665
52584053181.0,64.0,0.86615604,0.07711937
52584053182.0,64.0,0.86616194,0.07711938
52584053183.0,64.0,0.866168,0.07711934
52584053184.0,64.0,0.8661861,0.07711858
52584053185.0,64.0,0.866192,0.07711912
52584053186.0,64.0,0.8661979,0.07711913
52584053187.0,64.0,0.8662047,0.077119105
52584053188.0,64.0,0.86702174,0.0771409
52584053189.0,64.0,0.86702764,0.0771409
52584053190.0,64.0,0.86703354,0.0771409
52584053191.0,64.0,0.86703944,0.0771409
52584053192.0,64.0,0.86704534,0.07714089
52584053193.0,64.0,0.86705136,0.07714075
52584053194.0,64.0,0.8670573,0.0771406
52584053195.0,64.0,0.86706334,0.07714045
52584053196.0,64.0,0.8670693,0.0771403
52584053197.0,64.0,0.8670753,0.07714015
52584053198.0,64.0,0.8670813,0.07714
52584053199.0,64.0,0.8670873,0.077139854
52584053200.0,64.0,0.8671049,0.077139705
52584053201.0,64.0,0.8671108,0.077139705
52584053202.0,64.0,0.8671167,0.077139705
52584053203.0,64.0,0.86712265,0.07713956
52584053204.0,64.0,0.8671287,0.07713941
52584053205.0,64.0,0.8671346,0.07713941
