,access#,line_AVF_average,line_AVF_std
19513637271.0,5.0,0.062352754,0.048120596
29305824596.0,15.0,0.14610952,0.25916937
29305824685.0,8.0,0.009446617,0.01009886
29305824437.0,15.0,0.23546027,0.111934595
19513636894.0,12.0,0.034665428,0.02836415
23796184857.0,4.0,0.06585254,0.07327063
19513637274.0,9.0,0.032890208,0.027558422
19513637275.0,6.0,0.11548938,0.14209945
19513637276.0,3.0,0.019024385,1.3824714e-05
19513637277.0,7.0,0.32870454,0.2115352
19513637278.0,21.0,0.037026905,0.028970193
19513637279.0,6.0,0.0602355,0.028637847
19513637280.0,4.0,0.106472224,0.032496966
23796185017.0,5.0,0.05868092,0.120811656
19513637281.0,12.0,0.21387379,0.16834949
19513637282.0,3.0,0.019183844,1.1743083e-05
19513637283.0,1.0,0.019201925,0.0
19513637284.0,21.0,0.03427056,0.02727162
26144142549.0,5.0,0.036715303,0.036327727
55614027517.0,6.0,0.028887244,0.016110536
1518296732.0,8.0,0.050308052,0.03168266
29305824556.0,8.0,0.056353237,0.029464666
55614027315.0,7.0,0.10914151,0.0683283
19513637193.0,6.0,0.105251595,0.07502573
55614027317.0,2.0,0.87683624,0.16893168
19513637285.0,2.0,0.46274543,0.6271072
19513637286.0,1.0,0.68899584,0.0
22641002290.0,61.0,0.385663,0.26431316
19513637287.0,3.0,0.33045965,0.41225624
19513637288.0,2.0,0.027408134,0.011396824
40979728867.0,4.0,0.004841591,0.009683182
19513637289.0,5.0,0.12930186,0.12578405
19513637290.0,3.0,0.01942687,1.312593e-05
29305824366.0,3.0,0.3623064,0.4554308
19513637291.0,2.0,0.098066956,0.11116935
19513637292.0,1.0,0.0194734,0.0
19513637293.0,17.0,0.03426653,0.027310677
23796184961.0,4.0,0.009766514,0.0112774
19513637294.0,6.0,0.04040552,0.03217066
19513637295.0,7.0,0.13462295,0.1037002
19513637296.0,3.0,0.019588381,1.0890836e-05
19513637297.0,3.0,0.13815463,0.20531775
16355949862.0,6.0,0.040917765,0.032605413
19513637298.0,4.0,0.112957545,0.06330417
23796185329.0,7.0,0.18492916,0.07497571
19513637299.0,5.0,0.6617924,0.3589462
19513637300.0,6.0,0.11363861,0.087568104
34094639349.0,49.0,0.16915818,0.17201138
19513637301.0,2.0,0.53760314,0.22475761
19513637302.0,4.0,0.23661138,0.14456391
16355949865.0,56.0,0.2204609,0.18877107
16355949866.0,60.0,0.3210394,0.237798
19513637304.0,2.0,0.06235741,0.060198892
19513637303.0,2.0,0.01979762,5.547253e-06
19513637305.0,1.0,0.019794269,0.0
19513637306.0,1.0,0.019805482,0.0
19513637307.0,1.0,0.0198274,0.0
19513637308.0,17.0,0.030853769,0.024485948
19513637309.0,5.0,0.1023046,0.12002528
47200594448.0,6.0,0.00993843,0.010887007
19513637310.0,6.0,0.47674313,0.23392817
19513637311.0,4.0,0.020022597,3.1124313e-05
19513637312.0,4.0,0.020227559,0.00015612374
19513637023.0,5.0,0.016006475,0.008947894
29305824378.0,4.0,0.010010667,0.011559323
40979728794.0,3.0,0.49340886,0.46996233
29305824824.0,18.0,0.0045094183,0.008681172
29305824813.0,9.0,0.0022300882,0.006690265
19513637313.0,4.0,0.020161426,0.00014300694
19513637314.0,3.0,0.020304192,0.0003485938
40979728448.0,15.0,0.0069190306,0.010156971
34094639314.0,60.0,0.309472,0.24065842
19513637315.0,1.0,0.074034385,0.0
19513637317.0,1.0,0.64915305,0.0
19513637316.0,1.0,0.23838232,0.0
19513637318.0,1.0,0.64914656,0.0
19513637319.0,5.0,0.020332472,2.6577785e-05
19513637320.0,6.0,0.096386336,0.11747266
12954820942.0,6.0,0.09071248,0.08894807
19513637321.0,25.0,0.021024946,0.00039648305
19513637322.0,1.0,0.020398196,0.0
4034322.0,16.0,0.004003143,0.008611638
40979728453.0,20.0,0.18701221,0.33020252
19513637323.0,8.0,0.13129383,0.065171205
19513637324.0,6.0,0.39129516,0.22199056
19513637325.0,5.0,0.27949002,0.14781362
19513637326.0,1.0,0.49394566,0.0
19513637327.0,7.0,0.5081131,0.30637196
19513637328.0,1.0,0.22470284,0.0
16355949911.0,56.0,0.1929053,0.12852159
47200594433.0,60.0,0.31083873,0.2673535
23796184967.0,41.0,0.42415088,0.2959828
19513637329.0,2.0,0.23907423,0.3089796
19513637330.0,1.0,0.020577217,0.0
19513637331.0,1.0,0.020577755,0.0
19513637332.0,1.0,0.020588327,0.0
19513637333.0,2.0,0.41041356,0.55129534
19513637334.0,1.0,0.020590045,0.0
19712750973.0,4.0,0.020655312,2.2218996e-05
19513637335.0,4.0,0.02085593,0.00014461769
19513637336.0,1.0,0.020647954,0.0
66146203478.0,19.0,0.0065928507,0.009970656
40979728469.0,13.0,0.0047823456,0.009087856
19513637337.0,6.0,0.23853463,0.10733232
19513637338.0,4.0,0.23216091,0.07915742
19513637339.0,1.0,0.7179099,0.0
19513637340.0,5.0,0.6427151,0.34767446
19513637341.0,8.0,0.7638081,0.22861399
19513637342.0,2.0,0.6815215,0.051481545
19513637343.0,4.0,0.020941678,2.3363105e-05
64966366569.0,4.0,0.021099662,0.00011810467
64966366570.0,2.0,0.22691938,0.29130688
64966366571.0,12.0,0.022103526,0.00079890824
40979728492.0,9.0,0.009664603,0.01148816
40979728484.0,7.0,0.003005296,0.007951266
64966366572.0,4.0,0.021172877,2.3010114e-05
64966366573.0,5.0,0.021396417,0.00013558017
64966366574.0,4.0,0.35715777,0.3879653
1518296733.0,15.0,0.0071089095,0.0104067465
40979728503.0,10.0,0.010879986,0.011493716
47200594487.0,3.0,0.38413137,0.41104463
23796185064.0,4.0,0.29529276,0.24051857
64966366575.0,1.0,0.807639,0.0
64966366576.0,1.0,0.6187093,0.0
64966366577.0,2.0,0.34998256,0.17621385
64966366578.0,1.0,0.8726239,0.0
64966366579.0,2.0,0.7772256,0.13491116
64966366580.0,1.0,0.8726326,0.0
64966366581.0,2.0,0.44702345,0.60190266
55614027402.0,2.0,0.42608643,0.5723045
64966366582.0,5.0,0.021478139,2.4621268e-05
64966366583.0,4.0,0.021698363,0.00016220089
64966366584.0,2.0,0.021468662,2.357494e-06
64966366585.0,19.0,0.022311304,0.00038550116
40979728506.0,14.0,0.009576824,0.011500747
64966366586.0,6.0,0.27669483,0.12776667
64966366587.0,6.0,0.23692966,0.10878953
34094639348.0,39.0,0.09608314,0.08660371
64966366588.0,3.0,0.2410767,0.19008775
30700161562.0,61.0,0.29220635,0.22303772
64966366589.0,5.0,0.3436144,0.18021645
64966366590.0,3.0,0.51389617,0.3931806
64966366591.0,7.0,0.40039086,0.025468396
64966366592.0,1.0,0.4783146,0.0
64966366593.0,5.0,0.8023037,0.24471354
64966366594.0,1.0,0.47832188,0.0
64966366595.0,3.0,0.09055106,0.022985242
26144142541.0,52.0,0.47743684,0.25597143
64966366596.0,1.0,0.021714834,0.0
64966366597.0,1.0,0.021726048,0.0
64966366598.0,5.0,0.02179791,2.234731e-05
64966366599.0,4.0,0.021954132,0.00011927315
64966366600.0,2.0,0.021791164,1.9091883e-07
40979728531.0,10.0,0.011442123,0.012086562
40979728521.0,13.0,0.0068998155,0.010785867
64966366601.0,4.0,0.022020813,2.1049198e-05
2631670712.0,4.0,0.022286616,0.00018420417
2631670713.0,2.0,0.022018079,5.4984625e-06
61706707305.0,18.0,0.0049405373,0.00951125
40979728532.0,5.0,0.008837797,0.012101651
29305824521.0,8.0,0.028905712,0.01927177
55614027516.0,6.0,0.053771496,0.03967111
2631670714.0,5.0,0.27452108,0.030680612
2631670715.0,5.0,0.1611096,0.07107015
2631670716.0,4.0,0.20374708,0.12105054
2631670717.0,6.0,0.72413373,0.34482995
2631670718.0,4.0,0.28343424,0.17674914
2631670719.0,1.0,0.0446116,0.0
2631670720.0,6.0,0.31876102,0.15962659
2631670721.0,6.0,0.46783188,0.21648636
2631670722.0,1.0,0.022285867,0.0
2631670723.0,1.0,0.022297079,0.0
2631670724.0,2.0,0.5982136,0.4377035
2631670725.0,2.0,0.27449396,0.02012105
2631670726.0,4.0,0.022388263,2.215398e-05
2631670727.0,5.0,0.022576299,0.00011495986
2631670728.0,3.0,0.36936766,0.30050084
40979728537.0,14.0,0.006547442,0.010752271
23796184897.0,6.0,0.0228708,0.018731287
2631670729.0,2.0,0.07097489,0.06846899
2631670730.0,4.0,0.12028775,0.08622651
2631670731.0,1.0,0.022564918,0.0
2631670732.0,1.0,0.5863266,0.0
2631670734.0,2.0,0.14120907,0.16777378
2631670733.0,1.0,0.022577915,0.0
2631670735.0,4.0,0.022645017,2.285569e-05
2631670736.0,5.0,0.02281234,0.0001032992
2631670737.0,2.0,0.022640556,2.4048702e-06
40979728430.0,14.0,0.009768068,0.011705228
40979728543.0,14.0,0.009981423,0.011972853
2631670738.0,1.0,0.022834811,0.0
2631670739.0,10.0,0.3213426,0.31443202
2631670740.0,1.0,0.022862252,0.0
2631670741.0,3.0,0.02288058,5.7947054e-06
2631670742.0,9.0,0.02306098,0.00012085303
40979728565.0,7.0,0.013216767,0.01236344
40979728555.0,11.0,0.008494742,0.011793783
2631670743.0,5.0,0.023109425,1.9477775e-05
2631670744.0,8.0,0.52371573,0.3580975
2631670745.0,2.0,0.023102585,1.9091883e-07
40979728442.0,10.0,0.006941684,0.011177174
40979728586.0,11.0,0.0043499647,0.009683575
29305824385.0,6.0,0.0038710362,0.009482063
47200594584.0,3.0,0.10688125,0.16499962
29305824387.0,5.0,0.018968906,0.030815864
23796185016.0,5.0,0.082830355,0.17186418
2631670746.0,6.0,0.41013262,0.43400538
29305824580.0,9.0,0.013893262,0.013180572
2631670747.0,1.0,0.02481521,0.0
2631670748.0,1.0,0.02484413,0.0
2631670749.0,1.0,0.024849584,0.0
2631670750.0,1.0,0.02485588,0.0
40979728885.0,10.0,0.004972927,0.010483851
2631670751.0,5.0,0.08230417,0.12840784
2631670752.0,3.0,0.59028417,0.48964533
2631670753.0,12.0,0.02754471,0.0012466097
2631670754.0,2.0,0.026345935,0.002025641
2631670755.0,18.0,0.027267067,0.0012937735
29305824470.0,8.0,0.0031201288,0.008825057
2631670756.0,6.0,0.19392765,0.261362
40979728630.0,16.0,0.006299806,0.011269561
2631670757.0,6.0,0.025118457,3.746205e-06
2631670758.0,25.0,0.7306888,0.35986874
40979728766.0,6.0,0.01730422,0.013461616
40979728755.0,9.0,0.005591242,0.011094777
47200594585.0,8.0,0.003148146,0.008904302
2631670759.0,5.0,0.025436018,9.373672e-05
19712750901.0,2.0,0.012640933,0.017876979
2631670760.0,23.0,0.025825545,0.00038273554
40979728770.0,16.0,0.011483968,0.013483623
2631670761.0,4.0,0.025628004,0.00010084759
40979728647.0,13.0,0.0039241766,0.009578796
2631670762.0,2.0,0.025535917,2.4055773e-06
40979728783.0,15.0,0.008721601,0.012787961
47200594666.0,8.0,0.0031987594,0.009047458
2631670763.0,6.0,0.16027988,0.20816115
40979728661.0,19.0,0.006816775,0.011719478
2631670764.0,10.0,0.37435418,0.4489869
40979728805.0,5.0,0.010370161,0.014200385
40979728795.0,13.0,0.006175137,0.011754942
47200594634.0,5.0,0.025119256,0.01509826
47200594587.0,8.0,0.029011892,0.018899152
2631670765.0,7.0,0.13021468,0.046539698
2631670766.0,8.0,0.47909483,0.1747504
