,access#,line_AVF_average,line_AVF_std
30700161639.0,21.0,0.041289296,0.0055820206
30700161653.0,15.0,0.03508393,0.00029246107
24884927876.0,11.0,0.11036535,0.24454172
24884927887.0,1.0,0.03514286,0.0
24884927939.0,2.0,0.44400117,0.5779806
30700161655.0,21.0,0.04587351,0.009220732
30700161656.0,64.0,0.036603794,0.00090317015
24884927591.0,26.0,0.15665719,0.07388289
24884927663.0,37.0,0.3877489,0.21135978
30700161657.0,64.0,0.03948513,0.0008462994
30700161658.0,3.0,0.040859185,0.00088315114
30700161659.0,64.0,0.044540882,0.0026966727
30700161660.0,13.0,0.0474686,0.0030829152
30700161661.0,10.0,0.04798625,1.6499383e-05
30700161662.0,10.0,0.049354427,0.0004863299
30700161663.0,64.0,0.049756665,0.0010729592
24884927633.0,20.0,0.23342681,0.11504218
30700161664.0,64.0,0.08209397,0.017995756
24884927561.0,12.0,0.19411087,0.13993402
30700161647.0,32.0,0.08921545,0.09703149
52584053163.0,14.0,0.11434024,0.2089308
30700161665.0,7.0,0.299761,0.10708408
30700161666.0,36.0,0.13397627,0.1726689
30700161667.0,64.0,0.058960613,0.00091971364
30700161668.0,10.0,0.25461674,0.2791797
30700161646.0,21.0,0.05702414,3.8730523e-06
30700161669.0,64.0,0.061823305,0.00095834513
30700161670.0,64.0,0.06778009,0.0024039517
22641002222.0,12.0,0.14547937,0.22197862
30700161671.0,3.0,0.06974234,0.0017836799
30700161672.0,64.0,0.07145729,0.0009494721
12954821125.0,2.0,0.4642119,0.5553921
30700161673.0,1.0,0.07163338,0.0
30700161562.0,21.0,0.08561455,0.009523558
30700161674.0,64.0,0.07689765,0.0026543299
12954820933.0,13.0,0.08033071,0.0020129706
30700161675.0,64.0,0.08111603,0.00082318834
30700161676.0,64.0,0.08466169,0.0021423232
30700161618.0,8.0,0.08434018,1.0877919e-05
24884927810.0,13.0,0.090794295,0.0030437035
24884927671.0,9.0,0.25845814,0.3347772
30700161677.0,64.0,0.091535024,0.001007795
30700161678.0,56.0,0.1331126,0.007753215
30700161679.0,63.0,0.1444182,0.07020832
30700161680.0,5.0,0.5116075,0.2688469
30700161681.0,64.0,0.09903369,0.0025772303
30700161682.0,11.0,0.1027832,0.0022607893
24884928050.0,2.0,0.46761495,0.51958174
30700161683.0,64.0,0.10298598,0.0008406986
30700161684.0,64.0,0.10599464,0.0012360902
30700161685.0,14.0,0.11274487,0.0031998244
30700161686.0,64.0,0.11265361,0.00080128066
30700161687.0,2.0,0.12997074,0.025793955
30700161688.0,1.0,0.11190116,0.0
30700161689.0,21.0,0.12289275,0.009515552
30700161690.0,64.0,0.11555056,0.00089007657
30700161691.0,64.0,0.14376514,0.01796704
30700161692.0,64.0,0.12187419,0.0019865134
24884927812.0,14.0,0.17562033,0.19346061
30700161693.0,64.0,0.12543608,0.0010824918
30700161694.0,10.0,0.19721112,0.2295229
30700161695.0,3.0,0.13055658,0.0038988977
