,access#,line_AVF_average,line_AVF_std
24884927607.0,9.0,0.065991834,0.009803573
24884927594.0,35.0,0.52470696,0.2817735
24884927599.0,35.0,0.52494055,0.2817597
24884927578.0,35.0,0.52636933,0.28174126
24884927608.0,1.0,0.055174924,0.0
24884927577.0,25.0,0.3705195,0.20404488
24884927565.0,44.0,0.13340904,0.05425357
24884927566.0,23.0,0.07925403,0.014399364
24884927567.0,4.0,0.070282914,0.013032755
24884927552.0,39.0,0.14650331,0.06095605
24884927553.0,22.0,0.07731401,0.014714841
24884927587.0,50.0,0.14908129,0.051089793
24884927588.0,17.0,0.07399123,0.011007079
24884927589.0,1.0,0.060461637,0.0
24884927595.0,46.0,0.14263585,0.05156532
24884927596.0,17.0,0.074180864,0.01100053
24884927597.0,1.0,0.060556337,0.0
24884927598.0,10.0,0.1854665,0.08610246
24884927569.0,28.0,0.12881169,0.06112981
24884927570.0,15.0,0.07398349,0.011204112
24884927611.0,18.0,0.53350264,0.29351044
24884927606.0,20.0,0.14454736,0.03958052
24884927602.0,6.0,0.10209528,0.048384313
24884927603.0,4.0,0.073184855,3.2431242e-05
24884927604.0,18.0,0.12890707,0.037356
24884927605.0,4.0,0.07489005,1.588302e-05
24884927617.0,1.0,0.075324334,0.0
24884927609.0,13.0,0.11857547,0.03941403
24884927610.0,2.0,0.0789456,3.9739402e-06
24884927574.0,2.0,0.09833576,2.5484129e-05
24884927623.0,58.0,0.21885538,0.078200795
24884927622.0,56.0,0.21511027,0.07658729
24884927614.0,63.0,0.18524484,0.06755719
24884927615.0,56.0,0.1624258,0.044904377
24884927624.0,64.0,0.19004147,0.06802528
24884927582.0,2.0,0.12833185,0.03971874
24884927616.0,25.0,0.1550498,0.023314646
24884927620.0,27.0,0.175684,0.05315823
24884927625.0,58.0,0.28178632,0.07051231
24884927626.0,30.0,0.24251282,0.07155672
24884927627.0,64.0,0.29065377,0.06375044
24884927628.0,64.0,0.29749703,0.067688726
24884927619.0,18.0,0.16354166,0.038333524
24884927621.0,27.0,0.2310034,0.059914563
24884927629.0,23.0,0.2792923,0.048344772
24884927630.0,58.0,0.30562043,0.045508012
24884927631.0,29.0,0.27930495,0.03856941
24884927632.0,28.0,0.31261972,0.04828425
24884927633.0,15.0,0.6030287,0.24370515
24884927634.0,58.0,0.30784687,0.04304792
24884927635.0,64.0,0.40356988,0.0778179
24884927636.0,58.0,0.37258464,0.082808785
24884927637.0,30.0,0.34254304,0.06857326
24884927638.0,28.0,0.3979463,0.057061568
24884927639.0,64.0,0.4158948,0.07835405
24884927640.0,25.0,0.38424832,0.049955036
24884927641.0,59.0,0.44124833,0.04833335
24884927642.0,16.0,0.467229,0.07595686
24884927643.0,23.0,0.4959041,0.07899879
24884927644.0,29.0,0.42392084,0.04281736
24884927645.0,25.0,0.6705449,0.19853544
24884927647.0,59.0,0.44594097,0.044020545
24884927646.0,58.0,0.53365225,0.076529235
24884927648.0,64.0,0.4870718,0.07866946
24884927649.0,58.0,0.53378844,0.076530635
24884927650.0,58.0,0.47017977,0.065095924
24884927651.0,64.0,0.5032619,0.085422516
24884927652.0,28.0,0.4391914,0.023250991
