,access#,line_AVF_average,line_AVF_std
51624359201.0,64.0,0.03197441,0.005788261
16355950177.0,62.0,0.0,0.0
51624359202.0,64.0,0.033206403,7.497286e-05
16355950178.0,64.0,0.0,0.0
51624359203.0,64.0,0.03345883,7.52132e-05
16355950179.0,64.0,0.0,0.0
51624359204.0,64.0,0.033711508,7.674785e-05
16355950180.0,64.0,0.0,0.0
51624359205.0,64.0,0.0339621,7.607075e-05
16355950181.0,64.0,0.0,0.0
51624359206.0,64.0,0.0342156,7.517441e-05
16355950214.0,64.0,0.0,0.0
51624359207.0,64.0,0.034468018,7.6086355e-05
16355950215.0,64.0,0.0,0.0
51624359208.0,64.0,0.03472034,7.482862e-05
16355950248.0,64.0,0.0,0.0
51624359209.0,64.0,0.034973755,7.552524e-05
16355950185.0,64.0,0.0,0.0
51624359210.0,64.0,0.0352251,7.668824e-05
16355950186.0,64.0,0.0,0.0
51624359211.0,64.0,0.035477377,7.5706936e-05
16355950187.0,64.0,0.0,0.0
51624359212.0,64.0,0.035730034,7.566789e-05
16355950220.0,64.0,0.0,0.0
51624359213.0,64.0,0.035981793,7.544023e-05
16355950189.0,64.0,0.0,0.0
51624359214.0,64.0,0.036234498,7.521336e-05
16355950222.0,64.0,0.0,0.0
51624359215.0,64.0,0.036485855,7.437991e-05
16355950191.0,64.0,0.0,0.0
51624359216.0,64.0,0.036744535,7.4527736e-05
16355950192.0,64.0,0.0,0.0
51624359217.0,64.0,0.036995318,7.561851e-05
16355950161.0,64.0,0.0,0.0
51624359218.0,64.0,0.03724827,7.546007e-05
16355950162.0,64.0,0.0,0.0
51624359219.0,64.0,0.03750159,7.739897e-05
16355950195.0,64.0,0.0,0.0
51624359220.0,64.0,0.03775234,7.888778e-05
16355950196.0,35.0,0.0,0.0
51624359221.0,64.0,0.03800449,7.683469e-05
16355950228.0,64.0,0.0,0.0
16355950197.0,64.0,0.0,0.0
51624359222.0,64.0,0.038257286,7.511882e-05
16355950198.0,64.0,0.0,0.0
51624359223.0,64.0,0.038510084,7.5016316e-05
16355950199.0,63.0,0.0,0.0
16355950231.0,64.0,0.0,0.0
51624359224.0,64.0,0.03876272,7.6418786e-05
16355950200.0,64.0,0.0,0.0
51624359225.0,64.0,0.039014675,7.82518e-05
16355950265.0,64.0,0.0,0.0
51624359226.0,64.0,0.03926612,7.8156976e-05
16355950202.0,64.0,0.0,0.0
16355950233.0,7.0,0.0,0.0
51624359227.0,64.0,0.039518762,7.675424e-05
16355950203.0,64.0,0.0,0.0
51624359228.0,64.0,0.0397708,7.561842e-05
16355950172.0,63.0,0.0,0.0
51624359229.0,64.0,0.040023588,7.534262e-05
16355950204.0,64.0,0.0,0.0
16355950205.0,64.0,0.0,0.0
51624359230.0,64.0,0.040276796,7.739909e-05
16355950206.0,62.0,0.0,0.0
16355950238.0,64.0,0.0,0.0
51624359231.0,64.0,0.040527362,7.9041994e-05
16355950207.0,64.0,0.0,0.0
51624359232.0,64.0,0.0407794,7.635772e-05
16355950208.0,64.0,0.0,0.0
51624359233.0,64.0,0.04103199,7.5013115e-05
16355950209.0,64.0,0.0,0.0
51624359234.0,64.0,0.041284766,7.5075775e-05
16355950210.0,64.0,0.0,0.0
51624359235.0,64.0,0.04153739,7.658019e-05
16355950211.0,64.0,0.0,0.0
51624359236.0,64.0,0.041788574,7.72475e-05
16355950212.0,64.0,0.0,0.0
51624359237.0,64.0,0.04204127,7.679194e-05
16355950213.0,64.0,0.0,0.0
51624359238.0,64.0,0.042293143,7.661165e-05
16355950246.0,64.0,0.0,0.0
51624359239.0,64.0,0.042545844,7.597474e-05
16355950247.0,64.0,0.0,0.0
51624359240.0,64.0,0.042799015,7.540363e-05
16355950280.0,64.0,0.0,0.0
51624359241.0,64.0,0.04305204,7.6830955e-05
16355950217.0,64.0,0.0,0.0
51624359242.0,64.0,0.043303836,7.646052e-05
16355950218.0,64.0,0.0,0.0
51624359243.0,64.0,0.043556448,7.563586e-05
16355950219.0,64.0,0.0,0.0
51624359244.0,64.0,0.043808404,7.501312e-05
16355950252.0,64.0,0.0,0.0
51624359245.0,64.0,0.04406118,7.507569e-05
16355950221.0,64.0,0.0,0.0
51624359246.0,64.0,0.044313803,7.6580305e-05
16355950254.0,64.0,0.0,0.0
51624359247.0,64.0,0.044564944,7.750122e-05
16355950223.0,64.0,0.0,0.0
51624359248.0,64.0,0.044817705,7.634688e-05
16355950224.0,64.0,0.0,0.0
51624359249.0,64.0,0.045069717,7.668844e-05
16355950193.0,64.0,0.0,0.0
51624359250.0,64.0,0.045321945,7.562963e-05
16355950194.0,64.0,0.0,0.0
51624359251.0,64.0,0.045574695,7.558733e-05
16355950227.0,64.0,0.0,0.0
51624359252.0,64.0,0.04582682,7.560429e-05
51624359253.0,64.0,0.046079673,7.521323e-05
16355950260.0,64.0,0.0,0.0
16355950229.0,64.0,0.0,0.0
51624359254.0,64.0,0.046331663,7.553151e-05
16355950230.0,64.0,0.0,0.0
51624359255.0,64.0,0.046583634,7.496853e-05
16355950263.0,64.0,0.0,0.0
51624359256.0,64.0,0.046836443,7.517456e-05
16355950232.0,64.0,0.0,0.0
51624359257.0,64.0,0.047088344,7.57752e-05
16355950073.0,57.0,0.0,0.0
51624359258.0,64.0,0.04734108,7.606196e-05
16355950234.0,64.0,0.0,0.0
51624359259.0,64.0,0.047595363,7.441523e-05
16355950235.0,64.0,0.0,0.0
51624359260.0,64.0,0.047847964,7.5433396e-05
51624359261.0,64.0,0.048099395,7.560839e-05
16355950237.0,64.0,0.0,0.0
16355950236.0,64.0,0.0,0.0
51624359262.0,64.0,0.048349388,7.480208e-05
16355950270.0,64.0,0.0,0.0
51624359263.0,64.0,0.048601147,7.637579e-05
16355950239.0,64.0,0.0,0.0
51624359264.0,64.0,0.048852626,7.5172495e-05
16355950240.0,64.0,0.0,0.0
51624359265.0,64.0,0.0491067,7.6205644e-05
16355950241.0,64.0,0.0,0.0
51624359266.0,64.0,0.049359042,7.560822e-05
16355950242.0,64.0,0.0,0.0
51624359267.0,64.0,0.04961178,7.558731e-05
16355950243.0,64.0,0.0,0.0
51624359268.0,64.0,0.049863555,7.5547694e-05
16355950244.0,64.0,0.0,0.0
51624359269.0,64.0,0.05011549,7.418969e-05
16355950245.0,64.0,0.0,0.0
51624359270.0,64.0,0.050368845,7.4402444e-05
16355950278.0,64.0,0.0,0.0
51624359271.0,64.0,0.050620127,7.491272e-05
16355950279.0,64.0,0.0,0.0
51624359272.0,64.0,0.050873004,7.51112e-05
16355950312.0,64.0,0.0,0.0
51624359273.0,64.0,0.05112503,7.5893906e-05
16355950249.0,64.0,0.0,0.0
51624359274.0,64.0,0.051377144,7.512877e-05
16355950250.0,64.0,0.0,0.0
51624359275.0,64.0,0.05162994,7.4415126e-05
16355950251.0,64.0,0.0,0.0
51624359276.0,64.0,0.05188254,7.543329e-05
16355950284.0,64.0,0.0,0.0
51624359277.0,64.0,0.05213397,7.560827e-05
16355950253.0,64.0,0.0,0.0
51624359278.0,64.0,0.05238671,7.5587304e-05
16355950286.0,64.0,0.0,0.0
51624359279.0,64.0,0.052639764,7.824198e-05
16355950255.0,64.0,0.0,0.0
51624359280.0,64.0,0.052889127,7.578974e-05
16355950256.0,64.0,0.0,0.0
51624359281.0,64.0,0.053143773,7.440228e-05
16355950225.0,64.0,0.0,0.0
51624359282.0,64.0,0.053395182,7.503419e-05
16355950226.0,64.0,0.0,0.0
51624359283.0,64.0,0.05364821,7.5111e-05
16355950259.0,64.0,0.0,0.0
51624359284.0,64.0,0.053901095,7.652833e-05
51624359285.0,64.0,0.054153636,7.502935e-05
16355950068.0,29.0,0.0,0.0
16355950261.0,64.0,0.0,0.0
51624359286.0,64.0,0.054407425,7.474219e-05
16355950262.0,64.0,0.0,0.0
51624359287.0,64.0,0.054660253,7.543314e-05
51624359288.0,64.0,0.054911684,7.560814e-05
