,access#,line_AVF_average,line_AVF_std
34094639293.0,3.0,0.29231817,0.22692628
47200594504.0,2.0,0.036137354,5.1972347e-07
34094639291.0,3.0,0.18852524,0.22859892
47200594505.0,1.0,0.037008066,0.0
47200594506.0,1.0,0.037883654,0.0
24884927553.0,25.0,0.08477091,0.10111121
47200594507.0,2.0,0.038319517,5.218448e-07
47200594508.0,1.0,0.038541634,0.0
47200594509.0,1.0,0.039051812,0.0
47200594510.0,2.0,0.039539088,5.204306e-07
34094639301.0,14.0,0.22032776,0.23012756
47200594511.0,1.0,0.040080905,0.0
47200594512.0,2.0,0.040252525,5.190164e-07
34094639292.0,11.0,0.1013164,0.03422663
47200594513.0,2.0,0.040703427,6.570436e-06
34094639302.0,2.0,0.30770475,0.37731028
34094639294.0,16.0,0.34183258,0.26791635
47200594514.0,2.0,0.041533027,2.1266944e-05
34094639295.0,28.0,0.26972267,0.18435113
47200594515.0,2.0,0.041888185,5.218448e-07
47200594516.0,2.0,0.042257737,5.176022e-07
47200594517.0,2.0,0.042506292,6.5676077e-06
47200594518.0,2.0,0.042872764,5.1972347e-07
47200594519.0,2.0,0.043395083,5.1972347e-07
47200594520.0,1.0,0.04355199,0.0
47200594521.0,2.0,0.043804087,5.218448e-07
47200594522.0,2.0,0.043947566,5.218448e-07
47200594523.0,2.0,0.044520974,8.1289e-06
47200594524.0,2.0,0.04465305,6.4367932e-06
47200594525.0,1.0,0.04478471,0.0
47200594526.0,1.0,0.044950355,0.0
47200594527.0,2.0,0.045071483,5.176022e-07
47200594528.0,1.0,0.045553885,0.0
47200594529.0,1.0,0.04555462,0.0
47200594530.0,2.0,0.046020467,5.218448e-07
47200594531.0,1.0,0.04616468,0.0
47200594532.0,1.0,0.046302184,0.0
47200594533.0,2.0,0.046463963,5.176022e-07
47200594534.0,2.0,0.04658482,5.190164e-07
47200594535.0,2.0,0.047048915,5.190164e-07
47200594536.0,1.0,0.048029356,0.0
47200594537.0,1.0,0.04817881,0.0
47200594538.0,1.0,0.048405617,0.0
47200594539.0,2.0,0.048539396,6.4417427e-06
47200594540.0,2.0,0.048674688,6.569729e-06
47200594541.0,1.0,0.048843782,0.0
47200594542.0,1.0,0.048967484,0.0
47200594543.0,1.0,0.049386334,0.0
47200594544.0,1.0,0.04991941,0.0
47200594545.0,2.0,0.05007356,5.23259e-07
47200594546.0,2.0,0.050210692,5.1830926e-07
47200594547.0,1.0,0.050355643,0.0
47200594548.0,1.0,0.05079408,0.0
47200594549.0,1.0,0.050934434,0.0
47200594550.0,2.0,0.051073406,5.218448e-07
47200594551.0,2.0,0.051209204,6.438914e-06
47200594552.0,1.0,0.051856194,0.0
47200594553.0,2.0,0.051978517,5.204306e-07
47200594554.0,2.0,0.052110594,5.1972347e-07
47200594555.0,1.0,0.052277893,0.0
47200594556.0,1.0,0.052402608,0.0
47200594557.0,1.0,0.05286266,0.0
47200594558.0,2.0,0.053709827,5.190164e-07
47200594559.0,1.0,0.053844847,0.0
47200594560.0,1.0,0.053987864,0.0
47200594561.0,2.0,0.05415383,6.5669005e-06
47200594562.0,2.0,0.054281767,6.438207e-06
47200594563.0,2.0,0.05470903,5.190164e-07
47200594564.0,2.0,0.05522767,5.190164e-07
47200594565.0,1.0,0.055384118,0.0
47200594566.0,1.0,0.055524375,0.0
47200594567.0,2.0,0.0556645,6.569729e-06
47200594568.0,2.0,0.05610234,5.218448e-07
47200594569.0,2.0,0.056239102,5.1830926e-07
47200594570.0,1.0,0.056365293,0.0
47200594571.0,1.0,0.056495436,0.0
47200594572.0,1.0,0.057526916,0.0
47200594573.0,1.0,0.0578308,0.0
47200594574.0,38.0,0.102775894,0.1101376
24884927554.0,2.0,0.10984049,0.07347854
47200594575.0,1.0,0.057958458,0.0
47200594576.0,32.0,0.12956992,0.074465126
47200594577.0,2.0,0.0582731,5.23259e-07
24884927556.0,8.0,0.42468974,0.3184355
47200594578.0,2.0,0.05852442,3.0890667e-05
24884927550.0,16.0,0.065664396,0.02588189
47200594579.0,2.0,0.05994435,0.00077105965
47200594580.0,1.0,0.05977549,0.0
24884927557.0,4.0,0.32254195,0.29617944
47200594581.0,1.0,0.060109537,0.0
16355949820.0,22.0,0.19991095,0.11334267
16355949882.0,27.0,0.23692478,0.12378428
47200594582.0,1.0,0.061232902,0.0
47200594583.0,2.0,0.06193043,2.900552e-05
47200594584.0,3.0,0.06259068,1.7739854e-05
47200594585.0,1.0,0.06275231,0.0
47200594586.0,1.0,0.06295612,0.0
34094639289.0,8.0,0.10375429,0.03405288
34094639315.0,3.0,0.21824099,0.2681238
16355949885.0,8.0,0.06512687,0.0024419795
16355949886.0,8.0,0.06513156,0.0024419832
16355949891.0,6.0,0.47474498,0.45544967
16355949892.0,6.0,0.47474968,0.45544967
47200594587.0,1.0,0.064795226,0.0
47200594588.0,1.0,0.06607439,0.0
47200594589.0,2.0,0.06660365,2.178596e-05
47200594590.0,1.0,0.06716787,0.0
47200594591.0,1.0,0.067472026,0.0
47200594592.0,2.0,0.06825132,5.190164e-07
34094639308.0,4.0,0.32955065,0.1848759
47200594593.0,1.0,0.06958162,0.0
47200594594.0,1.0,0.0701549,0.0
47200594595.0,1.0,0.07065293,0.0
47200594596.0,1.0,0.071432225,0.0
47200594597.0,4.0,0.08561157,0.015359194
47200594598.0,1.0,0.072506934,0.0
47200594599.0,1.0,0.07271654,0.0
47200594600.0,1.0,0.073081955,0.0
47200594601.0,1.0,0.07333994,0.0
47200594602.0,2.0,0.074456684,5.161879e-07
47200594603.0,1.0,0.07461929,0.0
47200594604.0,1.0,0.075318106,0.0
47200594605.0,1.0,0.07580548,0.0
47200594606.0,2.0,0.07619315,1.9639183e-05
47200594607.0,1.0,0.07696821,0.0
47200594608.0,1.0,0.07772883,0.0
47200594609.0,1.0,0.07808284,0.0
47200594610.0,1.0,0.07937681,0.0
47200594611.0,1.0,0.080074705,0.0
47200594612.0,2.0,0.080458194,3.4273467e-05
47200594464.0,1.0,0.081131026,0.0
47200594613.0,1.0,0.08143702,0.0
47200594614.0,1.0,0.081736304,0.0
47200594615.0,1.0,0.082898945,0.0
47200594616.0,2.0,0.08415986,2.6721566e-05
47200594617.0,2.0,0.08452269,6.569729e-06
47200594618.0,1.0,0.08488042,0.0
47200594619.0,2.0,0.08587705,5.23259e-07
47200594620.0,2.0,0.08604214,5.23259e-07
47200594621.0,1.0,0.086616606,0.0
47200594622.0,2.0,0.08774531,5.190164e-07
47200594623.0,1.0,0.08855808,0.0
47200594624.0,2.0,0.08890969,5.161879e-07
24884927551.0,14.0,0.17503464,0.20845097
47200594625.0,1.0,0.08943312,0.0
47200594626.0,2.0,0.08982617,6.569022e-06
47200594627.0,1.0,0.090437464,0.0
47200594628.0,1.0,0.09120609,0.0
