,access#,line_AVF_average,line_AVF_std
24884927689.0,4.0,0.46732137,0.34669244
24884927700.0,4.0,0.46973696,0.34669313
24884927712.0,4.0,0.4721523,0.34669298
24884927557.0,4.0,0.47457072,0.34669194
24884927569.0,4.0,0.47700343,0.34670073
24884927580.0,4.0,0.4794176,0.34670067
24884927592.0,2.0,0.21328528,0.18991128
24884927604.0,4.0,0.4842558,0.34670427
24884927616.0,4.0,0.48667318,0.34670252
24884927626.0,4.0,0.4890895,0.34670278
24884927638.0,4.0,0.4915057,0.34670383
24884927649.0,4.0,0.49393845,0.34669417
24884927660.0,4.0,0.49635404,0.34669483
24884927674.0,4.0,0.49759868,0.3467055
24884927685.0,4.0,0.50001675,0.34670445
24884927697.0,4.0,0.50243473,0.3467064
24884927707.0,4.0,0.5048529,0.3467078
24884927552.0,4.0,0.50727,0.34670642
24884927565.0,4.0,0.5096906,0.3467077
24884927576.0,4.0,0.51210666,0.3467094
24884927588.0,4.0,0.5145406,0.3467
24884927599.0,4.0,0.5169572,0.34670085
24884927611.0,1.0,0.11655906,0.0
24884927622.0,4.0,0.5217983,0.3466959
24884927633.0,4.0,0.52422744,0.34669584
24884927644.0,4.0,0.52664685,0.34669548
24884927657.0,4.0,0.52906483,0.34669745
24884927668.0,1.0,0.12746175,0.0
24884927681.0,4.0,0.53270906,0.34669015
24884927692.0,4.0,0.53514177,0.3466817
24884927703.0,4.0,0.5375571,0.34668243
24884927715.0,4.0,0.5399731,0.34668118
24884927560.0,4.0,0.5423908,0.3466812
24884927572.0,4.0,0.5448091,0.34668276
24884927584.0,4.0,0.54720306,0.34668213
24884927594.0,4.0,0.54962605,0.3466815
24884927607.0,4.0,0.5520512,0.3466942
24884927618.0,4.0,0.55446756,0.34669363
24884927718.0,4.0,0.55688894,0.34668553
24884927640.0,4.0,0.5593056,0.3466863
24884927652.0,4.0,0.5617383,0.3466779
24884927677.0,4.0,0.56536716,0.34667915
24884927719.0,4.0,0.5677651,0.34666887
24884927699.0,4.0,0.5701868,0.3466696
24884927711.0,4.0,0.5726165,0.34667793
24884927556.0,4.0,0.5750323,0.34667733
24884927568.0,4.0,0.57744503,0.34667766
24884927579.0,4.0,0.5798567,0.3466784
24884927591.0,4.0,0.5822871,0.34666926
24884927602.0,4.0,0.5846991,0.34667015
24884927613.0,4.0,0.5871131,0.34666955
24884927625.0,4.0,0.5895265,0.34666955
24884927636.0,4.0,0.59194064,0.34667075
24884927648.0,4.0,0.59435445,0.34666994
24884927659.0,4.0,0.5967666,0.3466693
24884927672.0,3.0,0.4637402,0.26852968
24884927684.0,3.0,0.46615657,0.2685297
24884927694.0,3.0,0.46857774,0.26852944
24884927706.0,3.0,0.47099176,0.26852947
24884927717.0,3.0,0.47340944,0.26852947
24884927564.0,3.0,0.47582945,0.26852947
24884927574.0,3.0,0.4782434,0.26852944
24884927587.0,3.0,0.48066047,0.26852947
24884927598.0,3.0,0.483076,0.26852944
24884927610.0,3.0,0.4855006,0.26852947
24884927621.0,3.0,0.48791495,0.26852947
24884927631.0,3.0,0.49033007,0.26852968
24884927643.0,3.0,0.49274644,0.2685297
24884927654.0,3.0,0.49516743,0.26852968
24884927663.0,3.0,0.49641228,0.26852968
24884927680.0,3.0,0.49879852,0.26852968
24884927690.0,3.0,0.5012136,0.26852968
24884927701.0,3.0,0.5036304,0.26852968
24884927713.0,3.0,0.5060588,0.26852965
24884927559.0,3.0,0.50847745,0.2685297
24884927571.0,3.0,0.5108925,0.26852968
24884927583.0,3.0,0.51331,0.26852965
24884927593.0,3.0,0.51572984,0.26853102
24884927606.0,3.0,0.5181452,0.268531
24884927617.0,3.0,0.52056074,0.268531
24884927627.0,3.0,0.52297837,0.26853102
24884927639.0,3.0,0.5253941,0.26853102
24884927650.0,3.0,0.5278098,0.268531
24884927675.0,3.0,0.5314398,0.26853102
24884927686.0,3.0,0.5338546,0.26853102
24884927698.0,3.0,0.53627473,0.26853
24884927709.0,3.0,0.5386888,0.26853
24884927554.0,3.0,0.54110146,0.26853
24884927566.0,3.0,0.54353815,0.26853
24884927578.0,3.0,0.5459523,0.26853
24884927589.0,3.0,0.5483689,0.26853
24884927601.0,3.0,0.5507826,0.26853
24884927612.0,3.0,0.5532092,0.26853
24884927624.0,3.0,0.555623,0.26853
24884927634.0,3.0,0.55803823,0.26853
24884927645.0,3.0,0.5604535,0.26853
24884927658.0,3.0,0.56287277,0.26853
24884927671.0,3.0,0.5641015,0.26853004
24884927682.0,3.0,0.5665151,0.26853
24884927693.0,3.0,0.568931,0.26853004
24884927704.0,3.0,0.5713456,0.26853
24884927716.0,3.0,0.57376313,0.26853
24884927561.0,3.0,0.57618153,0.26853004
24884927573.0,2.0,0.44433585,0.18990065
24884927585.0,3.0,0.5810191,0.26854208
24884927597.0,3.0,0.58343446,0.2685421
24884927608.0,3.0,0.58584857,0.2685421
24884927620.0,3.0,0.58826387,0.26854208
24884927630.0,3.0,0.59070104,0.26854143
24884927642.0,3.0,0.5931151,0.26854143
24884927653.0,3.0,0.59553105,0.26854143
24884927679.0,3.0,0.5991679,0.26854807
24884927720.0,3.0,0.65365475,0.26855272
24884927721.0,3.0,0.6645622,0.26852936
24884927722.0,2.0,0.7503944,0.18989204
24884927723.0,1.0,0.84714,0.0
gmean,,0.5275458,0.29458973
