,access#,line_AVF_average,line_AVF_std
34094639345.0,4.0,0.05470838,0.019360512
34094639289.0,17.0,0.2050608,0.2336861
34094639343.0,7.0,0.33459705,0.23643936
34094639296.0,8.0,0.27207404,0.30492932
34094639324.0,4.0,0.21573105,0.166581
34094639340.0,9.0,0.33678588,0.30714297
34094639294.0,19.0,0.2563299,0.24933104
52584053183.0,17.0,0.25069836,0.21421105
34094639335.0,4.0,0.21150579,0.14959252
52584053191.0,3.0,0.06684775,0.05168192
52584053176.0,9.0,0.1885986,0.14198992
52584053181.0,18.0,0.29891554,0.30323362
52584053192.0,16.0,0.13054013,0.08050519
34094639291.0,22.0,0.23192948,0.18633242
13875226057.0,10.0,0.302542,0.26410574
16355949806.0,5.0,0.20729327,0.21022311
52584053186.0,20.0,0.25399593,0.22193353
52584053178.0,15.0,0.24390103,0.20819981
52584053190.0,23.0,0.2658969,0.25310168
34094639298.0,7.0,0.31211272,0.2966262
52584053179.0,11.0,0.14787245,0.09527409
34094639347.0,5.0,0.29634392,0.24812503
34094639304.0,9.0,0.38653576,0.33236486
52584053177.0,10.0,0.20871417,0.22590384
52584053189.0,22.0,0.2533195,0.21934788
34094639350.0,9.0,0.22890109,0.27327648
34094639328.0,10.0,0.45379084,0.31027722
34094639327.0,8.0,0.46436852,0.31998038
52584053193.0,9.0,0.2926824,0.24388306
34094639295.0,9.0,0.38307709,0.33924672
52584053185.0,17.0,0.23342033,0.23452315
13875226056.0,1.0,0.042546522,0.0
34094639311.0,10.0,0.44741344,0.3182912
13875226058.0,10.0,0.6196866,0.31697512
52584053180.0,16.0,0.23787999,0.17192641
34094639306.0,3.0,0.15962045,0.100141965
52584053184.0,13.0,0.165151,0.15204823
34094639299.0,4.0,0.6260254,0.38698855
52584053188.0,15.0,0.27979398,0.25765738
52584053175.0,8.0,0.19561303,0.14249004
13875226059.0,1.0,0.050811697,0.0
34094639292.0,12.0,0.41631064,0.33958974
34094639307.0,5.0,0.24027133,0.19337982
34094639346.0,15.0,0.5141843,0.3179101
34094639321.0,5.0,0.46218032,0.35078853
13875226031.0,3.0,0.40193048,0.3185681
34094639344.0,3.0,0.42586663,0.49565512
34094639336.0,3.0,0.19966394,0.23140724
34094639326.0,14.0,0.40603092,0.27289125
34094639315.0,9.0,0.5620972,0.30984345
34094639332.0,10.0,0.3236295,0.1873887
13875226060.0,4.0,0.3539073,0.25638282
13875226061.0,1.0,0.071104415,0.0
13875226062.0,7.0,0.3303879,0.256709
13875226055.0,2.0,0.45307666,0.53542656
24884927611.0,2.0,0.08767811,0.016552916
13875226047.0,2.0,0.12722333,0.07247748
52584053163.0,1.0,0.07599742,0.0
52584053161.0,1.0,0.07601355,0.0
34094639313.0,6.0,0.40947428,0.285084
34094639320.0,3.0,0.3062637,0.35949484
34094639334.0,7.0,0.2079887,0.13492411
52584053182.0,9.0,0.25444204,0.11094509
34094639314.0,6.0,0.51273835,0.3310425
34094639331.0,6.0,0.38958046,0.327737
13875226034.0,8.0,0.46271363,0.32995647
13875226063.0,1.0,0.09270529,0.0
13875226064.0,2.0,0.121966265,0.04076375
24884927578.0,1.0,0.09780456,0.0
34094639301.0,1.0,0.09940296,0.0
24884927562.0,5.0,0.5859221,0.3369258
13875226065.0,1.0,0.10029276,0.0
24884927564.0,3.0,0.21791075,0.10059103
34094639323.0,5.0,0.40965083,0.34515718
52584053187.0,7.0,0.3433695,0.23476887
