,access#,line_AVF_average,line_AVF_std
24884927597.0,20.0,0.15786864,0.078384
24884927598.0,24.0,0.19596118,0.093681596
24884927600.0,64.0,0.4063065,0.038474355
24884927601.0,64.0,0.41586235,0.03093454
24884927602.0,33.0,0.38186568,0.0001859949
24884927603.0,64.0,0.5802774,0.092256226
24884927604.0,64.0,0.59845936,0.087882
24884927605.0,33.0,0.44955677,0.00018283488
24884927606.0,64.0,0.7222746,0.04860572
24884927607.0,64.0,0.73150736,0.05254818
24884927608.0,33.0,0.68888146,0.00018394494
24884927609.0,24.0,0.8790754,0.064903475
24884927610.0,19.0,0.896215,0.060329553
24884927611.0,33.0,0.835009,0.00018291245
gmean,,0.5670801,0.046338238
