,access#,line_AVF_average,line_AVF_std
12954820952.0,3.0,0.4050763,0.3240582
12954820953.0,5.0,0.21810554,0.18688866
12954820954.0,5.0,0.10071584,0.15457001
34094639302.0,31.0,0.1765137,0.12473398
12954820955.0,2.0,0.30415174,0.38550055
24884927566.0,23.0,0.38508725,0.24551539
12954820956.0,8.0,0.20227161,0.120163456
12954820957.0,2.0,0.19089235,0.22513823
12954820958.0,6.0,0.29790592,0.14423627
12954820959.0,3.0,0.2736498,0.21771665
13875226236.0,39.0,0.044952724,0.0068130465
12954820960.0,4.0,0.3828638,0.3564734
12954820961.0,6.0,0.38362637,0.36004946
13875226117.0,9.0,0.2143296,0.16904093
34094639289.0,25.0,0.41102263,0.2470059
12954820962.0,4.0,0.5339817,0.36956403
12954820963.0,5.0,0.4231244,0.31960574
12954820964.0,1.0,0.03344255,0.0
13875226101.0,26.0,0.4174338,0.21764818
16355949888.0,32.0,0.44200712,0.2638907
12954820965.0,3.0,0.16067423,0.18727541
13875226270.0,2.0,0.31462258,0.39731738
12954820931.0,2.0,0.13590997,0.14451835
12954820966.0,2.0,0.13218646,0.13919996
12954820967.0,1.0,0.03384096,0.0
34094639337.0,37.0,0.43787435,0.22403711
12954820968.0,1.0,0.03396685,0.0
34094639317.0,38.0,0.42775762,0.2280967
34094639316.0,5.0,0.494077,0.26563418
16355949842.0,10.0,0.08813871,0.08617409
12954820969.0,2.0,0.26914617,0.3322855
16355949821.0,2.0,0.19048671,0.22098753
12954820970.0,1.0,0.034310944,0.0
16355949890.0,34.0,0.32085752,0.21430522
52584053137.0,34.0,0.30457097,0.19651335
34094639325.0,1.0,0.03441835,0.0
16355949885.0,33.0,0.43123326,0.23053677
12954820971.0,1.0,0.034523115,0.0
12954820972.0,13.0,0.22879837,0.12217794
12954820973.0,4.0,0.11187828,0.08916679
24884927557.0,25.0,0.10784235,0.05257653
12954820974.0,2.0,0.22620507,0.26979566
16355949828.0,34.0,0.41022164,0.24090303
12954820975.0,4.0,0.3744287,0.34960878
52584053133.0,44.0,0.28556088,0.055559266
16355949875.0,38.0,0.075357154,0.039292354
34094639339.0,13.0,0.07686602,0.025009507
22641002216.0,2.0,0.25678837,0.3115299
22641002217.0,3.0,0.21589364,0.24051778
16355949966.0,26.0,0.35882932,0.2096751
22641002218.0,1.0,0.036593437,0.0
34094639351.0,31.0,0.36226657,0.2380497
22641002219.0,3.0,0.32277718,0.46749052
16355949850.0,23.0,0.45258278,0.24927989
24884927559.0,28.0,0.12457054,0.082833186
52584053138.0,31.0,0.16714437,0.12885314
22641002220.0,2.0,0.4100496,0.527951
16355949897.0,3.0,0.30964345,0.24211372
12954820914.0,2.0,0.44115314,0.57178974
34094639336.0,3.0,0.26103655,0.21948709
16355949979.0,2.0,0.3309008,0.41576707
16355949826.0,21.0,0.46187496,0.24313496
16355949847.0,2.0,0.19333047,0.22117169
22641002221.0,1.0,0.036973555,0.0
16355949853.0,1.0,0.036974307,0.0
16355949854.0,1.0,0.036997978,0.0
22641002222.0,2.0,0.15260535,0.16250122
16355949883.0,18.0,0.4819337,0.18903545
13875226271.0,3.0,0.3298644,0.2533749
16355950045.0,8.0,0.22470845,0.14367506
16355949841.0,20.0,0.4617596,0.264214
22641002223.0,4.0,0.3852684,0.32239032
22641002224.0,8.0,0.25735372,0.1440443
22641002225.0,1.0,0.038047045,0.0
16355949878.0,55.0,0.25202665,0.14849971
22641002226.0,2.0,0.11459796,0.10817587
22641002227.0,1.0,0.03813946,0.0
22641002228.0,3.0,0.3604074,0.3811689
13875226199.0,3.0,0.40088803,0.35616636
13875226049.0,30.0,0.297919,0.21990646
16355949817.0,31.0,0.48422635,0.21939914
22641002229.0,2.0,0.3099857,0.38293198
16355949955.0,17.0,0.5344202,0.23507999
22641002230.0,1.0,0.039443795,0.0
34094639296.0,29.0,0.47752807,0.23903278
34094639295.0,4.0,0.30934232,0.3114144
13875226130.0,31.0,0.4557177,0.24198714
34094639290.0,3.0,0.25723487,0.24466221
22641002231.0,1.0,0.040703338,0.0
22641002232.0,2.0,0.29975635,0.36617425
16355950010.0,24.0,0.38016883,0.22510602
22641002233.0,3.0,0.33686215,0.25627685
22641002234.0,4.0,0.11369966,0.07851068
16355949932.0,36.0,0.32167572,0.21972711
13875226079.0,1.0,0.041583426,0.0
34094639304.0,26.0,0.3471377,0.24435967
12954820951.0,12.0,0.2207254,0.098841816
22641002235.0,2.0,0.22601406,0.25838506
22641002236.0,3.0,0.38620874,0.29697722
13875226206.0,3.0,0.2050385,0.22606479
13875226084.0,29.0,0.40253568,0.22692879
22641002237.0,5.0,0.42981318,0.25359568
22641002238.0,2.0,0.1298994,0.120504424
34094639310.0,35.0,0.39390498,0.24712117
16355950035.0,5.0,0.4155985,0.29816538
13875226200.0,27.0,0.40631002,0.18863155
22641002239.0,1.0,0.044953648,0.0
24884927564.0,1.0,0.04502362,0.0
22641002240.0,2.0,0.2371664,0.27171627
22641002241.0,1.0,0.045111787,0.0
16355950038.0,2.0,0.04516615,3.6338926e-05
22641002242.0,3.0,0.045208257,3.5541587e-05
22641002243.0,5.0,0.5808396,0.31756535
34094639329.0,34.0,0.4648001,0.23828615
22641002244.0,3.0,0.4097333,0.3395559
16355949943.0,19.0,0.3810489,0.21439302
22641002245.0,2.0,0.28498542,0.3384956
22641002246.0,2.0,0.26245216,0.30563962
16355950005.0,27.0,0.45662558,0.14896655
22641002247.0,3.0,0.29158545,0.21232803
16355949857.0,5.0,0.1798361,0.17905253
22641002248.0,2.0,0.04649557,1.940584e-05
34094639344.0,5.0,0.06641608,0.020392155
16355949998.0,2.0,0.05038514,0.0054238075
22641002249.0,4.0,0.48817512,0.32398742
16355950030.0,33.0,0.37600753,0.20085247
22641002250.0,2.0,0.3515009,0.42907965
